------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '42', 'areatype': 'county', 'topic': 'mob', 'demo': '00017', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Pennsylvania by County
Mobility: Haven't moved (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Haven't Moved),Rank within US
"United States",00000,85.4,270854872,"N/A"
"Pennsylvania",42000,87.7,11097725,"5 of 51"
"Centre County",42027,73.9,117729,"3100 of 3140"
"Indiana County",42063,81.2,69686,"2834 of 3140"
"Union County",42119,83.5,37314,"2548 of 3140"
"Forest County",42053,83.9,6152,"2449 of 3140"
"Dauphin County",42043,84.5,228127,"2339 of 3140"
"Erie County",42049,84.6,232642,"2305 of 3140"
"Cumberland County",42041,84.7,205864,"2297 of 3140"
"Clarion County",42031,85.6,32851,"2064 of 3140"
"Lehigh County",42077,85.9,306356,"1970 of 3140"
"Philadelphia County",42101,85.9,1330446,"1968 of 3140"
"Allegheny County",42003,86.4,1050152,"1836 of 3140"
"Lycoming County",42081,86.4,98673,"1831 of 3140"
"Clinton County",42035,86.7,33787,"1710 of 3140"
"York County",42133,86.8,379737,"1664 of 3140"
"McKean County",42083,86.9,36200,"1651 of 3140"
"Crawford County",42039,86.9,74777,"1636 of 3140"
"Cameron County",42023,87.3,4106,"1509 of 3140"
"Berks County",42011,87.4,358968,"1482 of 3140"
"Lackawanna County",42069,87.4,183586,"1454 of 3140"
"Northampton County",42095,87.5,261050,"1432 of 3140"
"Lebanon County",42075,87.6,118986,"1412 of 3140"
"Greene County",42059,87.8,32413,"1361 of 3140"
"Cambria County",42021,87.9,118356,"1300 of 3140"
"Wyoming County",42131,88.0,24246,"1275 of 3140"
"Columbia County",42037,88.1,58274,"1237 of 3140"
"Venango County",42121,88.1,46213,"1212 of 3140"
"Mifflin County",42087,88.2,40552,"1193 of 3140"
"Luzerne County",42079,88.2,278104,"1185 of 3140"
"Montour County",42093,88.3,16044,"1175 of 3140"
"Tioga County",42117,88.3,36319,"1160 of 3140"
"Adams County",42001,88.3,89008,"1154 of 3140"
"Lancaster County",42071,88.4,467782,"1146 of 3140"
"Mercer County",42085,88.4,99469,"1127 of 3140"
"Butler County",42019,88.5,163059,"1098 of 3140"
"Chester County",42029,88.6,451176,"1078 of 3140"
"Washington County",42125,88.6,181992,"1076 of 3140"
"Huntingdon County",42061,88.7,40116,"1032 of 3140"
"Sullivan County",42113,88.8,5460,"1011 of 3140"
"Montgomery County",42091,88.8,719171,"1004 of 3140"
"Snyder County",42109,89.1,35753,"882 of 3140"
"Clearfield County",42033,89.2,71295,"862 of 3140"
"Blair County",42013,89.2,110285,"837 of 3140"
"Pike County",42103,89.3,49421,"829 of 3140"
"Northumberland County",42097,89.4,82178,"793 of 3140"
"Beaver County",42007,89.5,149255,"771 of 3140"
"Franklin County",42055,89.6,135578,"751 of 3140"
"Jefferson County",42065,89.7,39238,"723 of 3140"
"Wayne County",42127,89.8,46106,"689 of 3140"
"Delaware County",42045,89.8,500260,"683 of 3140"
"Monroe County",42089,90.0,149387,"636 of 3140"
"Lawrence County",42073,90.0,78760,"627 of 3140"
"Potter County",42105,90.3,15277,"568 of 3140"
"Susquehanna County",42115,90.3,37362,"547 of 3140"
"Carbon County",42025,90.5,57419,"517 of 3140"
"Westmoreland County",42129,90.6,320528,"493 of 3140"
"Schuylkill County",42107,90.8,129700,"468 of 3140"
"Fulton County",42057,90.8,13165,"467 of 3140"
"Bucks County",42017,90.9,564019,"431 of 3140"
"Bradford County",42015,91.0,55430,"404 of 3140"
"Somerset County",42111,91.2,68341,"377 of 3140"
"Fayette County",42051,91.2,120176,"373 of 3140"
"Perry County",42099,91.3,41482,"362 of 3140"
"Warren County",42123,91.4,36500,"349 of 3140"
"Juniata County",42067,91.7,22160,"282 of 3140"
"Armstrong County",42005,91.8,60715,"261 of 3140"
"Elk County",42047,92.3,28121,"204 of 3140"
"Bedford County",42009,92.7,44871,"173 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Haven't moved (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
