------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '42', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Pennsylvania by County
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"Pennsylvania",42000,21.2,2618947,"21 of 52"
"United States",00000,23.7,74202606,"N/A"
"Montgomery County",42091,10.9,86982,"65 of 3141"
"Bucks County",42017,11.0,67842,"67 of 3141"
"Chester County",42029,11.6,58319,"77 of 3141"
"Butler County",42019,14.1,25504,"186 of 3141"
"Cumberland County",42041,14.4,33436,"197 of 3141"
"Pike County",42103,15.9,8747,"293 of 3141"
"Northampton County",42095,16.0,46447,"302 of 3141"
"Adams County",42001,16.2,15791,"317 of 3141"
"Perry County",42099,16.4,7403,"334 of 3141"
"Delaware County",42045,16.9,91611,"378 of 3141"
"Montour County",42093,17.0,2995,"388 of 3141"
"Washington County",42125,17.3,35029,"419 of 3141"
"Westmoreland County",42129,17.4,60698,"423 of 3141"
"Union County",42119,17.6,6299,"452 of 3141"
"York County",42133,17.9,77232,"478 of 3141"
"Lancaster County",42071,18.2,95032,"506 of 3141"
"Franklin County",42055,18.6,27998,"559 of 3141"
"Lebanon County",42075,18.7,25151,"587 of 3141"
"Beaver County",42007,18.9,31236,"598 of 3141"
"Elk County",42047,19.2,5814,"624 of 3141"
"Wyoming County",42131,19.5,5263,"667 of 3141"
"Monroe County",42089,19.5,32168,"672 of 3141"
"Allegheny County",42003,19.6,234977,"691 of 3141"
"Wayne County",42127,20.1,9637,"762 of 3141"
"Dauphin County",42043,21.6,58140,"965 of 3141"
"Fulton County",42057,22.0,3199,"1016 of 3141"
"Schuylkill County",42107,22.1,30235,"1020 of 3141"
"Lehigh County",42077,22.1,77677,"1023 of 3141"
"Lycoming County",42081,22.3,24393,"1042 of 3141"
"Berks County",42011,22.3,89694,"1044 of 3141"
"Mercer County",42085,22.3,23674,"1045 of 3141"
"Snyder County",42109,22.4,8581,"1066 of 3141"
"Somerset County",42111,22.6,15957,"1093 of 3141"
"Sullivan County",42113,22.7,1359,"1105 of 3141"
"Warren County",42123,22.7,8945,"1106 of 3141"
"Carbon County",42025,22.8,14365,"1128 of 3141"
"Susquehanna County",42115,23.2,9545,"1163 of 3141"
"Tioga County",42117,23.2,9477,"1176 of 3141"
"Greene County",42059,23.4,7924,"1203 of 3141"
"Bradford County",42015,23.5,14250,"1216 of 3141"
"Armstrong County",42005,23.5,15520,"1220 of 3141"
"Juniata County",42067,23.7,5717,"1241 of 3141"
"Lawrence County",42073,23.7,20387,"1244 of 3141"
"Bedford County",42009,23.8,11508,"1261 of 3141"
"Venango County",42121,24.1,12423,"1295 of 3141"
"Luzerne County",42079,24.2,74242,"1321 of 3141"
"Jefferson County",42065,24.4,10595,"1347 of 3141"
"Huntingdon County",42061,24.5,9904,"1362 of 3141"
"Cambria County",42021,24.6,31578,"1374 of 3141"
"Cameron County",42023,24.6,1154,"1378 of 3141"
"Lackawanna County",42069,24.6,50163,"1387 of 3141"
"Forest County",42053,24.8,710,"1417 of 3141"
"Blair County",42013,24.9,30347,"1431 of 3141"
"Columbia County",42037,25.1,15555,"1462 of 3141"
"Centre County",42027,25.2,36017,"1474 of 3141"
"Clinton County",42035,25.7,9579,"1543 of 3141"
"Northumberland County",42097,25.9,23011,"1567 of 3141"
"Crawford County",42039,25.9,21534,"1574 of 3141"
"Erie County",42049,26.3,69850,"1620 of 3141"
"Clearfield County",42033,26.4,19717,"1633 of 3141"
"Clarion County",42031,26.5,9901,"1660 of 3141"
"Mifflin County",42087,26.5,12080,"1665 of 3141"
"Potter County",42105,27.0,4542,"1739 of 3141"
"Indiana County",42063,27.5,22199,"1810 of 3141"
"McKean County",42083,28.3,10986,"1917 of 3141"
"Fayette County",42051,30.3,39206,"2183 of 3141"
"Philadelphia County",42101,36.8,561496,"2777 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below 150% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
