------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=42&areatype=county&cancer=516&race=00&sex=0&age=016&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '42', 'areatype': 'county', 'cancer': '516', 'race': '00', 'sex': '0', 'age': '016', 'type': 'incd', 'file_name': 'incidencerates_006.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=42&areatype=county&cancer=516&race=00&sex=0&age=016&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Pennsylvania by County

"Childhood (Ages <15, All Sites) (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, Ages <15"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Pennsylvania(6,10)",42000,***,18.1 ,17.3, 18.9,403,stable,0.8 ,-3.0, 4.8
"US (SEER+NPCR)(1,10)",00000,***,17.3 ,17.2, 17.5,10605,stable,0.9 ,-0.3, 2.0
"Perry County(6,10)",42099,***,39 ,22.3, 63.3,3,*,*,*,*
"Bradford County(6,10)",42015,***,30.1 ,17.5, 48.2,3,*,*,*,*
"Butler County(6,10)",42019,***,23.8 ,16.8, 32.9,7,falling,-30.1 ,-47.5, -6.7
"Lycoming County(6,10)",42081,***,23.1 ,14.7, 34.7,5,stable,16.9 ,-7.2, 47.1
"Bucks County(6,10)",42017,***,22.7 ,18.8, 27.2,24,stable,0.8 ,-8.1, 10.6
"Allegheny County(6,10)",42003,***,19.5 ,16.8, 22.5,38,falling,-10.4 ,-12.7, -8.1
"Lebanon County(6,10)",42075,***,19.2 ,12.4, 28.4,5,stable,-1.5 ,-30.9, 40.4
"Northampton County(6,10)",42095,***,19 ,14, 25.3,10,stable,-0.7 ,-43.1, 73.3
"Delaware County(6,10)",42045,***,18.9 ,15.3, 23,20,stable,13.0 ,-19.7, 59.2
"Montgomery County(6,10)",42091,***,18.9 ,15.9, 22.3,28,stable,12.1 ,-0.6, 26.4
"Franklin County(6,10)",42055,***,18.7 ,12.3, 27.3,5,stable,-1.1 ,-35.0, 50.6
"Cambria County(6,10)",42021,***,18.5 ,11.3, 28.5,4,stable,1.6 ,-46.2, 91.6
"Cumberland County(6,10)",42041,***,18 ,12.7, 24.9,7,stable,23.8 ,-18.3, 87.6
"York County(6,10)",42133,***,17.8 ,13.9, 22.4,14,stable,-11.4 ,-30.3, 12.4
"Philadelphia County(6,10)",42101,***,17.7 ,15.6, 20,53,stable,3.9 ,-16.6, 29.4
"Blair County(6,10)",42013,***,17.7 ,10.6, 27.6,4,stable,-6.5 ,-22.6, 12.9
"Monroe County(6,10)",42089,***,17.6 ,11.1, 26.4,5,stable,0.8 ,-42.1, 75.5
"Washington County(6,10)",42125,***,17.4 ,11.6, 25,6,*,*,*,*
"Lehigh County(6,10)",42077,***,17.3 ,13.1, 22.4,12,stable,-2.8 ,-28.3, 31.7
"Beaver County(6,10)",42007,***,16.7 ,10.6, 25,5,stable,0.0 ,-32.2, 47.5
"Chester County(6,10)",42029,***,16.6 ,13.2, 20.6,16,stable,14.4 ,-7.4, 41.3
"Berks County(6,10)",42011,***,16.6 ,12.8, 21.2,13,stable,-1.1 ,-34.6, 49.5
"Erie County(6,10)",42049,***,16.3 ,11.7, 22.2,8,stable,0.0 ,-38.0, 61.4
"Westmoreland County(6,10)",42129,***,16.3 ,11.8, 21.9,9,stable,6.8 ,-45.3, 108.7
"Centre County(6,10)",42027,***,15.9 ,9.1, 25.8,3,*,*,*,*
"Fayette County(6,10)",42051,***,15.2 ,8.7, 24.6,3,*,*,*,*
"Lackawanna County(6,10)",42069,***,14.9 ,9.7, 21.9,5,*,*,*,*
"Dauphin County(6,10)",42043,***,14.9 ,10.5, 20.4,8,stable,20.8 ,-31.6, 113.4
"Luzerne County(6,10)",42079,***,14.1 ,9.9, 19.6,7,stable,2.2 ,-36.2, 63.6
"Lancaster County(6,10)",42071,***,13.5 ,10.6, 17,15,stable,1.7 ,-24.8, 37.5
"Adams County(6,10)",42001,***,* ,*, *,3 or fewer,*,*,*,*
"Armstrong County(6,10)",42005,***,* ,*, *,3 or fewer,*,*,*,*
"Bedford County(6,10)",42009,***,* ,*, *,3 or fewer,*,*,*,*
"Cameron County(6,10)",42023,***,* ,*, *,3 or fewer,*,*,*,*
"Carbon County(6,10)",42025,***,* ,*, *,3 or fewer,*,*,*,*
"Clarion County(6,10)",42031,***,* ,*, *,3 or fewer,*,*,*,*
"Clearfield County(6,10)",42033,***,* ,*, *,3 or fewer,*,*,*,*
"Clinton County(6,10)",42035,***,* ,*, *,3 or fewer,*,*,*,*
"Columbia County(6,10)",42037,***,* ,*, *,3 or fewer,*,*,*,*
"Crawford County(6,10)",42039,***,* ,*, *,3 or fewer,*,*,*,*
"Elk County(6,10)",42047,***,* ,*, *,3 or fewer,*,*,*,*
"Forest County(6,10)",42053,***,* ,*, *,3 or fewer,*,*,*,*
"Fulton County(6,10)",42057,***,* ,*, *,3 or fewer,*,*,*,*
"Greene County(6,10)",42059,***,* ,*, *,3 or fewer,*,*,*,*
"Huntingdon County(6,10)",42061,***,* ,*, *,3 or fewer,*,*,*,*
"Indiana County(6,10)",42063,***,* ,*, *,3 or fewer,*,*,*,*
"Jefferson County(6,10)",42065,***,* ,*, *,3 or fewer,*,*,*,*
"Juniata County(6,10)",42067,***,* ,*, *,3 or fewer,*,*,*,*
"Lawrence County(6,10)",42073,***,* ,*, *,3 or fewer,*,*,*,*
"McKean County(6,10)",42083,***,* ,*, *,3 or fewer,*,*,*,*
"Mercer County(6,10)",42085,***,* ,*, *,3 or fewer,*,*,*,*
"Mifflin County(6,10)",42087,***,* ,*, *,3 or fewer,*,*,*,*
"Montour County(6,10)",42093,***,* ,*, *,3 or fewer,*,*,*,*
"Northumberland County(6,10)",42097,***,* ,*, *,3 or fewer,*,*,*,*
"Pike County(6,10)",42103,***,* ,*, *,3 or fewer,*,*,*,*
"Potter County(6,10)",42105,***,* ,*, *,3 or fewer,*,*,*,*
"Schuylkill County(6,10)",42107,***,* ,*, *,3 or fewer,*,*,*,*
"Snyder County(6,10)",42109,***,* ,*, *,3 or fewer,*,*,*,*
"Somerset County(6,10)",42111,***,* ,*, *,3 or fewer,*,*,*,*
"Sullivan County(6,10)",42113,***,* ,*, *,3 or fewer,*,*,*,*
"Susquehanna County(6,10)",42115,***,* ,*, *,3 or fewer,*,*,*,*
"Tioga County(6,10)",42117,***,* ,*, *,3 or fewer,*,*,*,*
"Union County(6,10)",42119,***,* ,*, *,3 or fewer,*,*,*,*
"Venango County(6,10)",42121,***,* ,*, *,3 or fewer,*,*,*,*
