------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=42&areatype=county&cancer=035&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '42', 'areatype': 'county', 'cancer': '035', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_012.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=42&areatype=county&cancer=035&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Pennsylvania by County

"Liver & Bile Duct (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Pennsylvania(6,10)",42000,***,8.3 ,8.1, 8.5,1428,stable,3.0 ,-0.8, 7.0
"US (SEER+NPCR)(1,10)",00000,***,8.3 ,8.2, 8.3,32027,stable,1.2 ,-1.3, 3.7
"Philadelphia County(6,10)",42101,***,15.6 ,14.7, 16.4,271,stable,-2.0 ,-7.6, 4.0
"Delaware County(6,10)",42045,***,9.6 ,8.6, 10.6,70,stable,1.6 ,-8.6, 12.8
"Schuylkill County(6,10)",42107,***,9.2 ,7.4, 11.4,19,stable,11.6 ,-7.3, 34.3
"Northampton County(6,10)",42095,***,9.2 ,7.9, 10.7,38,stable,8.2 ,-5.3, 23.7
"Wyoming County(6,10)",42131,***,9.2 ,5.6, 14.8,4,*,*,*,*
"Lehigh County(6,10)",42077,***,9.2 ,7.9, 10.5,42,stable,-1.3 ,-14.4, 13.8
"Lycoming County(6,10)",42081,***,9.2 ,7.1, 11.7,14,stable,3.7 ,-28.3, 49.8
"Allegheny County(6,10)",42003,***,8.8 ,8.2, 9.5,151,stable,7.1 ,-7.4, 23.9
"Warren County(6,10)",42123,***,8.8 ,5.8, 13.1,6,stable,-0.5 ,-34.2, 50.4
"Dauphin County(6,10)",42043,***,8.7 ,7.4, 10.3,30,stable,-3.1 ,-16.2, 12.0
"Luzerne County(6,10)",42079,***,8.5 ,7.3, 9.8,38,stable,7.1 ,-8.4, 25.1
"Fayette County(6,10)",42051,***,8.4 ,6.7, 10.5,17,stable,1.8 ,-26.3, 40.6
"Northumberland County(6,10)",42097,***,8.4 ,6.4, 10.9,12,stable,13.9 ,-14.2, 51.1
"Mercer County(6,10)",42085,***,8.3 ,6.5, 10.6,15,stable,10.0 ,-5.9, 28.7
"Washington County(6,10)",42125,***,8.3 ,6.9, 9.9,26,stable,-1.3 ,-7.4, 5.3
"Elk County(6,10)",42047,***,8.3 ,5.1, 13.2,4,*,*,*,*
"Lackawanna County(6,10)",42069,***,8.1 ,6.8, 9.8,25,stable,8.0 ,-18.4, 42.9
"Carbon County(6,10)",42025,***,8 ,5.7, 11,8,stable,-2.9 ,-26.9, 29.1
"Lawrence County(6,10)",42073,***,7.9 ,5.8, 10.5,11,stable,4.8 ,-17.9, 33.8
"Blair County(6,10)",42013,***,7.9 ,6.1, 10.1,14,stable,13.1 ,-10.4, 42.8
"Pike County(6,10)",42103,***,7.8 ,5.4, 11.2,7,stable,1.3 ,-31.8, 50.6
"Bucks County(6,10)",42017,***,7.8 ,6.9, 8.7,66,stable,4.0 ,-8.3, 18.1
"Berks County(6,10)",42011,***,7.6 ,6.6, 8.8,40,stable,10.6 ,-15.8, 45.2
"Cambria County(6,10)",42021,***,7.6 ,6, 9.6,16,stable,-4.5 ,-14.6, 6.7
"Venango County(6,10)",42121,***,7.5 ,5.2, 10.9,7,stable,-7.0 ,-15.7, 2.7
"Somerset County(6,10)",42111,***,7.5 ,5.5, 10.3,9,stable,6.1 ,-20.4, 41.5
"Bedford County(6,10)",42009,***,7.5 ,5, 11,6,rising,21.8 ,0.1, 48.3
"Clearfield County(6,10)",42033,***,7.4 ,5.3, 10.2,8,stable,3.4 ,-26.1, 44.8
"Lancaster County(6,10)",42071,***,7.3 ,6.4, 8.3,50,stable,12.0 ,-8.3, 36.8
"Monroe County(6,10)",42089,***,7.3 ,5.8, 9.1,17,stable,-9.9 ,-33.0, 21.2
"Montgomery County(6,10)",42091,***,7.3 ,6.5, 8,78,stable,0.4 ,-8.0, 9.6
"Westmoreland County(6,10)",42129,***,7.2 ,6.2, 8.3,41,stable,4.0 ,-22.9, 40.5
"Greene County(6,10)",42059,***,7.1 ,4.1, 11.7,3,*,*,*,*
"McKean County(6,10)",42083,***,7.1 ,4.3, 11.1,4,stable,4.9 ,-42.2, 90.4
"Huntingdon County(6,10)",42061,***,7 ,4.4, 10.8,5,stable,0.7 ,-30.5, 45.9
"Columbia County(6,10)",42037,***,7 ,4.8, 10,7,stable,0.8 ,-30.0, 45.1
"Armstrong County(6,10)",42005,***,6.7 ,4.6, 9.6,7,stable,-0.2 ,-22.1, 27.9
"Beaver County(6,10)",42007,***,6.7 ,5.3, 8.3,17,stable,8.0 ,-15.8, 38.5
"Chester County(6,10)",42029,***,6.6 ,5.7, 7.6,42,stable,4.1 ,-10.0, 20.4
"Adams County(6,10)",42001,***,6.5 ,4.7, 8.8,9,stable,-9.4 ,-26.7, 11.9
"Jefferson County(6,10)",42065,***,6.5 ,4.1, 10.1,4,stable,10.7 ,-10.1, 36.4
"Erie County(6,10)",42049,***,6.5 ,5.3, 7.8,23,stable,4.8 ,-6.2, 17.2
