------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=42&areatype=county&cancer=001&race=03&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '42', 'areatype': 'county', 'cancer': '001', 'race': '03', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=42&areatype=county&cancer=001&race=03&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Pennsylvania by County

"All Cancer Sites (All Stages^), 2012-2016"

"Amer. Indian/Alaskan Native (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Pennsylvania(6,10)",42000,***,159.3 ,140.2, 180,59,stable,-0.5 ,-16.0, 17.9
"US (SEER+NPCR)(1,10)",00000,***,288.8 ,286, 291.6,9632,stable,-1.5 ,-4.0, 1.0
"York County(6,10)",42133,***,552.2 ,318.4, 869.5,5,*,*,*,*
"Allegheny County(6,10)",42003,***,391.6 ,247.1, 580.5,6,stable,5.7 ,-23.6, 46.3
"Monroe County(6,10)",42089,***,346.7 ,187.4, 580.9,3,*,*,*,*
"Philadelphia County(6,10)",42101,***,51.5 ,32.9, 76.1,6,falling,-13.5 ,-22.8, -3.2
"Adams County(6,10)",42001,***,* ,*, *,3 or fewer,*,*,*,*
"Armstrong County(6,10)",42005,***,* ,*, *,3 or fewer,*,*,*,*
"Beaver County(6,10)",42007,***,* ,*, *,3 or fewer,*,*,*,*
"Bedford County(6,10)",42009,***,* ,*, *,3 or fewer,*,*,*,*
"Berks County(6,10)",42011,***,* ,*, *,3 or fewer,*,*,*,*
"Blair County(6,10)",42013,***,* ,*, *,3 or fewer,*,*,*,*
"Bradford County(6,10)",42015,***,* ,*, *,3 or fewer,*,*,*,*
"Bucks County(6,10)",42017,***,* ,*, *,3 or fewer,*,*,*,*
"Butler County(6,10)",42019,***,* ,*, *,3 or fewer,*,*,*,*
