locale,fips,value (percent),people (female),rank within us,age,areatype,demo,file_name,race,sex,source_url,stateFIPS,topic,type,people (male)
United States,0.0,50.8,162985654.0,,1,country,105,demographics_026.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=44&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,44,pop,manyareacensus,
Rhode Island,44000.0,51.5,543557.0,44 of 52,1,county,105,demographics_026.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=44&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,44,pop,manyareacensus,
Newport County,44005.0,50.8,42252.0,2032 of 3141,1,county,105,demographics_026.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=44&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,44,pop,manyareacensus,
Providence County,44007.0,51.5,326192.0,2638 of 3141,1,county,105,demographics_026.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=44&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,44,pop,manyareacensus,
Washington County,44009.0,51.5,65036.0,2681 of 3141,1,county,105,demographics_026.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=44&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,44,pop,manyareacensus,
Kent County,44003.0,51.6,84674.0,2730 of 3141,1,county,105,demographics_026.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=44&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,44,pop,manyareacensus,
Bristol County,44001.0,51.8,25403.0,2828 of 3141,1,county,105,demographics_026.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=44&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,44,pop,manyareacensus,
Rhode Island,44000.0,48.5,,9 of 52,1,county,104,demographics_027.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=44&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,44,pop,manyareacensus,512581.0
United States,0.0,49.2,,,1,country,104,demographics_027.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=44&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,44,pop,manyareacensus,158018753.0
Bristol County,44001.0,48.2,,314 of 3141,1,county,104,demographics_027.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=44&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,44,pop,manyareacensus,23625.0
Kent County,44003.0,48.4,,412 of 3141,1,county,104,demographics_027.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=44&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,44,pop,manyareacensus,79338.0
Washington County,44009.0,48.5,,461 of 3141,1,county,104,demographics_027.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=44&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,44,pop,manyareacensus,61154.0
Providence County,44007.0,48.5,,504 of 3141,1,county,104,demographics_027.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=44&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,44,pop,manyareacensus,307512.0
Newport County,44005.0,49.2,,1110 of 3141,1,county,104,demographics_027.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=44&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,44,pop,manyareacensus,40952.0
