------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=45&areatype=county&cancer=001&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '45', 'areatype': 'county', 'cancer': '001', 'race': '00', 'sex': '0', 'age': '001', 'type': 'death', 'file_name': 'deathrates_022.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=45&areatype=county&cancer=001&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for South Carolina by County

"All Cancer Sites, 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 161.4?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"South Carolina",45000,No,171.8 ,170.3, 173.4,9942,falling,-1.5 ,-1.6, -1.3
"United States",00000,Yes,161 ,160.8, 161.1,590623,falling,-1.5 ,-1.6, -1.5
"Lee County",45061,No,220.7 ,193.5, 251,50,stable,0.5 ,-0.3, 1.3
"Marlboro County",45069,No,218.4 ,196.3, 242.6,74,falling,-0.9 ,-1.7, -0.1
"Williamsburg County",45089,No,210.8 ,191.4, 231.7,93,stable,-0.2 ,-0.9, 0.5
"Chester County",45023,No,210.1 ,190.7, 231,90,falling,-0.6 ,-1.1, -0.1
"Fairfield County",45039,No,207.2 ,184.9, 231.7,67,falling,-1.0 ,-1.7, -0.3
"Dillon County",45033,No,203 ,182.6, 225.2,75,falling,-1.1 ,-1.8, -0.3
"Union County",45087,No,201.5 ,181.7, 223.1,78,stable,-0.4 ,-0.9, 0.2
"Allendale County",45005,No,200.8 ,165.5, 241.8,24,falling,-1.4 ,-2.5, -0.4
"Hampton County",45049,No,200.5 ,176, 227.7,50,stable,-0.4 ,-1.2, 0.3
"Barnwell County",45011,No,199 ,175.7, 224.7,55,stable,-0.4 ,-0.9, 0.1
"Colleton County",45029,No,197.9 ,180.8, 216.4,103,stable,-0.4 ,-1.0, 0.2
"Kershaw County",45055,No,196.8 ,183, 211.5,158,falling,-0.8 ,-1.2, -0.4
"Chesterfield County",45025,No,195.7 ,179.4, 213.2,112,falling,-0.8 ,-1.3, -0.3
"Newberry County",45071,No,195.3 ,178, 214,98,falling,-0.7 ,-1.2, -0.2
"Laurens County",45059,No,193.1 ,179.9, 207,167,stable,-0.5 ,-0.9, 0.0
"Marion County",45067,No,193.1 ,174, 213.8,81,falling,-1.1 ,-1.7, -0.5
"Darlington County",45031,No,190.5 ,177.3, 204.4,164,falling,-0.9 ,-1.2, -0.6
"Orangeburg County",45075,No,188.7 ,177.5, 200.6,221,falling,-0.9 ,-1.2, -0.6
"Sumter County",45085,No,188.4 ,177.6, 199.8,232,falling,-0.8 ,-1.3, -0.3
"Clarendon County",45027,No,185.4 ,168.1, 204.2,91,falling,-0.9 ,-1.4, -0.4
"Abbeville County",45001,No,181.5 ,161.8, 203.2,65,stable,-0.6 ,-1.3, 0.1
"Richland County",45079,No,180.7 ,174.4, 187.1,662,falling,-1.3 ,-1.6, -1.0
"Florence County",45041,No,179.4 ,170, 189.1,288,falling,-1.2 ,-1.6, -0.9
"Cherokee County",45021,No,179.4 ,165.1, 194.6,121,falling,-3.0 ,-4.2, -1.8
"Greenwood County",45047,No,178.4 ,166, 191.6,158,falling,-1.1 ,-1.5, -0.8
"Georgetown County",45043,No,176.5 ,164.5, 189.3,176,falling,-1.1 ,-1.5, -0.6
"York County",45091,No,175 ,167.6, 182.7,444,falling,-1.1 ,-1.4, -0.7
"Spartanburg County",45083,No,174.7 ,168.4, 181.1,601,falling,-1.9 ,-2.7, -1.2
