------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=45&areatype=county&cancer=086&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '45', 'areatype': 'county', 'cancer': '086', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_015.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=45&areatype=county&cancer=086&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for South Carolina by County

"Non-Hodgkin Lymphoma (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"South Carolina(6,10)",45000,***,16.9 ,16.4, 17.4,958,stable,0.0 ,-3.5, 3.7
"US (SEER+NPCR)(1,10)",00000,***,19.2 ,19.1, 19.3,69092,stable,-1.3 ,-3.5, 0.9
"Dorchester County(6,10)",45035,***,20.3 ,17.1, 24,29,stable,4.6 ,-16.4, 31.0
"Anderson County(6,10)",45007,***,19.9 ,17.4, 22.7,48,stable,-4.5 ,-19.3, 13.0
"Laurens County(6,10)",45059,***,19.7 ,15.5, 24.7,16,stable,-0.9 ,-26.6, 33.7
"Kershaw County(6,10)",45055,***,18.9 ,14.7, 24.1,14,stable,-8.8 ,-39.4, 37.3
"Lexington County(6,10)",45063,***,18.9 ,16.7, 21.3,58,stable,6.3 ,-8.8, 23.9
"Georgetown County(6,10)",45043,***,18.8 ,14.7, 23.7,17,stable,3.2 ,-13.0, 22.4
"Charleston County(6,10)",45019,***,18.5 ,16.7, 20.5,78,stable,-0.7 ,-7.8, 6.9
"Greenville County(6,10)",45045,***,18.4 ,16.8, 20.1,98,stable,0.9 ,-10.8, 14.1
"Aiken County(6,10)",45003,***,17.7 ,15.2, 20.6,37,stable,3.4 ,-5.5, 13.2
"Darlington County(6,10)",45031,***,17.7 ,13.7, 22.5,14,stable,0.5 ,-34.0, 52.9
"Berkeley County(6,10)",45015,***,17.5 ,14.9, 20.4,35,stable,0.2 ,-11.3, 13.3
"Richland County(6,10)",45079,***,17.3 ,15.4, 19.4,64,stable,-0.7 ,-13.3, 13.9
"Edgefield County(6,10)",45037,***,17.3 ,11.3, 25.6,5,*,*,*,*
"Chesterfield County(6,10)",45025,***,17.3 ,12.6, 23.3,9,stable,-3.5 ,-47.1, 76.1
"Saluda County(6,10)",45081,***,17.1 ,10.5, 26.6,4,stable,-26.1 ,-58.9, 33.1
"Greenwood County(6,10)",45047,***,16.9 ,13.1, 21.5,14,stable,-10.5 ,-37.9, 28.9
"York County(6,10)",45091,***,16.9 ,14.7, 19.4,43,falling,-7.3 ,-12.9, -1.4
"Abbeville County(6,10)",45001,***,16.8 ,11, 24.8,6,stable,-2.9 ,-36.8, 49.3
"Florence County(6,10)",45041,***,16.5 ,13.7, 19.7,25,stable,9.7 ,-11.0, 35.0
"Barnwell County(6,10)",45011,***,16.5 ,10.2, 25.3,5,stable,18.0 ,-4.6, 46.1
"Hampton County(6,10)",45049,***,16.4 ,9.7, 26,4,stable,-23.7 ,-59.2, 42.8
"Spartanburg County(6,10)",45083,***,16.3 ,14.4, 18.3,56,stable,5.2 ,-15.5, 30.9
"Calhoun County(6,10)",45017,***,16.2 ,8.9, 27.5,3,stable,0.5 ,-77.6, 349.8
"Lancaster County(6,10)",45057,***,16.1 ,12.8, 20.1,17,stable,-3.3 ,-29.4, 32.5
"Horry County(6,10)",45051,***,15.8 ,14.1, 17.7,67,rising,4.6 ,0.7, 8.6
"Sumter County(6,10)",45085,***,15.8 ,12.7, 19.4,18,stable,-4.9 ,-30.8, 30.6
"Beaufort County(6,10)",45013,***,15.4 ,13.4, 17.8,45,stable,-6.4 ,-21.0, 10.9
"Colleton County(6,10)",45029,***,15.4 ,10.7, 21.6,8,stable,-0.1 ,-47.0, 88.4
"Oconee County(6,10)",45073,***,14.9 ,11.8, 18.7,17,stable,-6.0 ,-24.3, 16.7
"Fairfield County(6,10)",45039,***,14.8 ,9.3, 22.7,5,stable,-9.1 ,-20.5, 3.9
"Chester County(6,10)",45023,***,14.7 ,9.8, 21.2,6,stable,-3.0 ,-18.1, 14.9
"Pickens County(6,10)",45077,***,14.6 ,11.9, 17.9,20,rising,21.6 ,6.8, 38.3
"Marion County(6,10)",45067,***,13.7 ,9.1, 20.2,6,stable,20.4 ,-26.8, 98.1
"Cherokee County(6,10)",45021,***,13.1 ,9.5, 17.7,9,stable,-6.6 ,-47.4, 65.9
"Newberry County(6,10)",45071,***,12.8 ,8.6, 18.4,7,stable,-3.0 ,-24.9, 25.2
"Union County(6,10)",45087,***,12.7 ,7.9, 19.6,5,stable,10.1 ,-39.5, 100.5
"Williamsburg County(6,10)",45089,***,11.9 ,7.6, 18.1,5,stable,11.6 ,-17.5, 51.0
