------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=45&areatype=county&cancer=001&race=07&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '45', 'areatype': 'county', 'cancer': '001', 'race': '07', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=45&areatype=county&cancer=001&race=07&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for South Carolina by County

"All Cancer Sites (All Stages^), 2012-2016"

"White Non-Hispanic, Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"South Carolina(6,10)",45000,***,464.6 ,461.6, 467.7,19825,stable,-0.6 ,-2.3, 1.2
"US (SEER+NPCR) &sect; (1,10)",00000,***,464.2 ,463.8, 464.6,1254697,stable,-0.7 ,-1.6, 0.1
"Union County(6,10)",45087,***,513.3 ,475.2, 554.1,144,stable,4.5 ,-9.4, 20.6
"Chester County(6,10)",45023,***,507.2 ,469.4, 547.6,144,stable,-1.9 ,-8.8, 5.5
"Marlboro County(6,10)",45069,***,498.4 ,449.9, 551.3,84,stable,-6.4 ,-20.3, 10.0
"Sumter County(6,10)",45085,***,497.4 ,472.8, 523.1,318,stable,-1.6 ,-5.5, 2.4
"Colleton County(6,10)",45029,***,491.9 ,456.9, 529.3,158,stable,0.7 ,-3.6, 5.1
"Berkeley County(6,10)",45015,***,491.8 ,474.9, 509.1,701,stable,-3.4 ,-10.0, 3.6
"Jasper County(6,10)",45053,***,491.5 ,442.9, 544.6,86,stable,0.3 ,-12.1, 14.4
"Lee County(6,10)",45061,***,491.5 ,426.4, 565.1,47,stable,-4.5 ,-18.2, 11.6
"Williamsburg County(6,10)",45089,***,490.7 ,440.5, 545.8,80,stable,-2.2 ,-10.5, 6.9
"Dorchester County(6,10)",45035,***,487.8 ,469.1, 507,548,stable,-3.5 ,-7.3, 0.5
"Spartanburg County(6,10)",45083,***,483.8 ,471.8, 496,1314,stable,0.3 ,-4.7, 5.4
"Laurens County(6,10)",45059,***,483 ,458.3, 508.9,308,stable,2.4 ,-4.2, 9.3
"Pickens County(6,10)",45077,***,482.4 ,465, 500.4,615,stable,-1.8 ,-6.6, 3.3
"Greenville County(6,10)",45045,***,477.1 ,467.8, 486.7,2071,stable,-0.4 ,-1.1, 0.2
"Cherokee County(6,10)",45021,***,476.6 ,450.4, 504.1,261,stable,-3.6 ,-9.2, 2.4
"Anderson County(6,10)",45007,***,474.8 ,461.2, 488.8,972,stable,-0.7 ,-5.6, 4.5
"York County(6,10)",45091,***,474.4 ,461.1, 488,1016,stable,2.3 ,-2.0, 6.8
"Clarendon County(6,10)",45027,***,473.7 ,434.3, 516.4,129,falling,-7.7 ,-10.5, -4.7
"Florence County(6,10)",45041,***,473.1 ,453.7, 493.2,475,stable,-1.6 ,-4.7, 1.7
"Darlington County(6,10)",45031,***,471 ,444.6, 498.8,257,stable,-2.0 ,-12.1, 9.3
"Georgetown County(6,10)",45043,***,469.4 ,444.1, 496,332,stable,-0.2 ,-7.5, 7.8
"Horry County(6,10)",45051,***,468.6 ,458.1, 479.4,1761,stable,-1.8 ,-7.4, 4.3
"Dillon County(6,10)",45033,***,468.3 ,426.1, 513.9,98,stable,-0.4 ,-10.5, 10.9
