------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=45&areatype=county&cancer=053&stage=211&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '45', 'areatype': 'county', 'cancer': '053', 'stage': '211', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_050.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=45&areatype=county&cancer=053&stage=211&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for South Carolina by County

"Melanoma of the Skin (Late Stage^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Percent of Cases with Late Stage
"South Carolina(6)",45000,***,2.8 ,2.6, 3,157,12.0
"US (SEER+NPCR)(1)",00000,***,3 ,3, 3,10716,13.8
"Pickens County(6)",45077,***,5 ,3.4, 7.1,7,13.0
"Lancaster County(6)",45057,***,3.9 ,2.3, 6.2,4,14.0
"Anderson County(6)",45007,***,3.9 ,2.8, 5.2,9,13.7
"Spartanburg County(6)",45083,***,3.5 ,2.6, 4.5,12,11.1
"Florence County(6)",45041,***,3.3 ,2.1, 4.8,5,28.7
"Horry County(6)",45051,***,3.2 ,2.4, 4.2,13,12.3
"Greenville County(6)",45045,***,3.2 ,2.5, 3.9,17,7.5
"Dorchester County(6)",45035,***,3 ,1.8, 4.6,4,10.8
"Charleston County(6)",45019,***,2.9 ,2.2, 3.8,13,11.1
"Berkeley County(6)",45015,***,2.8 ,1.8, 4,6,12.8
"Beaufort County(6)",45013,***,2.6 ,1.8, 3.8,7,10.2
"Lexington County(6)",45063,***,2.6 ,1.8, 3.6,8,11.5
"Aiken County(6)",45003,***,2.4 ,1.5, 3.7,5,19.0
"York County(6)",45091,***,2.3 ,1.5, 3.3,6,11.1
"Richland County(6)",45079,***,1.5 ,1, 2.2,5,12.1
"Abbeville County(6)",45001,***,* ,*, *,3 or fewer,*
"Allendale County(6)",45005,***,* ,*, *,3 or fewer,*
"Bamberg County(6)",45009,***,* ,*, *,3 or fewer,*
"Barnwell County(6)",45011,***,* ,*, *,3 or fewer,*
"Calhoun County(6)",45017,***,* ,*, *,3 or fewer,*
"Cherokee County(6)",45021,***,* ,*, *,3 or fewer,*
"Chester County(6)",45023,***,* ,*, *,3 or fewer,*
"Chesterfield County(6)",45025,***,* ,*, *,3 or fewer,*
"Clarendon County(6)",45027,***,* ,*, *,3 or fewer,*
"Colleton County(6)",45029,***,* ,*, *,3 or fewer,*
"Darlington County(6)",45031,***,* ,*, *,3 or fewer,*
"Dillon County(6)",45033,***,* ,*, *,3 or fewer,*
"Edgefield County(6)",45037,***,* ,*, *,3 or fewer,*
"Fairfield County(6)",45039,***,* ,*, *,3 or fewer,*
"Georgetown County(6)",45043,***,* ,*, *,3 or fewer,*
"Greenwood County(6)",45047,***,* ,*, *,3 or fewer,*
"Hampton County(6)",45049,***,* ,*, *,3 or fewer,*
"Jasper County(6)",45053,***,* ,*, *,3 or fewer,*
"Kershaw County(6)",45055,***,* ,*, *,3 or fewer,*
"Laurens County(6)",45059,***,* ,*, *,3 or fewer,*
"Lee County(6)",45061,***,* ,*, *,3 or fewer,*
"Marion County(6)",45067,***,* ,*, *,3 or fewer,*
"Marlboro County(6)",45069,***,* ,*, *,3 or fewer,*
"McCormick County(6)",45065,***,* ,*, *,3 or fewer,*
"Newberry County(6)",45071,***,* ,*, *,3 or fewer,*
"Oconee County(6)",45073,***,* ,*, *,3 or fewer,*
"Orangeburg County(6)",45075,***,* ,*, *,3 or fewer,*
"Saluda County(6)",45081,***,* ,*, *,3 or fewer,*
"Sumter County(6)",45085,***,* ,*, *,3 or fewer,*
"Union County(6)",45087,***,* ,*, *,3 or fewer,*
"Williamsburg County(6)",45089,***,* ,*, *,3 or fewer,*

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.

*** No Healthy People 2020 Objective for this cancer.

State Cancer Registries may provide more current or more local data.
"† Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2016 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates."

Rates are computed using cancers classified as malignant based on ICD-O-3. For more information see malignant.html.

"^ Late Stage is defined as cases determined to be regional or distant. Coding is generally based on Surveillance, Epidemiology, and End Results (SEER) summary stage [ https://seer.cancer.gov/tools/ssm/ ] but may include other staging variables if necessary."
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. 

"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
