------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=46&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '46', 'areatype': 'county', 'topic': 'inc', 'demo': '00011', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_005.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=46&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for South Dakota by County
Income: Median household income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US
"South Dakota",46000,54126.000000000,"30 of 52"
"United States",00000,57652.000000000,"N/A"
"Todd County",46121,26285.000000000,"3107 of 3141"
"Shannon County",46113,27804.000000000,"3090 of 3141"
"Buffalo County",46017,30500.000000000,"3047 of 3141"
"Mellette County",46095,31165.000000000,"3027 of 3141"
"Corson County",46031,32260.000000000,"2986 of 3141"
"Ziebach County",46137,35000.000000000,"2873 of 3141"
"Jackson County",46071,38041.000000000,"2633 of 3141"
"Haakon County",46055,38873.000000000,"2571 of 3141"
"Jones County",46075,39432.000000000,"2516 of 3141"
"Dewey County",46041,41190.000000000,"2345 of 3141"
"McPherson County",46089,41674.000000000,"2281 of 3141"
"Clay County",46027,41773.000000000,"2269 of 3141"
"Gregory County",46053,42679.000000000,"2173 of 3141"
"Day County",46037,43902.000000000,"2050 of 3141"
"Charles Mix County",46023,44104.000000000,"2024 of 3141"
"Butte County",46019,44786.000000000,"1952 of 3141"
"Bennett County",46007,45725.000000000,"1840 of 3141"
"Walworth County",46129,46623.000000000,"1726 of 3141"
"Faulk County",46049,46750.000000000,"1706 of 3141"
"Lyman County",46085,47113.000000000,"1676 of 3141"
"Clark County",46025,47500.000000000,"1626 of 3141"
"Tripp County",46123,48409.000000000,"1525 of 3141"
"Davison County",46035,48665.000000000,"1497 of 3141"
"Fall River County",46047,48862.000000000,"1476 of 3141"
"Beadle County",46005,48995.000000000,"1469 of 3141"
"Lawrence County",46081,49275.000000000,"1439 of 3141"
"Hutchinson County",46067,49583.000000000,"1411 of 3141"
"Jerauld County",46073,49882.000000000,"1373 of 3141"
"Yankton County",46135,50029.000000000,"1357 of 3141"
"Perkins County",46105,50450.000000000,"1306 of 3141"
"Miner County",46097,50658.000000000,"1281 of 3141"
"Hand County",46059,50720.000000000,"1272 of 3141"
"Brule County",46015,50870.000000000,"1250 of 3141"
"Roberts County",46109,51228.000000000,"1208 of 3141"
"Campbell County",46021,51548.000000000,"1167 of 3141"
"Potter County",46107,51597.000000000,"1161 of 3141"
"Spink County",46115,52000.000000000,"1121 of 3141"
"Codington County",46029,52025.000000000,"1116 of 3141"
"Pennington County",46103,52245.000000000,"1091 of 3141"
"Douglas County",46043,52543.000000000,"1055 of 3141"
"Bon Homme County",46009,52923.000000000,"1024 of 3141"
"Brookings County",46011,53473.000000000,"984 of 3141"
"Hyde County",46069,53696.000000000,"958 of 3141"
"Brown County",46013,53807.000000000,"944 of 3141"
"Meade County",46093,54286.000000000,"897 of 3141"
"Turner County",46125,54294.000000000,"896 of 3141"
"Sanborn County",46111,54677.000000000,"860 of 3141"
"Harding County",46063,55972.000000000,"771 of 3141"
"Moody County",46101,56233.000000000,"753 of 3141"
"Grant County",46051,56276.000000000,"748 of 3141"
"Custer County",46033,56449.000000000,"731 of 3141"
"Aurora County",46003,57257.000000000,"683 of 3141"
"Minnehaha County",46099,57322.000000000,"671 of 3141"
"Deuel County",46039,57969.000000000,"631 of 3141"
"Lake County",46079,58467.000000000,"603 of 3141"
"Kingsbury County",46077,58794.000000000,"581 of 3141"
"Hughes County",46065,59741.000000000,"531 of 3141"
"Sully County",46119,60694.000000000,"486 of 3141"
"McCook County",46087,60808.000000000,"477 of 3141"
"Marshall County",46091,60948.000000000,"469 of 3141"
"Hamlin County",46057,61784.000000000,"431 of 3141"
"Hanson County",46061,62448.000000000,"405 of 3141"
"Stanley County",46117,63233.000000000,"369 of 3141"
"Edmunds County",46045,65380.000000000,"313 of 3141"
"Union County",46127,65434.000000000,"310 of 3141"
"Lincoln County",46083,81849.000000000,"90 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
"South Dakota County Name Change: please note that Shannon County, SD (FIPS code=46113) was renamed effective May 1, 2015, and the new name is Oglala Lakota County (FIPS Code=46102). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income: Median household income, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#income."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
Data for United States does not include Puerto Rico.
