------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=46&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '46', 'areatype': 'county', 'topic': 'lang', 'demo': '00015', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=46&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for South Dakota by County
Non-English Language: Language isolation
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (language Isolation),Rank within US
"South Dakota",46000,1.3,4351,"11 of 51"
"United States",00000,4.5,5305440,"N/A"
"Butte County",46019,0.0,0,"1 of 3140"
"Campbell County",46021,0.0,0,"1 of 3140"
"Davison County",46035,0.0,0,"1 of 3140"
"Day County",46037,0.0,0,"1 of 3140"
"Faulk County",46049,0.0,0,"1 of 3140"
"Haakon County",46055,0.0,0,"1 of 3140"
"Hand County",46059,0.0,0,"1 of 3140"
"Harding County",46063,0.0,0,"1 of 3140"
"Jones County",46075,0.0,0,"1 of 3140"
"Lyman County",46085,0.0,0,"1 of 3140"
"Mellette County",46095,0.0,0,"1 of 3140"
"Perkins County",46105,0.0,0,"1 of 3140"
"Potter County",46107,0.0,0,"1 of 3140"
"Stanley County",46117,0.0,0,"1 of 3140"
"Sully County",46119,0.0,0,"1 of 3140"
"Kingsbury County",46077,0.1,2,"385 of 3140"
"Bon Homme County",46009,0.1,3,"430 of 3140"
"Moody County",46101,0.2,4,"493 of 3140"
"Gregory County",46053,0.2,3,"501 of 3140"
"Roberts County",46109,0.2,6,"518 of 3140"
"Lawrence County",46081,0.2,26,"665 of 3140"
"Dewey County",46041,0.2,4,"673 of 3140"
"Charles Mix County",46023,0.3,8,"694 of 3140"
"Clark County",46025,0.3,4,"713 of 3140"
"Brule County",46015,0.3,6,"741 of 3140"
"Grant County",46051,0.3,10,"800 of 3140"
"Hanson County",46061,0.4,4,"929 of 3140"
"Codington County",46029,0.4,46,"937 of 3140"
"Meade County",46093,0.5,55,"1127 of 3140"
"Miner County",46097,0.5,5,"1138 of 3140"
"Union County",46127,0.5,32,"1144 of 3140"
"Pennington County",46103,0.5,223,"1151 of 3140"
"Lake County",46079,0.5,25,"1153 of 3140"
"Tripp County",46123,0.5,13,"1180 of 3140"
"Yankton County",46135,0.5,51,"1197 of 3140"
"Bennett County",46007,0.6,6,"1319 of 3140"
"Spink County",46115,0.7,18,"1395 of 3140"
"Buffalo County",46017,0.8,4,"1477 of 3140"
"Edmunds County",46045,0.8,12,"1483 of 3140"
"Deuel County",46039,0.8,14,"1491 of 3140"
"Corson County",46031,0.8,10,"1538 of 3140"
"Fall River County",46047,0.9,29,"1659 of 3140"
"Lincoln County",46083,0.9,175,"1663 of 3140"
"Turner County",46125,0.9,33,"1665 of 3140"
"Hutchinson County",46067,0.9,27,"1667 of 3140"
"Sanborn County",46111,1.0,10,"1678 of 3140"
"Hughes County",46065,1.0,73,"1702 of 3140"
"Custer County",46033,1.1,43,"1805 of 3140"
"Todd County",46121,1.2,34,"1907 of 3140"
"Brookings County",46011,1.3,158,"1922 of 3140"
"McPherson County",46089,1.3,13,"1941 of 3140"
"Shannon County",46113,1.3,38,"1957 of 3140"
"Walworth County",46129,1.3,30,"1958 of 3140"
"Ziebach County",46137,1.3,10,"1958 of 3140"
"McCook County",46087,1.3,29,"1979 of 3140"
"Clay County",46027,1.5,77,"2054 of 3140"
"Hyde County",46069,1.5,9,"2119 of 3140"
"Jerauld County",46073,1.8,16,"2233 of 3140"
"Aurora County",46003,1.8,21,"2242 of 3140"
"Hamlin County",46057,2.2,48,"2395 of 3140"
"Minnehaha County",46099,2.4,1779,"2485 of 3140"
"Brown County",46013,2.4,394,"2486 of 3140"
"Marshall County",46091,2.8,51,"2593 of 3140"
"Jackson County",46071,3.3,32,"2681 of 3140"
"Douglas County",46043,4.2,54,"2796 of 3140"
"Beadle County",46005,7.5,574,"2986 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
"South Dakota County Name Change: please note that Shannon County, SD (FIPS code=46113) was renamed effective May 1, 2015, and the new name is Oglala Lakota County (FIPS Code=46102). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Non-English Language: Language isolation, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#non-english."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
A "limited English speaking household" is one in which no member 14 years old and over (1) speaks only English or (2) speaks a non-English language and speaks English "very well."
Data for United States does not include Puerto Rico.
