------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=46&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '46', 'areatype': 'county', 'topic': 'mob', 'demo': '00019', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_010.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=46&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for South Dakota by County
"Mobility: Moved, different county this state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different County In Same State),Rank within US
"United States",00000,3.2,10247779,"N/A"
"South Dakota",46000,4.4,36750,"47 of 51"
"Jones County",46075,0.0,0,"1 of 3140"
"Corson County",46031,0.6,25,"18 of 3140"
"Buffalo County",46017,1.2,24,"73 of 3140"
"Fall River County",46047,1.2,81,"75 of 3140"
"Potter County",46107,1.2,28,"79 of 3140"
"Shannon County",46113,1.3,181,"95 of 3140"
"Jerauld County",46073,1.3,26,"97 of 3140"
"Dewey County",46041,1.4,77,"118 of 3140"
"Grant County",46051,1.5,106,"148 of 3140"
"Haakon County",46055,1.5,31,"149 of 3140"
"Ziebach County",46137,1.5,42,"150 of 3140"
"Beadle County",46005,2.1,374,"379 of 3140"
"Todd County",46121,2.1,205,"384 of 3140"
"Miner County",46097,2.5,55,"619 of 3140"
"Hand County",46059,2.5,82,"634 of 3140"
"Perkins County",46105,2.6,76,"694 of 3140"
"Sully County",46119,2.6,36,"718 of 3140"
"Tripp County",46123,2.7,144,"738 of 3140"
"Deuel County",46039,2.7,115,"799 of 3140"
"Campbell County",46021,2.8,40,"846 of 3140"
"Charles Mix County",46023,2.8,257,"846 of 3140"
"Mellette County",46095,2.9,58,"886 of 3140"
"Gregory County",46053,2.9,121,"919 of 3140"
"Lyman County",46085,2.9,112,"938 of 3140"
"Brown County",46013,3.0,1155,"986 of 3140"
"Edmunds County",46045,3.0,120,"998 of 3140"
"Sanborn County",46111,3.1,73,"1064 of 3140"
"Union County",46127,3.2,466,"1083 of 3140"
"Jackson County",46071,3.3,104,"1169 of 3140"
"Roberts County",46109,3.3,333,"1194 of 3140"
"Minnehaha County",46099,3.4,6110,"1241 of 3140"
"Hanson County",46061,3.5,118,"1354 of 3140"
"Walworth County",46129,3.6,198,"1462 of 3140"
"Pennington County",46103,3.7,3913,"1476 of 3140"
"Yankton County",46135,3.8,852,"1584 of 3140"
"Aurora County",46003,3.9,105,"1616 of 3140"
"Codington County",46029,3.9,1074,"1644 of 3140"
"Brule County",46015,4.0,207,"1710 of 3140"
"Spink County",46115,4.1,261,"1737 of 3140"
"Harding County",46063,4.4,56,"1957 of 3140"
"Marshall County",46091,4.7,218,"2104 of 3140"
"Douglas County",46043,4.7,138,"2127 of 3140"
"Bennett County",46007,4.9,165,"2187 of 3140"
"Butte County",46019,4.9,500,"2226 of 3140"
"Day County",46037,5.1,278,"2293 of 3140"
"Lake County",46079,5.2,634,"2344 of 3140"
"Stanley County",46117,5.2,154,"2354 of 3140"
"Moody County",46101,5.2,333,"2355 of 3140"
"Davison County",46035,5.5,1068,"2478 of 3140"
"Lawrence County",46081,5.5,1372,"2497 of 3140"
"Hyde County",46069,5.6,75,"2509 of 3140"
"Hughes County",46065,5.9,1016,"2604 of 3140"
"Hutchinson County",46067,5.9,423,"2615 of 3140"
"Custer County",46033,6.2,522,"2676 of 3140"
"Turner County",46125,6.2,507,"2687 of 3140"
"Hamlin County",46057,6.5,375,"2730 of 3140"
"Lincoln County",46083,6.5,3415,"2749 of 3140"
"Kingsbury County",46077,6.6,328,"2767 of 3140"
"McPherson County",46089,6.7,158,"2788 of 3140"
"Clark County",46025,7.6,274,"2916 of 3140"
"McCook County",46087,7.7,420,"2926 of 3140"
"Brookings County",46011,7.7,2577,"2928 of 3140"
"Meade County",46093,8.0,2150,"2959 of 3140"
"Clay County",46027,9.4,1291,"3040 of 3140"
"Bon Homme County",46009,9.7,671,"3050 of 3140"
"Faulk County",46049,10.9,247,"3089 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
"South Dakota County Name Change: please note that Shannon County, SD (FIPS code=46113) was renamed effective May 1, 2015, and the new name is Oglala Lakota County (FIPS Code=46102). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different county this state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
