------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=46&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '46', 'areatype': 'county', 'topic': 'pop', 'demo': '00104', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_027.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=46&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for South Dakota by County
Population: Sex - Male
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Male),Rank within US
"United States",00000,49.2,158018753,"N/A"
"South Dakota",46000,50.3,430587,"49 of 52"
"Bennett County",46007,45.6,1567,"14 of 3141"
"Jerauld County",46073,47.0,955,"73 of 3141"
"Buffalo County",46017,48.0,984,"263 of 3141"
"Shannon County",46113,48.5,6934,"503 of 3141"
"Walworth County",46129,48.7,2678,"599 of 3141"
"Potter County",46107,48.7,1130,"652 of 3141"
"Hughes County",46065,48.9,8599,"829 of 3141"
"Brown County",46013,48.9,18909,"833 of 3141"
"Todd County",46121,49.0,4905,"872 of 3141"
"Douglas County",46043,49.3,1448,"1144 of 3141"
"Mellette County",46095,49.3,1017,"1222 of 3141"
"Lincoln County",46083,49.4,26250,"1329 of 3141"
"Dewey County",46041,49.4,2823,"1400 of 3141"
"Hutchinson County",46067,49.7,3616,"1663 of 3141"
"Spink County",46115,49.7,3221,"1694 of 3141"
"Lawrence County",46081,49.7,12441,"1696 of 3141"
"Brule County",46015,49.7,2626,"1706 of 3141"
"Charles Mix County",46023,49.8,4637,"1733 of 3141"
"Butte County",46019,49.8,5078,"1776 of 3141"
"McPherson County",46089,49.9,1180,"1826 of 3141"
"Campbell County",46021,49.9,720,"1852 of 3141"
"Hyde County",46069,50.0,686,"1913 of 3141"
"Clay County",46027,50.0,6955,"1958 of 3141"
"Ziebach County",46137,50.1,1421,"2011 of 3141"
"Davison County",46035,50.1,9895,"2023 of 3141"
"Perkins County",46105,50.1,1485,"2028 of 3141"
"Custer County",46033,50.2,4275,"2099 of 3141"
"Pennington County",46103,50.2,54305,"2134 of 3141"
"Turner County",46125,50.2,4140,"2143 of 3141"
"Haakon County",46055,50.2,1047,"2154 of 3141"
"Minnehaha County",46099,50.3,92360,"2190 of 3141"
"Hanson County",46061,50.4,1714,"2235 of 3141"
"Union County",46127,50.4,7525,"2280 of 3141"
"Fall River County",46047,50.5,3424,"2314 of 3141"
"McCook County",46087,50.5,2784,"2315 of 3141"
"Kingsbury County",46077,50.5,2527,"2345 of 3141"
"Edmunds County",46045,50.6,2008,"2350 of 3141"
"Codington County",46029,50.6,14163,"2400 of 3141"
"Hand County",46059,50.7,1673,"2402 of 3141"
"Roberts County",46109,50.7,5192,"2405 of 3141"
"Jackson County",46071,50.7,1659,"2406 of 3141"
"Jones County",46075,50.7,375,"2416 of 3141"
"Tripp County",46123,50.7,2781,"2454 of 3141"
"Beadle County",46005,50.8,9219,"2459 of 3141"
"Corson County",46031,50.9,2125,"2496 of 3141"
"Brookings County",46011,50.9,17153,"2509 of 3141"
"Moody County",46101,51.0,3312,"2533 of 3141"
"Hamlin County",46057,51.2,3024,"2591 of 3141"
"Grant County",46051,51.2,3652,"2602 of 3141"
"Gregory County",46053,51.2,2156,"2611 of 3141"
"Sanborn County",46111,51.2,1212,"2613 of 3141"
"Day County",46037,51.3,2834,"2632 of 3141"
"Faulk County",46049,51.4,1196,"2663 of 3141"
"Clark County",46025,51.5,1877,"2694 of 3141"
"Lake County",46079,51.7,6387,"2727 of 3141"
"Miner County",46097,51.8,1167,"2732 of 3141"
"Stanley County",46117,51.8,1552,"2742 of 3141"
"Yankton County",46135,52.0,11786,"2780 of 3141"
"Marshall County",46091,52.0,2477,"2791 of 3141"
"Lyman County",46085,52.1,2024,"2804 of 3141"
"Meade County",46093,52.2,14134,"2818 of 3141"
"Deuel County",46039,52.5,2246,"2852 of 3141"
"Aurora County",46003,52.8,1445,"2874 of 3141"
"Harding County",46063,53.4,684,"2936 of 3141"
"Sully County",46119,54.4,756,"3003 of 3141"
"Bon Homme County",46009,58.2,4057,"3085 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
"South Dakota County Name Change: please note that Shannon County, SD (FIPS code=46113) was renamed effective May 1, 2015, and the new name is Oglala Lakota County (FIPS Code=46102). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Male, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
