------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=46&areatype=county&cancer=001&race=00&sex=0&age=009&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '46', 'areatype': 'county', 'cancer': '001', 'race': '00', 'sex': '0', 'age': '009', 'type': 'incd', 'file_name': 'incidencerates_036.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=46&areatype=county&cancer=001&race=00&sex=0&age=009&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for South Dakota by County

"All Cancer Sites (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, Ages <50"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"South Dakota(6,10)",46000,***,106.3 ,102.2, 110.6,508,stable,-0.9 ,-6.5, 5.0
"US (SEER+NPCR)(1,10)",00000,***,105 ,104.8, 105.2,208468,stable,0.1 ,-0.8, 1.1
"Kingsbury County(6,10)",46077,***,180.7 ,114, 271.4,5,stable,-1.3 ,-44.9, 76.9
"McCook County(6,10)",46087,***,175.9 ,114.5, 257.5,5,stable,-20.2 ,-41.0, 8.1
"Charles Mix County(6,10)",46023,***,170 ,120.6, 231.9,8,stable,-13.2 ,-43.8, 34.1
"Union County(6,10)",46127,***,150.4 ,116.1, 191.4,13,stable,-11.0 ,-21.3, 0.7
"Fall River County(6,10)",46047,***,147.6 ,94, 220.7,5,*,*,*,*
"Spink County(6,10)",46115,***,146.4 ,92.2, 219.3,5,stable,6.5 ,-59.1, 177.4
"Turner County(6,10)",46125,***,128.4 ,85.9, 184.6,6,stable,4.1 ,-39.6, 79.5
"Beadle County(6,10)",46005,***,127.7 ,97.4, 164.3,12,stable,-1.9 ,-42.5, 67.4
"Roberts County(6,10)",46109,***,127.7 ,87.1, 179.9,6,stable,16.0 ,-15.4, 59.1
"Davison County(6,10)",46035,***,125 ,96.5, 158.8,13,stable,4.7 ,-24.1, 44.3
"Hamlin County(6,10)",46057,***,119.1 ,69.3, 189,3,stable,-11.9 ,-63.4, 112.1
"Custer County(6,10)",46033,***,118.4 ,74.4, 179.1,5,stable,-2.1 ,-60.5, 142.7
"Grant County(6,10)",46051,***,116.2 ,72.7, 176,4,stable,2.3 ,-59.2, 156.2
"Brown County(6,10)",46013,***,115.2 ,95.4, 137.7,24,stable,17.1 ,-1.5, 39.2
"Butte County(6,10)",46019,***,115 ,77.8, 163.4,6,stable,-7.5 ,-38.2, 38.7
"Hughes County(6,10)",46065,***,108.8 ,82, 141.4,11,stable,-8.4 ,-36.6, 32.3
"Pennington County(6,10)",46103,***,108.5 ,96.9, 121,65,stable,2.1 ,-17.2, 25.9
"Lawrence County(6,10)",46081,***,107.7 ,83.5, 136.4,14,stable,5.9 ,-40.6, 88.7
"Minnehaha County(6,10)",46099,***,107.1 ,98.6, 116,120,stable,-5.7 ,-15.5, 5.3
"Hutchinson County(6,10)",46067,***,104.9 ,63, 163.6,4,*,*,*,*
"Brookings County(6,10)",46011,***,103.7 ,82.3, 128.5,18,stable,-5.7 ,-28.4, 24.2
"Lincoln County(6,10)",46083,***,94 ,79.9, 109.9,32,stable,10.9 ,-7.5, 33.0
"Codington County(6,10)",46029,***,92.5 ,72.6, 116.1,15,stable,-15.2 ,-37.4, 14.9
"Meade County(6,10)",46093,***,92.4 ,71.4, 117.4,13,stable,12.0 ,-2.4, 28.4
"Clay County(6,10)",46027,***,90.1 ,59.5, 130,6,stable,16.3 ,-26.1, 83.1
"Yankton County(6,10)",46135,***,79.7 ,59.5, 104.4,11,stable,2.1 ,-33.6, 57.1
"Bon Homme County(6,10)",46009,***,75.8 ,43.1, 123.8,3,stable,12.5 ,-17.2, 53.0
"Lake County(6,10)",46079,***,73.3 ,45.6, 111,4,*,*,*,*
"Shannon County(6,10)",46113,***,70.4 ,46.7, 101.1,6,stable,-10.2 ,-34.2, 22.6
"Todd County(6,10)",46121,***,69.2 ,40.6, 108.7,4,*,*,*,*
