------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=46&areatype=county&cancer=055&stage=211&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '46', 'areatype': 'county', 'cancer': '055', 'stage': '211', 'race': '00', 'sex': '2', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_042.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=46&areatype=county&cancer=055&stage=211&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for South Dakota by County

"Breast (Late Stage^), 2012-2016"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 42.1?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Percent of Cases with Late Stage
"South Dakota(6)",46000,Yes,41.7 ,39, 44.5,198,30.6
"US (SEER+NPCR)(1)",00000,No,42.3 ,42.1, 42.4,78906,33.0
"Fall River County(6)",46047,No,73.1 ,39.1, 126.9,3,43.6
"Beadle County(6)",46005,No,72.5 ,48.3, 104.2,7,39.8
"Union County(6)",46127,No,49.9 ,30.1, 77.9,4,33.3
"Brown County(6)",46013,No,48.1 ,35.1, 64.4,10,30.1
"Codington County(6)",46029,No,47.2 ,32.9, 65.8,8,35.2
"Meade County(6)",46093,No,46.7 ,31.6, 66.5,7,37.9
"Pennington County(6)",46103,No,45.9 ,38.3, 54.6,29,35.8
"Hughes County(6)",46065,No,45.9 ,29.1, 69.2,5,32.5
"Brookings County(6)",46011,No,43.1 ,28.4, 62.3,6,25.9
"Minnehaha County(6)",46099,No,42.7 ,36.8, 49.3,39,27.9
"Lincoln County(6)",46083,Yes,38.6 ,28.4, 51.4,10,28.0
"Yankton County(6)",46135,Yes,31.1 ,18.7, 49.1,4,24.7
"Lawrence County(6)",46081,Yes,28.1 ,17.3, 43.8,5,28.7
"Davison County(6)",46035,Yes,27 ,15.2, 44.9,4,25.7
"Aurora County(6)",46003,Yes,* ,*, *,3 or fewer,*
"Bennett County(6)",46007,Yes,* ,*, *,3 or fewer,*
"Bon Homme County(6)",46009,Yes,* ,*, *,3 or fewer,*
"Brule County(6)",46015,Yes,* ,*, *,3 or fewer,*
"Buffalo County(6)",46017,Yes,* ,*, *,3 or fewer,*
"Butte County(6)",46019,Yes,* ,*, *,3 or fewer,*
"Campbell County(6)",46021,Yes,* ,*, *,3 or fewer,*
"Charles Mix County(6)",46023,Yes,* ,*, *,3 or fewer,*
"Clark County(6)",46025,Yes,* ,*, *,3 or fewer,*
"Clay County(6)",46027,Yes,* ,*, *,3 or fewer,*
"Corson County(6)",46031,Yes,* ,*, *,3 or fewer,*
"Custer County(6)",46033,Yes,* ,*, *,3 or fewer,*
"Day County(6)",46037,Yes,* ,*, *,3 or fewer,*
"Deuel County(6)",46039,Yes,* ,*, *,3 or fewer,*
"Dewey County(6)",46041,Yes,* ,*, *,3 or fewer,*
"Douglas County(6)",46043,Yes,* ,*, *,3 or fewer,*
"Edmunds County(6)",46045,Yes,* ,*, *,3 or fewer,*
"Faulk County(6)",46049,Yes,* ,*, *,3 or fewer,*
"Grant County(6)",46051,Yes,* ,*, *,3 or fewer,*
"Gregory County(6)",46053,Yes,* ,*, *,3 or fewer,*
"Haakon County(6)",46055,Yes,* ,*, *,3 or fewer,*
"Hamlin County(6)",46057,Yes,* ,*, *,3 or fewer,*
"Hand County(6)",46059,Yes,* ,*, *,3 or fewer,*
"Hanson County(6)",46061,Yes,* ,*, *,3 or fewer,*
"Harding County(6)",46063,Yes,* ,*, *,3 or fewer,*
"Hutchinson County(6)",46067,Yes,* ,*, *,3 or fewer,*
"Hyde County(6)",46069,Yes,* ,*, *,3 or fewer,*
"Jackson County(6)",46071,Yes,* ,*, *,3 or fewer,*
"Jerauld County(6)",46073,Yes,* ,*, *,3 or fewer,*
"Jones County(6)",46075,Yes,* ,*, *,3 or fewer,*
"Kingsbury County(6)",46077,Yes,* ,*, *,3 or fewer,*
"Lake County(6)",46079,Yes,* ,*, *,3 or fewer,*
"Lyman County(6)",46085,Yes,* ,*, *,3 or fewer,*
"Marshall County(6)",46091,Yes,* ,*, *,3 or fewer,*
"McCook County(6)",46087,Yes,* ,*, *,3 or fewer,*
"McPherson County(6)",46089,Yes,* ,*, *,3 or fewer,*
"Mellette County(6)",46095,Yes,* ,*, *,3 or fewer,*
"Miner County(6)",46097,Yes,* ,*, *,3 or fewer,*
"Moody County(6)",46101,Yes,* ,*, *,3 or fewer,*
"Perkins County(6)",46105,Yes,* ,*, *,3 or fewer,*
"Potter County(6)",46107,Yes,* ,*, *,3 or fewer,*
"Roberts County(6)",46109,Yes,* ,*, *,3 or fewer,*
"Sanborn County(6)",46111,Yes,* ,*, *,3 or fewer,*
"Shannon County(6)",46113,Yes,* ,*, *,3 or fewer,*
"Spink County(6)",46115,Yes,* ,*, *,3 or fewer,*
"Stanley County(6)",46117,Yes,* ,*, *,3 or fewer,*
"Sully County(6)",46119,Yes,* ,*, *,3 or fewer,*
"Todd County(6)",46121,Yes,* ,*, *,3 or fewer,*
"Tripp County(6)",46123,Yes,* ,*, *,3 or fewer,*
"Turner County(6)",46125,Yes,* ,*, *,3 or fewer,*
"Walworth County(6)",46129,Yes,* ,*, *,3 or fewer,*
"Ziebach County(6)",46137,Yes,* ,*, *,3 or fewer,*

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.

"South Dakota County Name Change: please note that Shannon County, SD (FIPS code=46113) was renamed effective May 1, 2015, and the new name is Oglala Lakota County (FIPS Code=46102). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

State Cancer Registries may provide more current or more local data.
