------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '47', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Tennessee by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"Tennessee",47000,26.1,1166773,"42 of 52"
"United States",00000,30.9,66887603,"N/A"
"Pickett County",47137,7.0,276,"3134 of 3141"
"Morgan County",47129,7.7,1199,"3123 of 3141"
"Jackson County",47087,8.1,689,"3118 of 3141"
"Scott County",47151,8.3,1242,"3109 of 3141"
"Lauderdale County",47097,8.6,1543,"3103 of 3141"
"Union County",47173,8.8,1184,"3094 of 3141"
"Lake County",47095,9.4,533,"3060 of 3141"
"Macon County",47111,9.6,1507,"3050 of 3141"
"Meigs County",47121,9.8,839,"3038 of 3141"
"Van Buren County",47175,9.9,411,"3035 of 3141"
"Hancock County",47067,10.2,487,"3021 of 3141"
"Houston County",47083,10.7,614,"2981 of 3141"
"Perry County",47135,10.8,604,"2971 of 3141"
"Polk County",47139,10.8,1311,"2969 of 3141"
"Johnson County",47091,10.9,1467,"2968 of 3141"
"Hardeman County",47069,10.9,1999,"2962 of 3141"
"Grundy County",47061,11.0,1022,"2959 of 3141"
"Hickman County",47081,11.0,1881,"2958 of 3141"
"Wayne County",47181,11.1,1359,"2946 of 3141"
"Grainger County",47057,11.1,1826,"2944 of 3141"
"Smith County",47159,11.2,1476,"2932 of 3141"
"Cocke County",47029,11.4,2890,"2903 of 3141"
"Decatur County",47039,11.5,966,"2889 of 3141"
"Fentress County",47049,11.7,1494,"2865 of 3141"
"Monroe County",47123,11.7,3759,"2864 of 3141"
"Campbell County",47013,11.8,3364,"2859 of 3141"
"Lewis County",47101,12.0,1024,"2836 of 3141"
"Cannon County",47015,12.2,1197,"2804 of 3141"
"Lawrence County",47099,12.2,3504,"2797 of 3141"
"McNairy County",47109,12.2,2217,"2796 of 3141"
"White County",47185,12.3,2293,"2785 of 3141"
"Haywood County",47075,12.4,1536,"2777 of 3141"
"Bledsoe County",47007,12.4,1361,"2771 of 3141"
"Humphreys County",47085,12.5,1616,"2744 of 3141"
"Clay County",47027,12.8,715,"2704 of 3141"
"Benton County",47005,12.8,1517,"2692 of 3141"
"Hardin County",47071,12.9,2404,"2684 of 3141"
"Claiborne County",47025,13.0,2919,"2667 of 3141"
"Marion County",47115,13.0,2630,"2660 of 3141"
"Overton County",47133,13.0,1992,"2659 of 3141"
"Crockett County",47033,13.0,1282,"2657 of 3141"
