------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=47&areatype=county&cancer=040&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '47', 'areatype': 'county', 'cancer': '040', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_018.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=47&areatype=county&cancer=040&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Tennessee by County

"Pancreas (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Tennessee(6,10)",47000,***,12.4 ,12, 12.7,964,stable,1.2 ,-0.6, 3.0
"US (SEER+NPCR)(1,10)",00000,***,12.8 ,12.7, 12.8,47197,stable,0.4 ,-0.9, 1.7
"Monroe County(6,10)",47123,***,20.9 ,15.9, 27.1,13,stable,6.0 ,-18.6, 38.0
"Marion County(6,10)",47115,***,19.2 ,13.5, 26.8,8,stable,-1.6 ,-32.2, 42.7
"Grundy County(6,10)",47061,***,18.4 ,10.4, 30.7,3,*,*,*,*
"Stewart County(6,10)",47161,***,18.2 ,10.5, 30.1,3,*,*,*,*
"Unicoi County(6,10)",47171,***,17.1 ,10.9, 26.4,5,stable,-21.0 ,-66.9, 88.2
"McNairy County(6,10)",47109,***,17 ,11.4, 24.6,6,stable,-10.8 ,-43.4, 40.5
"Haywood County(6,10)",47075,***,16.5 ,9.7, 26.4,4,*,*,*,*
"Union County(6,10)",47173,***,16.2 ,9.4, 26.2,4,stable,2.3 ,-32.0, 53.8
