------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=48&areatype=county&cancer=066&race=00&sex=1&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'cancer': '066', 'race': '00', 'sex': '1', 'age': '001', 'type': 'death', 'file_name': 'deathrates_018.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=48&areatype=county&cancer=066&race=00&sex=1&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Texas by County

"Prostate, 2012-2016"

"All Races (includes Hispanic), Male, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 21.8?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Texas",48000,Yes,17.9 ,17.5, 18.3,1747,falling,-2.2 ,-3.1, -1.2
"United States",00000,Yes,19.2 ,19.1, 19.3,28497,stable,-0.8 ,-2.1, 0.5
"Milam County",48331,No,33.4 ,21.8, 49.8,5,stable,-0.6 ,-2.4, 1.2
"Limestone County",48293,No,31.9 ,19.9, 48.8,4,stable,-2.2 ,-4.7, 0.3
"Robertson County",48395,No,31.9 ,18.1, 52.8,3,*,*,*,*
"Caldwell County",48055,No,29.6 ,18.9, 43.9,5,falling,-3.0 ,-5.3, -0.6
"Freestone County",48161,No,29.1 ,16.8, 47.2,3,stable,-1.3 ,-3.9, 1.4
"Hopkins County",48223,No,28.4 ,18.5, 41.6,5,*,*,*,*
"Tyler County",48457,No,27.1 ,15.8, 43.7,4,*,*,*,*
"Maverick County",48323,No,26.3 ,17.1, 38.2,5,*,*,*,*
"Anderson County",48001,No,25.8 ,17.8, 36.1,7,falling,-2.7 ,-4.5, -0.8
"Bastrop County",48021,No,25.8 ,18.5, 34.9,9,falling,-3.3 ,-4.8, -1.8
"Potter County",48375,No,25.2 ,19.1, 32.6,12,falling,-3.2 ,-4.5, -1.9
"Randall County",48381,No,25 ,19.3, 31.8,14,falling,-2.1 ,-4.0, -0.2
"Grimes County",48185,No,24.6 ,13.6, 40.6,3,*,*,*,*
"Jefferson County",48245,No,24 ,20.1, 28.5,27,falling,-2.2 ,-2.7, -1.6
"Taylor County",48441,No,24 ,18.7, 30.2,14,stable,-1.4 ,-3.0, 0.2
"Navarro County",48349,No,23.4 ,15.3, 34.2,5,*,*,*,*
"Polk County",48373,No,22.9 ,15.2, 33.3,6,falling,-3.6 ,-6.4, -0.7
"Ellis County",48139,No,22.9 ,17.3, 29.5,12,falling,-2.4 ,-4.0, -0.7
"Wise County",48497,No,22.8 ,15, 33,6,*,*,*,*
"Washington County",48477,No,22.7 ,14.9, 33.6,5,stable,-1.8 ,-3.6, 0.0
"Johnson County",48251,No,22.3 ,17, 28.8,13,stable,16.6 ,-15.0, 60.0
"Galveston County",48167,No,22.3 ,18.7, 26.4,29,falling,-3.5 ,-4.4, -2.6
"Lamar County",48277,No,22.2 ,15, 31.8,6,falling,-2.6 ,-3.9, -1.3
"Walker County",48471,No,22.1 ,14.8, 31.6,6,falling,-3.8 ,-6.0, -1.6
"Rockwall County",48397,No,21.9 ,14.7, 31.1,6,*,*,*,*
"Bowie County",48037,No,21.9 ,16.2, 29,10,falling,-2.8 ,-4.1, -1.4
"Fayette County",48149,No,21.8 ,13.6, 34.3,4,stable,-2.0 ,-4.4, 0.6
"Matagorda County",48321,Yes,21.5 ,12.8, 33.9,4,falling,-4.1 ,-6.3, -1.8
"Hood County",48221,Yes,21.5 ,15.4, 29.6,8,falling,-3.0 ,-4.7, -1.3
"Brown County",48049,Yes,21.4 ,13.8, 31.9,5,falling,-3.0 ,-5.0, -1.0
"Kaufman County",48257,Yes,21 ,14.5, 29,8,falling,-4.1 ,-6.2, -1.9
"Llano County",48299,Yes,20.6 ,10.5, 38,4,falling,-3.4 ,-5.5, -1.2
