------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"United States",00000,12.7,27437114,"N/A"
"Texas",48000,17.2,3005904,"50 of 52"
"Borden County",48033,5.5,23,"148 of 3141"
"Irion County",48235,6.2,65,"222 of 3141"
"Collin County",48085,6.4,37831,"251 of 3141"
"Kendall County",48259,6.9,1897,"332 of 3141"
"Carson County",48065,6.9,281,"335 of 3141"
"Williamson County",48491,7.0,23385,"347 of 3141"
"Roberts County",48393,7.2,43,"379 of 3141"
"Comal County",48091,7.8,6984,"521 of 3141"
"Denton County",48121,8.0,40369,"567 of 3141"
"Rockwall County",48397,8.3,4817,"631 of 3141"
"Randall County",48381,8.3,7127,"650 of 3141"
"Archer County",48009,8.8,544,"746 of 3141"
"Bell County",48027,9.3,18854,"869 of 3141"
"Blanco County",48031,10.1,825,"1036 of 3141"
"Armstrong County",48011,10.1,141,"1040 of 3141"
"Gillespie County",48171,10.1,1919,"1052 of 3141"
"Motley County",48345,10.2,76,"1089 of 3141"
"Fort Bend County",48157,10.3,46565,"1097 of 3141"
"Goliad County",48175,10.4,540,"1125 of 3141"
"Parker County",48367,10.6,8943,"1181 of 3141"
"Clay County",48077,10.6,790,"1189 of 3141"
"Orange County",48361,10.9,6123,"1258 of 3141"
"Hays County",48209,11.0,12644,"1271 of 3141"
"Hood County",48221,11.1,4401,"1282 of 3141"
"Donley County",48129,11.2,251,"1303 of 3141"
"Mason County",48319,11.2,344,"1312 of 3141"
"Travis County",48453,11.2,89336,"1321 of 3141"
"Lampasas County",48281,11.3,1608,"1353 of 3141"
"Morris County",48343,11.8,1044,"1437 of 3141"
"Grayson County",48181,11.8,10039,"1444 of 3141"
"Coryell County",48099,11.8,5562,"1450 of 3141"
"Guadalupe County",48187,11.8,11580,"1451 of 3141"
"Kerr County",48265,11.9,4370,"1470 of 3141"
"Galveston County",48167,12.0,25753,"1488 of 3141"
"Oldham County",48359,12.1,140,"1500 of 3141"
"Baylor County",48023,12.2,312,"1520 of 3141"
"Hardin County",48199,12.4,4646,"1556 of 3141"
"Montgomery County",48339,12.4,43176,"1565 of 3141"
"Newton County",48351,12.4,1227,"1577 of 3141"
"Brazoria County",48039,12.5,27944,"1581 of 3141"
"Bowie County",48037,12.6,7940,"1603 of 3141"
"Taylor County",48441,12.7,10447,"1626 of 3141"
"Burnet County",48053,12.7,3974,"1628 of 3141"
"Callahan County",48059,12.9,1230,"1648 of 3141"
"Franklin County",48159,13.0,937,"1682 of 3141"
"Bandera County",48019,13.0,2126,"1684 of 3141"
"Llano County",48299,13.5,2187,"1757 of 3141"
"Cooke County",48097,13.6,3566,"1770 of 3141"
"Wichita County",48485,13.8,11619,"1801 of 3141"
"Cass County",48067,14.0,2949,"1829 of 3141"
"Sabine County",48403,14.0,1128,"1832 of 3141"
"Kaufman County",48257,14.0,10342,"1833 of 3141"
"Jasper County",48241,14.1,3375,"1843 of 3141"
"Sterling County",48431,14.1,110,"1850 of 3141"
"Brazos County",48041,14.1,15693,"1852 of 3141"
"Chambers County",48071,14.2,3523,"1861 of 3141"
"Brown County",48049,14.4,3699,"1892 of 3141"
"Lubbock County",48303,14.5,25357,"1904 of 3141"
"Hutchinson County",48233,14.5,2057,"1906 of 3141"
"Wood County",48499,14.5,4575,"1909 of 3141"
"Tarrant County",48439,14.6,184105,"1913 of 3141"
"Fannin County",48147,14.8,3535,"1958 of 3141"
"Delta County",48119,14.9,534,"1961 of 3141"
"Shackelford County",48417,14.9,332,"1962 of 3141"
"Brewster County",48043,14.9,1003,"1966 of 3141"
"Somervell County",48425,14.9,892,"1973 of 3141"
"Erath County",48143,14.9,3468,"1975 of 3141"
"Wise County",48497,15.0,6359,"1985 of 3141"
"Coke County",48081,15.1,363,"1992 of 3141"
"Panola County",48365,15.1,2397,"2000 of 3141"
"Smith County",48423,15.1,21902,"2004 of 3141"
"Wilson County",48493,15.2,4794,"2007 of 3141"
"Ellis County",48139,15.2,15875,"2010 of 3141"
