------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=inc&demo=00010&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'inc', 'demo': '00010', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_004.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=inc&demo=00010&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Income: Median family income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US
"Texas",48000,67344.000000000,"29 of 52"
"United States",00000,70850.000000000,"N/A"
"Hudspeth County",48229,27888.000000000,"3133 of 3141"
"Brooks County",48047,28029.000000000,"3131 of 3141"
"Starr County",48427,30558.000000000,"3128 of 3141"
"Willacy County",48489,31361.000000000,"3126 of 3141"
"Zavala County",48507,32000.000000000,"3120 of 3141"
"Presidio County",48377,34719.000000000,"3103 of 3141"
"Kenedy County",48261,36111.000000000,"3086 of 3141"
"Hall County",48191,37647.000000000,"3070 of 3141"
"Dimmit County",48127,37685.000000000,"3068 of 3141"
"Zapata County",48505,39771.000000000,"3042 of 3141"
"Culberson County",48109,40337.000000000,"3027 of 3141"
"Duval County",48131,40625.000000000,"3016 of 3141"
"Cameron County",48061,40627.000000000,"3015 of 3141"
"Hidalgo County",48215,40925.000000000,"3003 of 3141"
"Hansford County",48195,41053.000000000,"3000 of 3141"
"Terrell County",48443,41500.000000000,"2974 of 3141"
"Sabine County",48403,41513.000000000,"2973 of 3141"
"Jim Hogg County",48247,42167.000000000,"2950 of 3141"
"Maverick County",48323,42487.000000000,"2939 of 3141"
"Trinity County",48455,42838.000000000,"2927 of 3141"
"Webb County",48479,43513.000000000,"2903 of 3141"
"Eastland County",48133,44022.000000000,"2881 of 3141"
"Houston County",48225,44092.000000000,"2875 of 3141"
"Cottle County",48101,44500.000000000,"2863 of 3141"
"Red River County",48387,44601.000000000,"2856 of 3141"
"Frio County",48163,45124.000000000,"2830 of 3141"
"Crosby County",48107,45625.000000000,"2800 of 3141"
"Coleman County",48083,46288.000000000,"2753 of 3141"
"Swisher County",48437,46750.000000000,"2724 of 3141"
"Shelby County",48419,47094.000000000,"2703 of 3141"
"Terry County",48445,47252.000000000,"2688 of 3141"
"Bee County",48025,48242.000000000,"2634 of 3141"
"Bailey County",48017,48281.000000000,"2632 of 3141"
"El Paso County",48141,48308.000000000,"2631 of 3141"
"Kimble County",48267,48523.000000000,"2618 of 3141"
"San Augustine County",48405,48694.000000000,"2609 of 3141"
"Comanche County",48093,49167.000000000,"2574 of 3141"
"La Salle County",48283,49342.000000000,"2563 of 3141"
"Castro County",48069,49707.000000000,"2533 of 3141"
"Real County",48385,50052.000000000,"2507 of 3141"
"Potter County",48375,50274.000000000,"2486 of 3141"
"Marion County",48315,50383.000000000,"2473 of 3141"
"Falls County",48145,50601.000000000,"2452 of 3141"
"Baylor County",48023,50607.000000000,"2449 of 3141"
"Runnels County",48399,50677.000000000,"2442 of 3141"
"Titus County",48449,50943.000000000,"2413 of 3141"
"Limestone County",48293,50967.000000000,"2410 of 3141"
"Cass County",48067,51312.000000000,"2384 of 3141"
"Newton County",48351,51371.000000000,"2377 of 3141"
"Val Verde County",48465,51421.000000000,"2375 of 3141"
"Camp County",48063,51463.000000000,"2366 of 3141"
"Morris County",48343,51788.000000000,"2341 of 3141"
"Menard County",48327,51953.000000000,"2323 of 3141"
"San Saba County",48411,51992.000000000,"2320 of 3141"
"Haskell County",48207,52004.000000000,"2315 of 3141"
"Montague County",48337,52159.000000000,"2294 of 3141"
"Briscoe County",48045,52188.000000000,"2289 of 3141"
"Jim Wells County",48249,52205.000000000,"2288 of 3141"
"Cochran County",48079,52222.000000000,"2287 of 3141"
"Hale County",48189,52269.000000000,"2284 of 3141"
"Dawson County",48115,52310.000000000,"2281 of 3141"
"Navarro County",48349,52377.000000000,"2273 of 3141"
"Hardeman County",48197,52500.000000000,"2260 of 3141"
"Lamb County",48279,52561.000000000,"2250 of 3141"
"Anderson County",48001,52611.000000000,"2245 of 3141"
"Cherokee County",48073,52658.000000000,"2241 of 3141"
"Uvalde County",48463,52799.000000000,"2224 of 3141"
"Delta County",48119,52862.000000000,"2222 of 3141"
"Floyd County",48153,52866.000000000,"2221 of 3141"
"Collingsworth County",48087,52927.000000000,"2215 of 3141"
"Wilbarger County",48487,53070.000000000,"2204 of 3141"
"Dallam County",48111,53207.000000000,"2197 of 3141"
"Lamar County",48277,53337.000000000,"2188 of 3141"
"Angelina County",48005,53511.000000000,"2178 of 3141"
"Brewster County",48043,53553.000000000,"2169 of 3141"
"McCulloch County",48307,53564.000000000,"2168 of 3141"
"Lynn County",48305,53808.000000000,"2152 of 3141"
"Foard County",48155,53958.000000000,"2140 of 3141"
"Parmer County",48369,54051.000000000,"2134 of 3141"
"Palo Pinto County",48363,54080.000000000,"2131 of 3141"
"Kleberg County",48273,54284.000000000,"2118 of 3141"
"Polk County",48373,54286.000000000,"2116 of 3141"
"Brown County",48049,54513.000000000,"2100 of 3141"
"Milam County",48331,54688.000000000,"2084 of 3141"
"Stephens County",48429,54808.000000000,"2074 of 3141"
"Henderson County",48213,54818.000000000,"2072 of 3141"
"Nacogdoches County",48347,55094.000000000,"2049 of 3141"
"Matagorda County",48321,55196.000000000,"2036 of 3141"
"Freestone County",48161,55243.000000000,"2031 of 3141"
"Dickens County",48125,55341.000000000,"2024 of 3141"
"Wood County",48499,55631.000000000,"1993 of 3141"
"Donley County",48129,55673.000000000,"1990 of 3141"
"San Jacinto County",48407,56148.000000000,"1949 of 3141"
"Rusk County",48401,56273.000000000,"1937 of 3141"
"Bosque County",48035,56282.000000000,"1935 of 3141"
"Madison County",48313,56420.000000000,"1926 of 3141"
"Garza County",48169,56637.000000000,"1905 of 3141"
"Leon County",48289,56667.000000000,"1900 of 3141"
"Nolan County",48353,56859.000000000,"1878 of 3141"
"Shackelford County",48417,56953.000000000,"1870 of 3141"
"Gregg County",48183,57003.000000000,"1866 of 3141"
"Hopkins County",48223,57257.000000000,"1841 of 3141"
"Grimes County",48185,57291.000000000,"1837 of 3141"
"Wheeler County",48483,57339.000000000,"1828 of 3141"
"Callahan County",48059,57462.000000000,"1817 of 3141"
"Wharton County",48481,57463.000000000,"1816 of 3141"
"Hill County",48217,57527.000000000,"1809 of 3141"
"Panola County",48365,57568.000000000,"1804 of 3141"
"Liberty County",48291,57639.000000000,"1799 of 3141"
"Bowie County",48037,57711.000000000,"1794 of 3141"
"Jefferson County",48245,57730.000000000,"1792 of 3141"
"Coryell County",48099,57731.000000000,"1791 of 3141"
"Knox County",48275,57885.000000000,"1782 of 3141"
"Aransas County",48007,57957.000000000,"1771 of 3141"
"Young County",48503,58048.000000000,"1758 of 3141"
"Jasper County",48241,58059.000000000,"1756 of 3141"
"Motley County",48345,58167.000000000,"1743 of 3141"
"Throckmorton County",48447,58214.000000000,"1738 of 3141"
"Moore County",48341,58283.000000000,"1731 of 3141"
"Wichita County",48485,58299.000000000,"1729 of 3141"
"Gonzales County",48177,58404.000000000,"1719 of 3141"
"Ochiltree County",48357,58555.000000000,"1704 of 3141"
"Kinney County",48271,58696.000000000,"1695 of 3141"
"Coke County",48081,58750.000000000,"1691 of 3141"
"Mills County",48333,58811.000000000,"1686 of 3141"
"Robertson County",48395,58966.000000000,"1670 of 3141"
"Hockley County",48219,58972.000000000,"1669 of 3141"
"Harrison County",48203,59034.000000000,"1662 of 3141"
"Van Zandt County",48467,59047.000000000,"1661 of 3141"
"Somervell County",48425,59070.000000000,"1656 of 3141"
"McLennan County",48309,59078.000000000,"1654 of 3141"
"Atascosa County",48013,59229.000000000,"1641 of 3141"
"Mason County",48319,59398.000000000,"1622 of 3141"
"Fannin County",48147,59472.000000000,"1611 of 3141"
"Childress County",48075,59583.000000000,"1600 of 3141"
"Reeves County",48389,59606.000000000,"1597 of 3141"
"Kerr County",48265,59631.000000000,"1595 of 3141"
"Refugio County",48391,59659.000000000,"1592 of 3141"
"Deaf Smith County",48117,59665.000000000,"1590 of 3141"
"Caldwell County",48055,59779.000000000,"1578 of 3141"
"San Patricio County",48409,59901.000000000,"1562 of 3141"
"Jeff Davis County",48243,59960.000000000,"1554 of 3141"
"Taylor County",48441,60013.000000000,"1548 of 3141"
"Tyler County",48457,60079.000000000,"1541 of 3141"
"Concho County",48095,60152.000000000,"1533 of 3141"
"Gray County",48179,60186.000000000,"1529 of 3141"
"Rains County",48379,60202.000000000,"1526 of 3141"
"Dallas County",48113,60410.000000000,"1498 of 3141"
"Howard County",48227,60440.000000000,"1497 of 3141"
"Walker County",48471,60442.000000000,"1496 of 3141"
"Jones County",48253,60563.000000000,"1482 of 3141"
"Hamilton County",48193,60586.000000000,"1475 of 3141"
"Franklin County",48159,60750.000000000,"1463 of 3141"
"Live Oak County",48297,60750.000000000,"1463 of 3141"
"Bell County",48027,60751.000000000,"1462 of 3141"
"Erath County",48143,61555.000000000,"1384 of 3141"
"Sutton County",48435,61855.000000000,"1357 of 3141"
"Hutchinson County",48233,61890.000000000,"1354 of 3141"
"Clay County",48077,61964.000000000,"1347 of 3141"
"Winkler County",48495,62097.000000000,"1339 of 3141"
"Fisher County",48151,62125.000000000,"1337 of 3141"
"Lubbock County",48303,62147.000000000,"1333 of 3141"
"Lavaca County",48285,62220.000000000,"1321 of 3141"
"Sherman County",48421,62434.000000000,"1300 of 3141"
"Hunt County",48231,62590.000000000,"1285 of 3141"
"Llano County",48299,62686.000000000,"1278 of 3141"
"Smith County",48423,62850.000000000,"1261 of 3141"
"Edwards County",48137,62885.000000000,"1259 of 3141"
"Upshur County",48459,62906.000000000,"1257 of 3141"
"Nueces County",48355,62922.000000000,"1255 of 3141"
"Gaines County",48165,63021.000000000,"1243 of 3141"
"Bexar County",48029,63323.000000000,"1207 of 3141"
"Tom Green County",48451,63484.000000000,"1194 of 3141"
"Burleson County",48051,63589.000000000,"1187 of 3141"
"Orange County",48361,64150.000000000,"1142 of 3141"
"Karnes County",48255,64250.000000000,"1135 of 3141"
"Glasscock County",48173,64545.000000000,"1107 of 3141"
"Brazos County",48041,64743.000000000,"1087 of 3141"
"Blanco County",48031,64830.000000000,"1084 of 3141"
"Victoria County",48469,64966.000000000,"1077 of 3141"
"Colorado County",48089,65082.000000000,"1064 of 3141"
"DeWitt County",48123,65600.000000000,"1020 of 3141"
"Grayson County",48181,65917.000000000,"997 of 3141"
"Lee County",48287,66073.000000000,"989 of 3141"
"Harris County",48201,66136.000000000,"983 of 3141"
"Crockett County",48105,66218.000000000,"976 of 3141"
"Burnet County",48053,66631.000000000,"949 of 3141"
"Lampasas County",48281,66662.000000000,"946 of 3141"
"Mitchell County",48335,66688.000000000,"945 of 3141"
"Washington County",48477,66861.000000000,"932 of 3141"
"Wise County",48497,66886.000000000,"927 of 3141"
"Upton County",48461,67533.000000000,"878 of 3141"
"Ector County",48135,67578.000000000,"876 of 3141"
"Bandera County",48019,67904.000000000,"852 of 3141"
"Jack County",48237,68059.000000000,"842 of 3141"
"Fayette County",48149,68222.000000000,"832 of 3141"
"Goliad County",48175,68319.000000000,"823 of 3141"
"Sterling County",48431,68348.000000000,"821 of 3141"
"Calhoun County",48057,68459.000000000,"815 of 3141"
"Hartley County",48205,68464.000000000,"814 of 3141"
"Johnson County",48251,68646.000000000,"801 of 3141"
"Scurry County",48415,68688.000000000,"799 of 3141"
"Waller County",48473,68997.000000000,"784 of 3141"
"Gillespie County",48171,69355.000000000,"761 of 3141"
"Yoakum County",48501,69366.000000000,"760 of 3141"
"Bastrop County",48021,69530.000000000,"745 of 3141"
"Medina County",48325,69840.000000000,"732 of 3141"
"Pecos County",48371,69861.000000000,"731 of 3141"
"Cooke County",48097,69918.000000000,"726 of 3141"
"Jackson County",48239,70902.000000000,"676 of 3141"
"Hardin County",48199,71848.000000000,"628 of 3141"
"Schleicher County",48413,72143.000000000,"606 of 3141"
"Hood County",48221,72261.000000000,"598 of 3141"
"Hemphill County",48211,72500.000000000,"584 of 3141"
"Lipscomb County",48295,72500.000000000,"584 of 3141"
"Kaufman County",48257,73609.000000000,"515 of 3141"
"Tarrant County",48439,74189.000000000,"484 of 3141"
"King County",48269,75000.000000000,"461 of 3141"
