------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'mob', 'demo': '00018', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
"Mobility: Moved, same county (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved Within County),Rank within US
"United States",00000,8.4,26717038,"N/A"
"Texas",48000,9.4,2554723,"42 of 51"
"King County",48269,0.0,0,"1 of 3140"
"Loving County",48301,0.0,0,"1 of 3140"
"Concho County",48095,0.1,5,"5 of 3140"
"Irion County",48235,0.2,3,"6 of 3140"
"Edwards County",48137,0.3,6,"9 of 3140"
"Mills County",48333,1.0,49,"30 of 3140"
"Goliad County",48175,1.1,84,"35 of 3140"
"Armstrong County",48011,1.5,28,"52 of 3140"
"Jeff Davis County",48243,1.7,39,"72 of 3140"
"Franklin County",48159,1.8,187,"78 of 3140"
"Oldham County",48359,1.8,38,"84 of 3140"
"Coleman County",48083,1.9,156,"86 of 3140"
"Glasscock County",48173,1.9,26,"89 of 3140"
"Chambers County",48071,2.0,775,"100 of 3140"
"Falls County",48145,2.2,381,"121 of 3140"
"Collingsworth County",48087,2.3,68,"127 of 3140"
"Carson County",48065,2.3,136,"128 of 3140"
"Runnels County",48399,2.3,238,"137 of 3140"
"Terrell County",48443,2.4,17,"141 of 3140"
"Haskell County",48207,2.4,136,"145 of 3140"
"Colorado County",48089,2.4,495,"148 of 3140"
"Fayette County",48149,2.6,632,"167 of 3140"
"Frio County",48163,2.8,531,"212 of 3140"
"Roberts County",48393,2.8,25,"216 of 3140"
"Houston County",48225,2.9,649,"225 of 3140"
"San Augustine County",48405,2.9,242,"243 of 3140"
"Childress County",48075,2.9,204,"246 of 3140"
"Karnes County",48255,3.0,444,"257 of 3140"
"McMullen County",48311,3.0,18,"268 of 3140"
"Reeves County",48389,3.0,446,"269 of 3140"
"Hartley County",48205,3.1,176,"276 of 3140"
"Caldwell County",48055,3.2,1267,"298 of 3140"
"Throckmorton County",48447,3.2,49,"306 of 3140"
"Newton County",48351,3.2,454,"307 of 3140"
"Refugio County",48391,3.3,240,"326 of 3140"
"Hudspeth County",48229,3.3,121,"333 of 3140"
"Dimmit County",48127,3.4,363,"343 of 3140"
"Brown County",48049,3.4,1278,"351 of 3140"
"Jack County",48237,3.5,306,"368 of 3140"
"Sutton County",48435,3.5,135,"369 of 3140"
"Sherman County",48421,3.6,109,"400 of 3140"
"Comanche County",48093,3.7,497,"445 of 3140"
"Washington County",48477,3.7,1285,"446 of 3140"
"Willacy County",48489,3.8,814,"456 of 3140"
"Upton County",48461,3.8,133,"460 of 3140"
"Hemphill County",48211,3.9,158,"484 of 3140"
"Madison County",48313,3.9,536,"486 of 3140"
"Burleson County",48051,3.9,678,"497 of 3140"
"Briscoe County",48045,3.9,62,"503 of 3140"
"Callahan County",48059,3.9,535,"514 of 3140"
"Borden County",48033,4.0,23,"525 of 3140"
"San Jacinto County",48407,4.0,1085,"528 of 3140"
"Jones County",48253,4.0,793,"545 of 3140"
"Guadalupe County",48187,4.0,6018,"547 of 3140"
"Hardeman County",48197,4.1,160,"559 of 3140"
"Camp County",48063,4.1,509,"562 of 3140"
"Rockwall County",48397,4.2,3727,"581 of 3140"
"Burnet County",48053,4.2,1871,"586 of 3140"
"Hood County",48221,4.3,2374,"636 of 3140"
"Foard County",48155,4.3,61,"639 of 3140"
"Kendall County",48259,4.4,1753,"655 of 3140"
"Marion County",48315,4.4,444,"672 of 3140"
"Harrison County",48203,4.5,2957,"695 of 3140"
"Titus County",48449,4.5,1450,"699 of 3140"
"Archer County",48009,4.5,391,"704 of 3140"
"Bailey County",48017,4.5,318,"707 of 3140"
"Trinity County",48455,4.5,649,"710 of 3140"
"Clay County",48077,4.5,465,"719 of 3140"
"San Saba County",48411,4.5,262,"721 of 3140"
"Winkler County",48495,4.5,347,"724 of 3140"
"Kinney County",48271,4.6,166,"731 of 3140"
"Lee County",48287,4.6,772,"756 of 3140"
"Hamilton County",48193,4.6,380,"762 of 3140"
"Bee County",48025,4.7,1524,"787 of 3140"
"Blanco County",48031,4.7,517,"793 of 3140"
"Bastrop County",48021,4.7,3757,"801 of 3140"
"Lampasas County",48281,4.8,968,"807 of 3140"
"Floyd County",48153,4.8,282,"810 of 3140"
"Rains County",48379,4.8,538,"841 of 3140"
"Comal County",48091,4.8,6184,"844 of 3140"
"Scurry County",48415,4.8,828,"848 of 3140"
"Martin County",48317,4.9,270,"861 of 3140"
"Swisher County",48437,4.9,368,"881 of 3140"
"Fort Bend County",48157,4.9,34761,"894 of 3140"
"Sterling County",48431,4.9,56,"896 of 3140"
"Bandera County",48019,5.0,1063,"924 of 3140"
"Eastland County",48133,5.1,919,"963 of 3140"
"DeWitt County",48123,5.1,1037,"971 of 3140"
"Van Zandt County",48467,5.1,2711,"977 of 3140"
"Tyler County",48457,5.1,1092,"978 of 3140"
"Panola County",48365,5.1,1204,"988 of 3140"
"Gillespie County",48171,5.2,1333,"1000 of 3140"
"Cass County",48067,5.2,1550,"1012 of 3140"
"Live Oak County",48297,5.2,620,"1025 of 3140"
"Sabine County",48403,5.2,537,"1026 of 3140"
"Llano County",48299,5.2,1047,"1028 of 3140"
"Morris County",48343,5.2,647,"1031 of 3140"
"Fisher County",48151,5.2,199,"1033 of 3140"
"Cherokee County",48073,5.3,2683,"1049 of 3140"
"Wilson County",48493,5.3,2455,"1050 of 3140"
"Rusk County",48401,5.3,2779,"1075 of 3140"
"Knox County",48275,5.3,198,"1079 of 3140"
"Lipscomb County",48295,5.3,181,"1080 of 3140"
"Yoakum County",48501,5.3,442,"1082 of 3140"
"Crane County",48103,5.4,255,"1121 of 3140"
"Castro County",48069,5.4,423,"1133 of 3140"
"Johnson County",48251,5.5,8605,"1142 of 3140"
"Milam County",48331,5.5,1327,"1146 of 3140"
"Wood County",48499,5.5,2352,"1150 of 3140"
"Anderson County",48001,5.5,3143,"1151 of 3140"
"Shackelford County",48417,5.5,182,"1163 of 3140"
"Austin County",48015,5.5,1607,"1168 of 3140"
"Medina County",48325,5.5,2665,"1189 of 3140"
"Grimes County",48185,5.6,1513,"1191 of 3140"
"Upshur County",48459,5.7,2262,"1240 of 3140"
"Robertson County",48395,5.7,938,"1245 of 3140"
"Kaufman County",48257,5.7,6449,"1260 of 3140"
"Zavala County",48507,5.7,685,"1264 of 3140"
"Brazoria County",48039,5.7,19487,"1267 of 3140"
"Bowie County",48037,5.7,5307,"1276 of 3140"
"Coke County",48081,5.8,184,"1289 of 3140"
"Lavaca County",48285,5.8,1135,"1308 of 3140"
"Deaf Smith County",48117,5.8,1079,"1319 of 3140"
"Wharton County",48481,5.8,2383,"1321 of 3140"
"Freestone County",48161,5.8,1139,"1346 of 3140"
"Parker County",48367,5.9,7293,"1352 of 3140"
"Donley County",48129,5.9,200,"1356 of 3140"
"Hardin County",48199,5.9,3260,"1366 of 3140"
"Jim Hogg County",48247,5.9,304,"1371 of 3140"
"Starr County",48427,5.9,3671,"1381 of 3140"
"Walker County",48471,5.9,4170,"1390 of 3140"
"Somervell County",48425,5.9,510,"1403 of 3140"
"Schleicher County",48413,6.0,186,"1425 of 3140"
"Hutchinson County",48233,6.0,1285,"1435 of 3140"
"Liberty County",48291,6.0,4766,"1455 of 3140"
"Uvalde County",48463,6.1,1610,"1472 of 3140"
"Wheeler County",48483,6.1,337,"1475 of 3140"
"Fannin County",48147,6.2,2065,"1514 of 3140"
"Matagorda County",48321,6.3,2275,"1563 of 3140"
"Culberson County",48109,6.3,139,"1569 of 3140"
"Wise County",48497,6.3,3936,"1594 of 3140"
"Aransas County",48007,6.4,1556,"1612 of 3140"
"Collin County",48085,6.4,57707,"1632 of 3140"
"Parmer County",48369,6.5,627,"1661 of 3140"
"Bosque County",48035,6.5,1165,"1691 of 3140"
"Pecos County",48371,6.5,1023,"1695 of 3140"
"Jim Wells County",48249,6.6,2669,"1700 of 3140"
"Cameron County",48061,6.6,27511,"1738 of 3140"
"Real County",48385,6.7,219,"1745 of 3140"
"Lynn County",48305,6.7,385,"1758 of 3140"
"Ochiltree County",48357,6.7,694,"1775 of 3140"
"Andrews County",48003,6.7,1163,"1776 of 3140"
"Jasper County",48241,6.8,2382,"1784 of 3140"
"Gray County",48179,6.8,1540,"1797 of 3140"
"Kenedy County",48261,6.8,38,"1811 of 3140"
"La Salle County",48283,6.9,501,"1826 of 3140"
"Kimble County",48267,6.9,300,"1829 of 3140"
"Garza County",48169,7.0,468,"1873 of 3140"
"Hill County",48217,7.1,2457,"1900 of 3140"
"Henderson County",48213,7.1,5566,"1902 of 3140"
"Montague County",48337,7.1,1359,"1911 of 3140"
"Polk County",48373,7.1,3310,"1917 of 3140"
"Montgomery County",48339,7.1,37718,"1928 of 3140"
"Waller County",48473,7.2,3429,"1931 of 3140"
"Hidalgo County",48215,7.2,59172,"1938 of 3140"
"Kent County",48263,7.2,46,"1953 of 3140"
"Delta County",48119,7.2,371,"1979 of 3140"
"Coryell County",48099,7.3,5433,"1988 of 3140"
"Brewster County",48043,7.3,672,"2008 of 3140"
"Maverick County",48323,7.3,4122,"2017 of 3140"
"Williamson County",48491,7.3,36794,"2022 of 3140"
"Nolan County",48353,7.4,1095,"2037 of 3140"
"Howard County",48227,7.4,2663,"2046 of 3140"
"Limestone County",48293,7.4,1716,"2056 of 3140"
"Gonzales County",48177,7.5,1523,"2104 of 3140"
"Stephens County",48429,7.6,701,"2115 of 3140"
"Reagan County",48383,7.6,280,"2128 of 3140"
"Calhoun County",48057,7.7,1648,"2146 of 3140"
"Menard County",48327,7.8,165,"2204 of 3140"
"Jackson County",48239,7.8,1140,"2210 of 3140"
"Gaines County",48165,7.9,1540,"2246 of 3140"
"Ellis County",48139,7.9,12864,"2252 of 3140"
"Hansford County",48195,8.0,439,"2269 of 3140"
"Atascosa County",48013,8.0,3796,"2270 of 3140"
"San Patricio County",48409,8.1,5329,"2303 of 3140"
"Leon County",48289,8.2,1363,"2331 of 3140"
"Hale County",48189,8.2,2793,"2339 of 3140"
"Young County",48503,8.3,1492,"2352 of 3140"
"Galveston County",48167,8.4,26612,"2377 of 3140"
"Val Verde County",48465,8.4,4057,"2390 of 3140"
"Webb County",48479,8.5,22358,"2392 of 3140"
"Dickens County",48125,8.5,188,"2401 of 3140"
"Jefferson County",48245,8.5,21315,"2403 of 3140"
"Smith County",48423,8.5,18641,"2408 of 3140"
"Hays County",48209,8.5,16396,"2411 of 3140"
"Crosby County",48107,8.5,491,"2412 of 3140"
"Stonewall County",48433,8.6,92,"2432 of 3140"
"Cooke County",48097,8.6,3341,"2448 of 3140"
"Presidio County",48377,8.7,610,"2457 of 3140"
"Denton County",48121,8.7,66804,"2458 of 3140"
"Red River County",48387,8.7,1068,"2472 of 3140"
"Randall County",48381,8.8,11293,"2482 of 3140"
"Hockley County",48219,8.8,2011,"2488 of 3140"
"Hunt County",48231,8.8,7873,"2502 of 3140"
"Mitchell County",48335,9.1,796,"2590 of 3140"
"Motley County",48345,9.2,100,"2607 of 3140"
"Ward County",48475,9.2,1044,"2612 of 3140"
"Lamb County",48279,9.3,1227,"2628 of 3140"
"Navarro County",48349,9.3,4415,"2641 of 3140"
"El Paso County",48141,9.5,77756,"2676 of 3140"
"Erath County",48143,9.5,3852,"2687 of 3140"
"Brooks County",48047,9.6,685,"2700 of 3140"
"Moore County",48341,9.6,2071,"2703 of 3140"
"Grayson County",48181,9.7,12016,"2713 of 3140"
"Midland County",48329,10.0,15641,"2778 of 3140"
"Kerr County",48265,10.0,5015,"2781 of 3140"
"Shelby County",48419,10.0,2530,"2782 of 3140"
"Orange County",48361,10.0,8326,"2793 of 3140"
"Lamar County",48277,10.1,4929,"2800 of 3140"
"Wichita County",48485,10.2,13291,"2819 of 3140"
"Tom Green County",48451,10.2,11800,"2820 of 3140"
"Hall County",48191,10.5,325,"2872 of 3140"
"Dallam County",48111,10.7,752,"2889 of 3140"
"Ector County",48135,10.7,16328,"2893 of 3140"
"Angelina County",48005,10.8,9374,"2906 of 3140"
"Palo Pinto County",48363,10.9,3054,"2929 of 3140"
"Dallas County",48113,10.9,275432,"2931 of 3140"
"Tarrant County",48439,11.0,214339,"2934 of 3140"
"Potter County",48375,11.0,13090,"2938 of 3140"
