------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'pop', 'demo': '00026', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_023.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Population: Hispanic
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Hispanic),Rank within US
"United States",00000,17.6,56510571,"N/A"
"Texas",48000,38.9,10673909,"3 of 52"
"Newton County",48351,3.5,490,"1715 of 3141"
"Marion County",48315,3.9,394,"1593 of 3141"
"Sabine County",48403,4.0,422,"1552 of 3141"
"Cass County",48067,4.3,1306,"1466 of 3141"
"Hardin County",48199,5.4,3003,"1245 of 3141"
"Clay County",48077,5.7,587,"1187 of 3141"
"Jasper County",48241,6.5,2294,"1062 of 3141"
"Delta County",48119,6.9,357,"1004 of 3141"
"San Augustine County",48405,6.9,584,"999 of 3141"
"Orange County",48361,7.1,5946,"989 of 3141"
"Red River County",48387,7.3,897,"971 of 3141"
"Tyler County",48457,7.3,1564,"966 of 3141"
"Bowie County",48037,7.4,6932,"952 of 3141"
"Roberts County",48393,7.4,66,"950 of 3141"
"Lamar County",48277,7.5,3689,"943 of 3141"
"Borden County",48033,7.6,46,"920 of 3141"
"Upshur County",48459,8.1,3263,"893 of 3141"
"Archer County",48009,8.3,731,"870 of 3141"
"Panola County",48365,8.6,2017,"846 of 3141"
"Rains County",48379,8.7,973,"838 of 3141"
"Callahan County",48059,9.1,1249,"801 of 3141"
"Morris County",48343,9.2,1148,"799 of 3141"
"Trinity County",48455,9.3,1347,"783 of 3141"
"Wood County",48499,9.6,4167,"766 of 3141"
"Carson County",48065,9.7,586,"756 of 3141"
"Llano County",48299,9.8,1983,"746 of 3141"
"Armstrong County",48011,10.0,192,"736 of 3141"
"Baylor County",48023,10.1,365,"717 of 3141"
"Van Zandt County",48467,10.3,5510,"712 of 3141"
"Fannin County",48147,10.6,3580,"698 of 3141"
"Donley County",48129,10.6,365,"695 of 3141"
"Houston County",48225,10.7,2439,"693 of 3141"
"Montague County",48337,10.7,2072,"692 of 3141"
"Parker County",48367,11.5,14461,"648 of 3141"
"Shackelford County",48417,11.7,391,"641 of 3141"
"Hood County",48221,12.0,6641,"628 of 3141"
"Hamilton County",48193,12.0,987,"626 of 3141"
"Henderson County",48213,12.1,9668,"618 of 3141"
"San Jacinto County",48407,12.5,3433,"597 of 3141"
"Grayson County",48181,12.7,15999,"587 of 3141"
"Harrison County",48203,12.7,8467,"585 of 3141"
