------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'pop', 'demo': '00105', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Population: Sex - Female
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Female),Rank within US
"Texas",48000,50.3,13802635,"18 of 52"
"United States",00000,50.8,162985654,"N/A"
"Concho County",48095,32.0,1236,"3 of 3141"
"Garza County",48169,35.2,2370,"11 of 3141"
"Jones County",48253,36.6,7311,"16 of 3141"
"Madison County",48313,38.1,5330,"24 of 3141"
"Mitchell County",48335,38.3,3357,"25 of 3141"
"Kinney County",48271,38.5,1397,"26 of 3141"
"Anderson County",48001,38.9,22455,"29 of 3141"
"Bee County",48025,39.2,12846,"30 of 3141"
"Hartley County",48205,39.5,2297,"33 of 3141"
"Reeves County",48389,39.6,5853,"34 of 3141"
"Karnes County",48255,40.5,6091,"41 of 3141"
"Frio County",48163,40.5,7747,"43 of 3141"
"La Salle County",48283,41.4,3071,"51 of 3141"
"Walker County",48471,41.5,29383,"54 of 3141"
"Oldham County",48359,42.0,875,"61 of 3141"
"Pecos County",48371,42.7,6746,"68 of 3141"
"Howard County",48227,43.6,15903,"82 of 3141"
"Jack County",48237,43.7,3866,"83 of 3141"
"Haskell County",48207,44.1,2559,"89 of 3141"
"Glasscock County",48173,44.2,628,"92 of 3141"
"Childress County",48075,44.3,3131,"94 of 3141"
"Dawson County",48115,44.5,5821,"98 of 3141"
"Grimes County",48185,44.9,12288,"117 of 3141"
"Tyler County",48457,45.3,9730,"127 of 3141"
"Sutton County",48435,45.4,1767,"129 of 3141"
"Menard County",48327,45.4,964,"131 of 3141"
"Scurry County",48415,45.5,7900,"137 of 3141"
"Live Oak County",48297,45.6,5495,"140 of 3141"
"Willacy County",48489,45.9,10018,"155 of 3141"
"Dallam County",48111,46.2,3327,"173 of 3141"
"Polk County",48373,46.2,21686,"174 of 3141"
"Lipscomb County",48295,46.2,1615,"175 of 3141"
"Houston County",48225,46.3,10575,"178 of 3141"
"Irion County",48235,46.4,739,"190 of 3141"
"McMullen County",48311,46.5,279,"197 of 3141"
"Sterling County",48431,46.6,531,"209 of 3141"
"Mason County",48319,46.6,1922,"210 of 3141"
"Dickens County",48125,46.7,1038,"217 of 3141"
"Reagan County",48383,46.8,1749,"228 of 3141"
"Foard County",48155,47.0,665,"249 of 3141"
"Terry County",48445,47.1,6002,"251 of 3141"
"Gray County",48179,47.1,10819,"255 of 3141"
"Fannin County",48147,47.2,15941,"260 of 3141"
"Loving County",48301,47.3,35,"270 of 3141"
"Swisher County",48437,47.6,3586,"292 of 3141"
"Rusk County",48401,47.6,25216,"293 of 3141"
"Newton County",48351,47.6,6751,"295 of 3141"
"DeWitt County",48123,47.8,9777,"320 of 3141"
"Moore County",48341,47.9,10550,"347 of 3141"
"Freestone County",48161,48.0,9422,"355 of 3141"
"Crane County",48103,48.0,2321,"363 of 3141"
"King County",48269,48.1,139,"387 of 3141"
"Hale County",48189,48.1,16621,"393 of 3141"
"Wichita County",48485,48.1,63439,"394 of 3141"
"Sherman County",48421,48.2,1477,"398 of 3141"
"Bailey County",48017,48.2,3420,"403 of 3141"
"Brooks County",48047,48.3,3501,"414 of 3141"
"Kleberg County",48273,48.4,15250,"430 of 3141"
"Medina County",48325,48.4,23475,"432 of 3141"
"Motley County",48345,48.4,539,"438 of 3141"
"Stephens County",48429,48.5,4539,"451 of 3141"
"Potter County",48375,48.5,58763,"453 of 3141"
"Duval County",48131,48.5,5543,"454 of 3141"
"Martin County",48317,48.5,2691,"462 of 3141"
"Culberson County",48109,48.5,1095,"464 of 3141"
"Limestone County",48293,48.6,11409,"475 of 3141"
"Borden County",48033,48.7,293,"503 of 3141"
"Parmer County",48369,48.7,4806,"508 of 3141"
"Wheeler County",48483,48.7,2728,"512 of 3141"
"Jefferson County",48245,48.8,124170,"530 of 3141"
"McCulloch County",48307,48.8,3974,"535 of 3141"
"Stonewall County",48433,48.8,529,"539 of 3141"
"Lynn County",48305,48.9,2828,"562 of 3141"
"Lamb County",48279,48.9,6536,"565 of 3141"
"Andrews County",48003,48.9,8597,"573 of 3141"
"Eastland County",48133,48.9,8941,"575 of 3141"
"Ochiltree County",48357,48.9,5131,"584 of 3141"
"Winkler County",48495,49.0,3809,"598 of 3141"
"Cherokee County",48073,49.0,25287,"608 of 3141"
"Nolan County",48353,49.1,7361,"636 of 3141"
"Cochran County",48079,49.1,1440,"639 of 3141"
"Rains County",48379,49.1,5524,"643 of 3141"
"Bastrop County",48021,49.1,39461,"648 of 3141"
"Coleman County",48083,49.2,4140,"654 of 3141"
"Franklin County",48159,49.2,5230,"655 of 3141"
"Caldwell County",48055,49.3,19981,"701 of 3141"
"Zavala County",48507,49.3,5989,"704 of 3141"
"Val Verde County",48465,49.3,24140,"706 of 3141"
"Gaines County",48165,49.3,9807,"714 of 3141"
"Brazos County",48041,49.4,105753,"753 of 3141"
"Brazoria County",48039,49.4,170839,"761 of 3141"
"Cottle County",48101,49.4,740,"772 of 3141"
"Ector County",48135,49.4,76946,"777 of 3141"
"Gonzales County",48177,49.4,10158,"782 of 3141"
"Yoakum County",48501,49.5,4195,"799 of 3141"
"Armstrong County",48011,49.5,955,"819 of 3141"
"Travis County",48453,49.6,583265,"851 of 3141"
"San Saba County",48411,49.6,2902,"867 of 3141"
"Bowie County",48037,49.6,46462,"885 of 3141"
"Ward County",48475,49.6,5708,"905 of 3141"
"Schleicher County",48413,49.6,1550,"908 of 3141"
"Goliad County",48175,49.7,3732,"941 of 3141"
"Lee County",48287,49.7,8374,"944 of 3141"
"Calhoun County",48057,49.7,10845,"946 of 3141"
"Blanco County",48031,49.7,5513,"959 of 3141"
"Midland County",48329,49.8,79545,"983 of 3141"
"San Patricio County",48409,49.8,33275,"991 of 3141"
"Wise County",48497,49.8,31481,"1002 of 3141"
"Wilson County",48493,49.8,23502,"1018 of 3141"
"Sabine County",48403,49.8,5197,"1058 of 3141"
"Castro County",48069,49.8,3933,"1065 of 3141"
"Colorado County",48089,49.9,10426,"1081 of 3141"
"Deaf Smith County",48117,49.9,9448,"1091 of 3141"
"Aransas County",48007,49.9,12384,"1094 of 3141"
"Chambers County",48071,49.9,19604,"1117 of 3141"
