------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'pop', 'demo': '00104', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_027.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Population: Sex - Male
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Male),Rank within US
"United States",00000,49.2,158018753,"N/A"
"Texas",48000,49.7,13616977,"35 of 52"
"Roberts County",48393,45.4,404,"13 of 3141"
"Edwards County",48137,45.7,965,"18 of 3141"
"Kent County",48263,45.7,311,"19 of 3141"
"Throckmorton County",48447,45.7,705,"20 of 3141"
"Real County",48385,46.2,1553,"37 of 3141"
"Mills County",48333,46.6,2275,"47 of 3141"
"Red River County",48387,47.0,5803,"76 of 3141"
"Falls County",48145,47.1,8135,"83 of 3141"
"Hemphill County",48211,47.6,1976,"155 of 3141"
"Nacogdoches County",48347,47.8,31297,"199 of 3141"
"Jeff Davis County",48243,47.9,1070,"204 of 3141"
"Carson County",48065,47.9,2888,"213 of 3141"
"Somervell County",48425,48.0,4155,"261 of 3141"
"Trinity County",48455,48.1,6959,"266 of 3141"
"Morris County",48343,48.1,6022,"268 of 3141"
"Fisher County",48151,48.2,1867,"310 of 3141"
"Kimble County",48267,48.3,2140,"361 of 3141"
"Smith County",48423,48.3,107355,"367 of 3141"
"Baylor County",48023,48.3,1740,"372 of 3141"
"Lavaca County",48285,48.3,9596,"376 of 3141"
"Lamar County",48277,48.3,23876,"387 of 3141"
"Kerr County",48265,48.4,24563,"424 of 3141"
"Brewster County",48043,48.4,4464,"433 of 3141"
"Cameron County",48061,48.5,203657,"467 of 3141"
"Cass County",48067,48.5,14599,"470 of 3141"
"Kendall County",48259,48.5,19568,"517 of 3141"
"Starr County",48427,48.6,30815,"542 of 3141"
"Callahan County",48059,48.7,6650,"609 of 3141"
"Angelina County",48005,48.7,42707,"618 of 3141"
"Jim Wells County",48249,48.7,20134,"639 of 3141"
"Henderson County",48213,48.7,38840,"649 of 3141"
"Llano County",48299,48.8,9848,"665 of 3141"
"Gillespie County",48171,48.8,12655,"683 of 3141"
"McLennan County",48309,48.8,119894,"690 of 3141"
"Grayson County",48181,48.8,61556,"692 of 3141"
"Uvalde County",48463,48.8,13188,"708 of 3141"
"Harrison County",48203,48.8,32517,"713 of 3141"
"Fayette County",48149,48.8,12188,"717 of 3141"
"Dimmit County",48127,48.8,5284,"719 of 3141"
"Webb County",48479,48.8,131657,"725 of 3141"
"Upton County",48461,48.9,1747,"757 of 3141"
"Hardeman County",48197,48.9,1950,"762 of 3141"
"Hardin County",48199,48.9,27365,"762 of 3141"
"Hidalgo County",48215,48.9,410383,"773 of 3141"
"Jackson County",48239,48.9,7214,"781 of 3141"
"Floyd County",48153,48.9,2911,"792 of 3141"
"Gregg County",48183,48.9,60366,"807 of 3141"
"Victoria County",48469,48.9,44790,"836 of 3141"
"Taylor County",48441,48.9,66258,"843 of 3141"
"Tarrant County",48439,49.0,971142,"855 of 3141"
"Montague County",48337,49.0,9512,"908 of 3141"
"El Paso County",48141,49.0,409199,"909 of 3141"
"Erath County",48143,49.0,20118,"935 of 3141"
"Camp County",48063,49.1,6215,"939 of 3141"
"Kaufman County",48257,49.1,56347,"949 of 3141"
