------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=48&areatype=county&cancer=020&stage=211&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'cancer': '020', 'stage': '211', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_044.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=48&areatype=county&cancer=020&stage=211&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Texas by County

"Colon & Rectum (Late Stage^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Percent of Cases with Late Stage
"Texas(6)",48000,***,20.4 ,20.2, 20.6,5356,54.4
"US (SEER+NPCR)(1)",00000,***,21.5 ,21.5, 21.6,78225,55.5
"Somervell County(6)",48425,***,36.7 ,22.1, 58,4,83.3
"Wilbarger County(6)",48487,***,36.1 ,22.9, 54.1,5,53.1
"Nolan County(6)",48353,***,34.4 ,23.6, 48.8,7,73.9
"DeWitt County(6)",48123,***,34.3 ,25.2, 46,10,63.6
"Comanche County(6)",48093,***,33.9 ,23, 49,7,59.6
"Dawson County(6)",48115,***,32.4 ,20.1, 49.5,4,53.7
"Moore County(6)",48341,***,32 ,21.6, 45.5,6,62.0
"Jack County(6)",48237,***,31.8 ,18.7, 51.1,4,62.1
"Young County(6)",48503,***,31 ,21.4, 43.6,7,55.4
"Hardin County(6)",48199,***,30.4 ,24.5, 37.3,19,67.4
"Hale County(6)",48189,***,30.3 ,22.6, 39.8,11,62.4
"Newton County(6)",48351,***,29.9 ,19.5, 44.3,6,50.0
"Grayson County(6)",48181,***,29.3 ,25.5, 33.4,47,59.4
"Clay County(6)",48077,***,29.2 ,17.3, 46.9,4,63.6
"Franklin County(6)",48159,***,29.2 ,18.3, 45.1,5,67.6
"Chambers County(6)",48071,***,28.8 ,21.6, 37.7,11,62.0
"Hopkins County(6)",48223,***,28.7 ,22.1, 36.9,13,60.7
"Wharton County(6)",48481,***,28.5 ,22.1, 36.1,14,53.8
"Lavaca County(6)",48285,***,28.3 ,19.7, 39.7,8,46.6
"Jasper County(6)",48241,***,28.1 ,21.6, 36.1,14,52.7
"Callahan County(6)",48059,***,28 ,17.6, 42.6,5,62.5
"Milam County(6)",48331,***,27.7 ,19.8, 37.8,9,66.7
"Jones County(6)",48253,***,27.5 ,18.7, 39.1,6,64.0
"Victoria County(6)",48469,***,27.5 ,23, 32.6,28,54.8
"Terry County(6)",48445,***,27.3 ,16.6, 42.6,4,60.6
"Gray County(6)",48179,***,27.3 ,19, 38,7,59.0
"Potter County(6)",48375,***,27.2 ,23.1, 31.9,31,61.1
"Henderson County(6)",48213,***,27.1 ,22.9, 32,31,54.3
"Hockley County(6)",48219,***,27.1 ,18.8, 37.9,7,60.3
"Lamar County(6)",48277,***,26.4 ,21, 33,17,48.0
"Fayette County(6)",48149,***,26.4 ,19.3, 35.7,10,61.2
"Nacogdoches County(6)",48347,***,26.3 ,20.9, 32.7,17,56.7
"Titus County(6)",48449,***,26.3 ,19, 35.4,9,62.9
"Van Zandt County(6)",48467,***,26.1 ,21, 32.2,19,61.5
"Shelby County(6)",48419,***,26.1 ,18.6, 35.8,8,56.9
"Trinity County(6)",48455,***,26 ,16.7, 39.5,6,53.7
"Brown County(6)",48049,***,25.9 ,19.8, 33.4,13,55.1
"Howard County(6)",48227,***,25.9 ,19.1, 34.3,10,62.5
"Eastland County(6)",48133,***,25.7 ,17.2, 37.4,6,49.2
"Deaf Smith County(6)",48117,***,25.6 ,16.3, 38.2,5,64.9
"Scurry County(6)",48415,***,25.2 ,16.1, 37.8,5,60.0
"McCulloch County(6)",48307,***,25 ,14, 42.7,3,64.0
"Starr County(6)",48427,***,25 ,19.4, 31.7,14,43.6
"Coleman County(6)",48083,***,24.9 ,13.9, 42.6,3,68.0
"Polk County(6)",48373,***,24.8 ,19.3, 31.5,15,48.4
"Fannin County(6)",48147,***,24.7 ,18.3, 32.6,11,53.5
"Wise County(6)",48497,***,24.6 ,19.6, 30.4,18,58.1
"Hill County(6)",48217,***,24.4 ,18.4, 31.9,12,50.8
"Montague County(6)",48337,***,24.4 ,16.4, 35.2,7,56.9
"Austin County(6)",48015,***,24.3 ,17.5, 33.1,9,54.9
"Runnels County(6)",48399,***,24.1 ,14.1, 39.5,4,50.0
"Calhoun County(6)",48057,***,24.1 ,15.8, 35.1,6,59.2
"Willacy County(6)",48489,***,24 ,15.6, 35.3,5,55.3
"Sabine County(6)",48403,***,24 ,14.8, 38.7,5,53.3
"Ellis County(6)",48139,***,23.8 ,20.4, 27.7,36,57.4
"Colorado County(6)",48089,***,23.7 ,16.3, 33.7,7,46.7
"Ector County(6)",48135,***,23.7 ,20.1, 27.7,32,55.2
"Hunt County(6)",48231,***,23.6 ,19.5, 28.3,24,51.5
"Bosque County(6)",48035,***,23.4 ,15, 35.2,6,49.2
"Hood County(6)",48221,***,23.4 ,18.6, 29.1,19,62.7
"Bowie County(6)",48037,***,23.3 ,19.4, 27.8,26,57.3
"Reeves County(6)",48389,***,23.3 ,13.6, 37.4,3,54.8
"Lubbock County(6)",48303,***,23.3 ,20.8, 26,64,60.5
"Kaufman County(6)",48257,***,23.3 ,19.3, 27.7,26,55.5
"Marion County(6)",48315,***,23.2 ,13.4, 38.8,4,52.6
"Hutchinson County(6)",48233,***,23.2 ,15.5, 33.5,6,61.2
"Orange County(6)",48361,***,23.1 ,19, 28,23,51.6
"Angelina County(6)",48005,***,23.1 ,18.9, 27.9,22,57.5
"Lee County(6)",48287,***,23.1 ,14.4, 35.2,5,52.3
"Caldwell County(6)",48055,***,23.1 ,16.9, 30.7,10,70.0
"Pecos County(6)",48371,***,23 ,13.8, 36.1,4,57.6
