------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=49&areatype=county&cancer=001&race=00&sex=0&age=157&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '49', 'areatype': 'county', 'cancer': '001', 'race': '00', 'sex': '0', 'age': '157', 'type': 'death', 'file_name': 'deathrates_037.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=49&areatype=county&cancer=001&race=00&sex=0&age=157&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Utah by County

"All Cancer Sites, 2012-2016"

"All Races (includes Hispanic), Both Sexes, Ages 65+"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 161.4?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Utah",49000,No,746.5 ,732.2, 761.1,2093,falling,-0.8 ,-1.0, -0.7
"United States",00000,No,919.1 ,917.8, 920.4,413451,falling,-1.5 ,-1.5, -1.4
"Beaver County",49001,No,1143.1 ,834, 1527.2,9,stable,-0.1 ,-1.7, 1.6
"Grand County",49019,No,1044.2 ,817, 1314.6,15,stable,-1.0 ,-2.1, 0.1
"Carbon County",49007,No,942 ,792.9, 1111,29,stable,-0.2 ,-1.3, 0.9
"Duchesne County",49013,No,877.4 ,704.8, 1079.3,18,stable,-0.7 ,-2.1, 0.8
"Wayne County",49055,No,866.2 ,512.5, 1365.9,4,*,*,*,*
"Iron County",49021,No,862 ,747.4, 989,42,stable,-0.6 ,-1.8, 0.6
"Kane County",49025,No,856.5 ,647.6, 1110.7,12,stable,-1.5 ,-3.6, 0.5
"Sevier County",49041,No,830.2 ,692.7, 986.9,26,stable,-0.6 ,-1.8, 0.7
"San Juan County",49037,No,787.2 ,612.1, 996.3,14,stable,-0.1 ,-1.4, 1.4
"Weber County",49057,No,787 ,738.7, 837.6,201,falling,-0.7 ,-1.1, -0.4
"Salt Lake County",49035,No,782.5 ,757.8, 807.7,785,falling,-0.8 ,-1.1, -0.6
"Tooele County",49045,No,776.8 ,668.6, 897.6,38,falling,-1.1 ,-2.1, -0.2
"Uintah County",49047,No,776.2 ,645.6, 925.4,25,falling,-1.2 ,-2.1, -0.2
"Box Elder County",49003,No,756.9 ,661.8, 861.7,46,stable,-0.6 ,-1.5, 0.4
"Millard County",49027,No,750 ,586.1, 945.4,15,stable,-1.0 ,-2.7, 0.8
"Sanpete County",49039,No,727.8 ,603.5, 870,25,stable,-1.1 ,-2.2, 0.1
"Utah County",49049,No,712.8 ,675, 752.1,270,falling,-0.5 ,-0.8, -0.2
"Davis County",49011,No,712.4 ,668.8, 758.1,202,falling,-0.9 ,-1.4, -0.4
"Morgan County",49029,No,696.2 ,487.2, 963.2,7,falling,-2.5 ,-4.4, -0.5
"Washington County",49053,No,654.8 ,613.5, 698,188,falling,-1.1 ,-1.6, -0.6
"Cache County",49005,No,648.9 ,579.5, 724.3,64,falling,-0.8 ,-1.4, -0.2
"Wasatch County",49051,No,634.7 ,491.4, 805.9,14,stable,-1.4 ,-2.9, 0.2
"Emery County",49015,No,626 ,457.7, 836.1,9,falling,-2.5 ,-4.1, -0.8
"Summit County",49043,No,574.6 ,453, 718.1,18,falling,-7.1 ,-12.1, -1.8
"Juab County",49023,No,573.3 ,390.7, 811.2,6,stable,-1.0 ,-2.9, 1.0
"Garfield County",49017,No,497.3 ,313.7, 748.3,5,stable,-2.3 ,-4.7, 0.2
"Daggett County",49009,***,* ,*, *,3 or fewer,*,*,*,*
