------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=49&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '49', 'areatype': 'county', 'topic': 'mob', 'demo': '00021', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_012.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=49&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Utah by County
Mobility: Moved from outside US (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Outside US),Rank within US
"United States",00000,0.7,2074097,"N/A"
"Utah",49000,0.7,22081,"39 of 51"
"Emery County",49015,0.0,0,"1 of 3140"
"Juab County",49023,0.0,0,"1 of 3140"
"Piute County",49031,0.0,0,"1 of 3140"
"Rich County",49033,0.0,0,"1 of 3140"
"Grand County",49019,0.0,1,"377 of 3140"
"Duchesne County",49013,0.1,10,"585 of 3140"
"Carbon County",49007,0.1,22,"979 of 3140"
"Kane County",49025,0.2,11,"1290 of 3140"
"Sevier County",49041,0.3,52,"1825 of 3140"
"San Juan County",49037,0.3,40,"1889 of 3140"
"Garfield County",49017,0.3,14,"1952 of 3140"
"Beaver County",49001,0.3,18,"1980 of 3140"
"Iron County",49021,0.3,146,"2036 of 3140"
"Washington County",49053,0.3,506,"2116 of 3140"
"Tooele County",49045,0.3,213,"2153 of 3140"
"Box Elder County",49003,0.4,198,"2281 of 3140"
"Daggett County",49009,0.4,3,"2371 of 3140"
"Sanpete County",49039,0.5,145,"2515 of 3140"
"Uintah County",49047,0.5,189,"2561 of 3140"
"Weber County",49057,0.5,1282,"2568 of 3140"
"Wasatch County",49051,0.6,172,"2654 of 3140"
"Millard County",49027,0.6,80,"2708 of 3140"
"Morgan County",49029,0.6,70,"2712 of 3140"
"Davis County",49011,0.6,2122,"2715 of 3140"
"Summit County",49043,0.7,277,"2783 of 3140"
"Salt Lake County",49035,0.8,8185,"2830 of 3140"
"Cache County",49005,1.0,1136,"2947 of 3140"
"Utah County",49049,1.3,7138,"3023 of 3140"
"Wayne County",49055,1.9,51,"3093 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved from outside US (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
