------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=51&areatype=county&cancer=090&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'cancer': '090', 'race': '00', 'sex': '0', 'age': '001', 'type': 'death', 'file_name': 'deathrates_010.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=51&areatype=county&cancer=090&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Virginia by County

"Leukemia, 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Virginia",51000,***,6.1 ,5.9, 6.3,538,falling,-1.1 ,-1.3, -0.8
"United States",00000,***,6.5 ,6.5, 6.6,23311,falling,-2.3 ,-3.1, -1.5
"Louisa County",51109,***,11.1 ,7, 17.1,5,*,*,*,*
"Lee County",51105,***,10.6 ,6.3, 17,4,*,*,*,*
"Mecklenburg County",51117,***,10 ,6.4, 15.3,5,*,*,*,*
"Scott County",51169,***,9.7 ,5.7, 16,4,*,*,*,*
"Russell County",51167,***,9 ,5.2, 14.8,4,stable,-0.3 ,-3.0, 2.4
"Frederick County",51069,***,8.2 ,5.8, 11.5,7,*,*,*,*
"Harrisonburg City",51660,***,8.2 ,4.7, 13.4,3,*,*,*,*
"Culpeper County",51047,***,8.2 ,5.1, 12.6,4,*,*,*,*
"Wythe County",51197,***,8.2 ,4.7, 13.6,3,stable,-0.2 ,-2.4, 2.0
"Lynchburg City",51680,***,8 ,5.5, 11.4,7,stable,0.6 ,-1.4, 2.6
"Botetourt County",51023,***,8 ,4.5, 13.3,3,*,*,*,*
"Bedford City and County",51917,***,7.9 ,5.7, 10.8,9,stable,1.4 ,-0.5, 3.4
"Chesterfield County",51041,***,7.7 ,6.4, 9.2,24,stable,0.0 ,-1.1, 1.2
"Suffolk City",51800,***,7.6 ,5.2, 10.7,7,*,*,*,*
"Tazewell County",51185,***,7.6 ,4.6, 11.9,4,falling,-2.1 ,-4.0, -0.1
"James City County",51095,***,7.4 ,5.3, 10.3,9,*,*,*,*
"Pulaski County",51155,***,7.3 ,4.3, 12,4,*,*,*,*
"Accomack County",51001,***,7.3 ,4.2, 12.1,4,stable,-0.6 ,-3.0, 1.9
