------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'topic': 'pop', 'demo': '00014', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_022.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Virginia by County
Population: Foreign born
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Foreign Born),Rank within US
"Virginia",51000,12.1,1014966,"16 of 51"
"United States",00000,13.4,43028127,"N/A"
"Craig County",51045,0.0,1,"3127 of 3140"
"Highland County",51091,0.5,10,"3018 of 3140"
"Dickenson County",51051,0.5,72,"3005 of 3140"
"Buena Vista City",51530,0.6,37,"2953 of 3140"
"Southampton County",51175,0.6,114,"2917 of 3140"
"Bland County",51021,0.7,46,"2856 of 3140"
"Wythe County",51197,0.8,229,"2804 of 3140"
"Bristol City",51520,0.8,143,"2763 of 3140"
"Russell County",51167,1.0,268,"2673 of 3140"
"Franklin City",51620,1.0,82,"2657 of 3140"
"Scott County",51169,1.0,220,"2654 of 3140"
"Tazewell County",51185,1.0,422,"2651 of 3140"
"Amelia County",51007,1.0,132,"2620 of 3140"
"Surry County",51181,1.1,71,"2598 of 3140"
"Cumberland County",51049,1.1,105,"2591 of 3140"
"Lee County",51105,1.1,262,"2589 of 3140"
"Mathews County",51115,1.1,95,"2588 of 3140"
"Middlesex County",51119,1.1,123,"2537 of 3140"
"Appomattox County",51011,1.2,181,"2514 of 3140"
"Mecklenburg County",51117,1.2,363,"2511 of 3140"
"Wise County",51195,1.2,464,"2510 of 3140"
"Giles County",51071,1.2,208,"2452 of 3140"
"Alleghany County and Clifton Forge City",51005,1.3,195,"2426 of 3140"
"Charlotte County",51037,1.3,161,"2377 of 3140"
"Buchanan County",51027,1.4,324,"2301 of 3140"
"Northumberland County",51133,1.5,180,"2269 of 3140"
"Buckingham County",51029,1.5,253,"2264 of 3140"
"Smyth County",51173,1.5,477,"2227 of 3140"
"King William County",51101,1.6,258,"2191 of 3140"
"Essex County",51057,1.6,176,"2188 of 3140"
"Washington County",51191,1.6,878,"2172 of 3140"
"Halifax County with South Boston City",51083,1.7,582,"2133 of 3140"
"Page County",51139,1.7,400,"2119 of 3140"
"Pulaski County",51155,1.7,583,"2111 of 3140"
"Amherst County",51009,1.7,546,"2099 of 3140"
"Brunswick County",51025,1.7,284,"2087 of 3140"
"Isle of Wight County",51093,1.8,658,"2030 of 3140"
"Patrick County",51141,1.9,340,"1983 of 3140"
"Grayson County",51077,1.9,298,"1981 of 3140"
"Madison County",51113,1.9,253,"1964 of 3140"
"Charles City County",51036,1.9,136,"1962 of 3140"
"Franklin County",51067,2.0,1106,"1944 of 3140"
"Carroll County",51035,2.1,612,"1897 of 3140"
"Augusta County",51015,2.1,1558,"1869 of 3140"
"Rockbridge County",51163,2.1,475,"1856 of 3140"
"Pittsylvania County",51143,2.1,1314,"1854 of 3140"
"King and Queen County",51097,2.2,153,"1826 of 3140"
"Salem City",51775,2.2,572,"1783 of 3140"
"Gloucester County",51073,2.4,906,"1700 of 3140"
"Bedford City and County",51917,2.5,1914,"1681 of 3140"
"Emporia City",51595,2.5,137,"1675 of 3140"
"Campbell County",51031,2.5,1385,"1663 of 3140"
"Lancaster County",51103,2.6,278,"1642 of 3140"
"Poquoson City",51735,2.6,310,"1630 of 3140"
"King George County",51099,2.6,661,"1627 of 3140"
"Radford City",51750,2.6,459,"1601 of 3140"
"Powhatan County",51145,2.6,750,"1600 of 3140"
"Greensville County",51081,2.7,311,"1580 of 3140"
"Floyd County",51063,2.7,426,"1548 of 3140"
"Fluvanna County",51065,2.8,742,"1495 of 3140"
"Sussex County",51183,2.9,336,"1476 of 3140"
"Caroline County",51033,2.9,873,"1463 of 3140"
"Dinwiddie County",51053,2.9,820,"1462 of 3140"
"Staunton City",51790,3.0,720,"1436 of 3140"
"New Kent County",51127,3.0,614,"1424 of 3140"
"Portsmouth City",51740,3.0,2883,"1414 of 3140"
"Botetourt County",51023,3.0,1001,"1413 of 3140"
"Louisa County",51109,3.1,1087,"1383 of 3140"
"Henry County",51089,3.1,1633,"1376 of 3140"
"Warren County",51187,3.2,1257,"1346 of 3140"
"Danville City",51590,3.2,1362,"1333 of 3140"
"Covington City",51580,3.4,192,"1297 of 3140"
"Norton City",51720,3.4,137,"1294 of 3140"
"Martinsville City",51690,3.4,454,"1280 of 3140"
"Suffolk City",51800,3.6,3138,"1239 of 3140"
"Petersburg City",51730,3.6,1156,"1228 of 3140"
"Hanover County",51085,3.7,3798,"1211 of 3140"
"Westmoreland County",51193,3.8,671,"1176 of 3140"
"Nelson County",51125,3.8,567,"1175 of 3140"
"Lexington City",51678,4.1,290,"1091 of 3140"
"Clarke County",51043,4.1,588,"1086 of 3140"
"Prince George County",51149,4.2,1578,"1067 of 3140"
"Goochland County",51075,4.2,928,"1065 of 3140"
"Rappahannock County",51157,4.2,312,"1052 of 3140"
"Prince Edward County",51147,4.3,994,"1030 of 3140"
"Greene County",51079,4.5,858,"1017 of 3140"
"Bath County",51017,4.6,207,"982 of 3140"
"Hampton City",51650,4.7,6342,"980 of 3140"
"Nottoway County",51135,4.7,726,"972 of 3140"
"Shenandoah County",51171,4.8,2057,"950 of 3140"
"Waynesboro City",51820,5.0,1077,"920 of 3140"
"Lunenburg County",51111,5.1,630,"903 of 3140"
"Hopewell City",51670,5.1,1143,"896 of 3140"
"Chesapeake City",51550,5.3,12482,"867 of 3140"
"Orange County",51137,5.3,1884,"860 of 3140"
"Roanoke County",51161,5.5,5129,"833 of 3140"
"Rockingham County",51165,5.5,4322,"832 of 3140"
"Northampton County",51131,5.6,671,"811 of 3140"
"Lynchburg City",51680,5.8,4635,"766 of 3140"
"James City County",51095,6.1,4454,"731 of 3140"
