------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'topic': 'pop', 'demo': '00104', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_027.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Virginia by County
Population: Sex - Male
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Male),Rank within US
"Virginia",51000,49.2,4113988,"25 of 52"
"United States",00000,49.2,158018753,"N/A"
"Norton City",51720,41.9,1694,"1 of 3141"
"Franklin City",51620,44.0,3663,"4 of 3141"
"Essex County",51057,44.2,4899,"6 of 3141"
"Emporia City",51595,45.3,2488,"9 of 3141"
"Martinsville City",51690,45.3,6010,"11 of 3141"
"Buena Vista City",51530,45.3,2945,"12 of 3141"
"Danville City",51590,45.6,19129,"16 of 3141"
"Fluvanna County",51065,45.7,11928,"17 of 3141"
"Fredericksburg City",51630,45.8,12890,"21 of 3141"
"Staunton City",51790,45.9,11130,"22 of 3141"
"Petersburg City",51730,45.9,14703,"24 of 3141"
"Williamsburg City",51830,46.1,6829,"27 of 3141"
"Highland County",51091,46.1,1020,"28 of 3141"
"Colonial Heights City",51570,46.1,8108,"31 of 3141"
"Lancaster County",51103,46.2,5013,"35 of 3141"
"Hopewell City",51670,46.3,10342,"39 of 3141"
"Bristol City",51520,46.7,7974,"53 of 3141"
"Salem City",51775,46.8,11947,"58 of 3141"
"Lynchburg City",51680,46.9,37166,"71 of 3141"
"Halifax County with South Boston City",51083,47.1,16505,"88 of 3141"
"Henrico County",51087,47.3,153299,"112 of 3141"
"Richmond City",51760,47.5,104853,"133 of 3141"
"Northampton County",51131,47.8,5737,"194 of 3141"
"Albemarle County",51003,47.8,50283,"197 of 3141"
"Harrisonburg City",51660,47.9,25414,"219 of 3141"
"Mathews County",51115,47.9,4229,"220 of 3141"
"Roanoke City",51770,47.9,47736,"234 of 3141"
"Roanoke County",51161,48.0,44811,"241 of 3141"
"Charlottesville City",51540,48.0,22336,"264 of 3141"
"Alexandria City",51510,48.2,74501,"301 of 3141"
"Chesterfield County",51041,48.2,161644,"306 of 3141"
"Surry County",51181,48.2,3213,"308 of 3141"
"Amherst County",51009,48.2,15331,"311 of 3141"
"Henry County",51089,48.2,25038,"317 of 3141"
"Portsmouth City",51740,48.2,46070,"334 of 3141"
"Mecklenburg County",51117,48.3,14944,"356 of 3141"
"Waynesboro City",51820,48.3,10438,"360 of 3141"
"James City County",51095,48.3,35265,"363 of 3141"
"Hampton City",51650,48.3,65820,"372 of 3141"
"Suffolk City",51800,48.4,42594,"411 of 3141"
"Newport News City",51700,48.5,87598,"459 of 3141"
"Campbell County",51031,48.5,26745,"482 of 3141"
"Appomattox County",51011,48.6,7507,"518 of 3141"
"Madison County",51113,48.6,6369,"541 of 3141"
"Nelson County",51125,48.6,7224,"552 of 3141"
"Shenandoah County",51171,48.7,20850,"582 of 3141"
"Galax City",51640,48.7,3304,"601 of 3141"
"Poquoson City",51735,48.8,5864,"675 of 3141"
"Chesapeake City",51550,48.8,114935,"716 of 3141"
"Louisa County",51109,48.9,17007,"742 of 3141"
"Greene County",51079,48.9,9387,"748 of 3141"
"Winchester City",51840,48.9,13444,"750 of 3141"
"Wythe County",51197,48.9,14200,"776 of 3141"
"Isle of Wight County",51093,48.9,17651,"799 of 3141"
"Russell County",51167,48.9,13563,"808 of 3141"
"Rockingham County",51165,48.9,38485,"816 of 3141"
"Charles City County",51036,48.9,3437,"847 of 3141"
"Accomack County",51001,49.0,16079,"858 of 3141"
"Alleghany County and Clifton Forge City",51005,49.0,7586,"875 of 3141"
"Pittsylvania County",51143,49.0,30372,"903 of 3141"
"Giles County",51071,49.0,8273,"933 of 3141"
"Radford City",51750,49.1,8526,"946 of 3141"
"Hanover County",51085,49.1,50653,"961 of 3141"
"Franklin County",51067,49.1,27631,"986 of 3141"
"Page County",51139,49.1,11638,"1003 of 3141"
"Spotsylvania County",51177,49.1,63945,"1012 of 3141"
"Falls Church City",51610,49.1,6801,"1013 of 3141"
"Westmoreland County",51193,49.1,8646,"1020 of 3141"
"York County",51199,49.1,33024,"1030 of 3141"
"Smyth County",51173,49.2,15386,"1047 of 3141"
"Bedford City and County",51917,49.2,38012,"1049 of 3141"
"Orange County",51137,49.2,17341,"1058 of 3141"
"Virginia Beach City",51810,49.2,221350,"1070 of 3141"
"Goochland County",51075,49.2,10897,"1090 of 3141"
"Charlotte County",51037,49.2,5991,"1095 of 3141"
"Craig County",51045,49.2,2525,"1101 of 3141"
"Fairfax City",51600,49.3,11621,"1185 of 3141"
"Middlesex County",51119,49.3,5279,"1190 of 3141"
"Cumberland County",51049,49.3,4830,"1200 of 3141"
"Washington County",51191,49.3,26857,"1215 of 3141"
"Tazewell County",51185,49.3,21055,"1223 of 3141"
"Gloucester County",51073,49.4,18278,"1265 of 3141"
"Patrick County",51141,49.4,8867,"1303 of 3141"
"Northumberland County",51133,49.4,6051,"1310 of 3141"
"Dinwiddie County",51053,49.4,13849,"1344 of 3141"
"Fauquier County",51061,49.5,33858,"1455 of 3141"
"Fairfax County",51059,49.5,565593,"1489 of 3141"
"Botetourt County",51023,49.5,16421,"1504 of 3141"
"Caroline County",51033,49.5,14807,"1508 of 3141"
"Rappahannock County",51157,49.5,3646,"1513 of 3141"
"Loudoun County",51107,49.5,185575,"1514 of 3141"
"King William County",51101,49.7,8108,"1627 of 3141"
"Rockbridge County",51163,49.7,11143,"1630 of 3141"
"Prince Edward County",51147,49.7,11379,"1651 of 3141"
"Frederick County",51069,49.7,41634,"1666 of 3141"
"Arlington County",51013,49.8,114403,"1799 of 3141"
"Warren County",51187,49.9,19445,"1823 of 3141"
"Prince William County",51153,49.9,224843,"1832 of 3141"
"Pulaski County",51155,50.0,17152,"1912 of 3141"
"Manassas City",51683,50.0,20675,"1915 of 3141"
"King and Queen County",51097,50.0,3524,"1921 of 3141"
"Grayson County",51077,50.1,7875,"2049 of 3141"
"Clarke County",51043,50.2,7195,"2121 of 3141"
"Scott County",51169,50.2,11191,"2122 of 3141"
"King George County",51099,50.2,12839,"2133 of 3141"
"New Kent County",51127,50.2,10309,"2145 of 3141"
"Stafford County",51179,50.3,70984,"2188 of 3141"
"Floyd County",51063,50.3,7842,"2190 of 3141"
"Culpeper County",51047,50.3,25057,"2209 of 3141"
"Buchanan County",51027,50.3,11378,"2210 of 3141"
"Carroll County",51035,50.4,14993,"2251 of 3141"
"Augusta County",51015,50.7,37695,"2413 of 3141"
"Covington City",51580,50.7,2876,"2420 of 3141"
"Dickenson County",51051,50.9,7720,"2492 of 3141"
"Lunenburg County",51111,51.5,6367,"2673 of 3141"
"Montgomery County",51121,51.6,50448,"2708 of 3141"
"Bath County",51017,51.8,2311,"2743 of 3141"
"Amelia County",51007,51.9,6644,"2753 of 3141"
"Southampton County",51175,52.0,9414,"2789 of 3141"
"Brunswick County",51025,52.1,8557,"2794 of 3141"
"Wise County",51195,52.1,20612,"2802 of 3141"
"Norfolk City",51710,52.2,128254,"2811 of 3141"
"Lee County",51105,52.4,12792,"2838 of 3141"
"Manassas Park City",51685,52.6,8482,"2864 of 3141"
"Powhatan County",51145,53.5,15185,"2947 of 3141"
"Nottoway County",51135,54.2,8415,"2989 of 3141"
"Prince George County",51149,54.8,20643,"3020 of 3141"
"Bland County",51021,55.4,3617,"3039 of 3141"
"Buckingham County",51029,55.5,9465,"3042 of 3141"
"Lexington City",51678,56.0,3982,"3055 of 3141"
"Richmond County",51159,56.1,4978,"3056 of 3141"
"Greensville County",51081,62.4,7238,"3122 of 3141"
"Sussex County",51183,65.1,7552,"3135 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:03 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Male, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
