------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=51&areatype=county&cancer=001&race=01&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'cancer': '001', 'race': '01', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=51&areatype=county&cancer=001&race=01&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Virginia by County

"All Cancer Sites (All Stages^), 2012-2016"

"White (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Virginia(6,10)",51000,***,414.4 ,412.2, 416.5,29703,stable,-0.8 ,-2.2, 0.6
"US (SEER+NPCR)(1,10)",00000,***,450.1 ,449.8, 450.5,1370927,stable,-0.9 ,-1.8, 0.0
"Petersburg City(6,10)",51730,***,571.2 ,499.8, 651.2,52,stable,2.6 ,-13.9, 22.4
"Sussex County(6,10)",51183,***,531.8 ,453.9, 620.8,35,stable,0.8 ,-18.3, 24.3
"Gloucester County(6,10)",51073,***,529.1 ,498.2, 561.6,234,stable,1.2 ,-3.7, 6.3
"Caroline County(6,10)",51033,***,525.2 ,483.4, 569.8,123,stable,-3.1 ,-14.9, 10.4
"Surry County(6,10)",51181,***,524.1 ,431.4, 632.7,27,stable,7.2 ,-9.0, 26.3
"Waynesboro City(6,10)",51820,***,517 ,476.8, 560.1,129,stable,0.1 ,-10.1, 11.4
"Hopewell City(6,10)",51670,***,516.9 ,469.1, 568.7,93,stable,1.2 ,-11.0, 15.1
"Staunton City(6,10)",51790,***,516.9 ,479.9, 556.3,159,stable,-0.1 ,-6.3, 6.6
"Buena Vista City(6,10)",51530,***,512.8 ,441.8, 592.6,40,stable,-2.6 ,-12.8, 8.8
"King William County(6,10)",51101,***,510.8 ,459, 567,76,stable,3.2 ,-6.2, 13.4
"Fredericksburg City(6,10)",51630,***,506.1 ,459.6, 556,91,stable,-3.0 ,-16.4, 12.5
"Southampton County(6,10)",51175,***,502.1 ,451.6, 557.2,78,stable,12.7 ,-9.1, 39.9
"Brunswick County(6,10)",51025,***,501 ,440.9, 568.2,58,stable,4.6 ,-4.4, 14.5
"Highland County(6,10)",51091,***,499.8 ,387.7, 640.7,20,stable,12.2 ,-14.8, 47.9
"Covington City(6,10)",51580,***,499.2 ,425, 584.1,34,stable,6.1 ,-3.0, 16.0
"Colonial Heights City(6,10)",51570,***,498 ,454.5, 545,108,stable,2.2 ,-11.6, 18.2
"Nottoway County(6,10)",51135,***,497.8 ,443.1, 557.9,65,stable,-4.2 ,-15.8, 9.1
"New Kent County(6,10)",51127,***,495 ,450, 543.4,103,stable,-4.9 ,-19.4, 12.2
"Nelson County(6,10)",51125,***,493.5 ,447.7, 543.4,102,stable,-0.9 ,-11.8, 11.2
"King and Queen County(6,10)",51097,***,493.3 ,417.2, 580.6,34,stable,-5.7 ,-22.2, 14.3
