------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=51&areatype=county&cancer=066&stage=211&race=00&sex=1&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'cancer': '066', 'stage': '211', 'race': '00', 'sex': '1', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_055.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=51&areatype=county&cancer=066&stage=211&race=00&sex=1&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Virginia by County

"Prostate (Late Stage^), 2012-2016"

"All Races (includes Hispanic), Male, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Percent of Cases with Late Stage
"Virginia(6)",51000,***,17 ,16.5, 17.6,774,17.0
"US (SEER+NPCR)(1)",00000,***,20.1 ,20, 20.2,36257,19.4
"Hopewell City(6)",51670,***,39.6 ,24.5, 60.6,4,28.2
"Petersburg City(6)",51730,***,33.7 ,22.4, 48.9,6,16.0
"Northampton County(6)",51131,***,31.3 ,18.1, 53.6,3,29.3
"Richmond City(6)",51760,***,30.8 ,26, 36.4,31,21.6
"Goochland County(6)",51075,***,30.7 ,19.6, 47.1,5,21.7
"Colonial Heights City(6)",51570,***,29.7 ,16.8, 49.5,3,22.5
"New Kent County(6)",51127,***,29.2 ,17.7, 46.4,4,26.2
"Gloucester County(6)",51073,***,25.1 ,17.2, 36,7,19.2
"Westmoreland County(6)",51193,***,24.4 ,14.3, 40.8,4,20.0
"Bedford City and County(6)",51917,***,24.3 ,17.8, 32.4,9,21.4
"Mecklenburg County(6)",51117,***,23.6 ,15.8, 34.8,6,17.0
"Suffolk City(6)",51800,***,23.2 ,16.9, 31.2,10,17.1
"James City County(6)",51095,***,23.1 ,17.6, 30,13,17.3
"Isle of Wight County(6)",51093,***,22.6 ,14, 34.8,5,19.8
"Southampton County(6)",51175,***,22.6 ,12.7, 38.7,3,19.8
"Accomack County(6)",51001,***,22.5 ,14.9, 33.5,6,19.2
"Orange County(6)",51137,***,21.8 ,14.3, 32.4,5,22.1
"Halifax County with South Boston City(6)",51083,***,21.4 ,14.4, 31.5,6,16.4
"Henrico County(6)",51087,***,21.2 ,18.1, 24.6,36,17.9
"Caroline County(6)",51033,***,21 ,11.9, 34.4,3,15.9
"Spotsylvania County(6)",51177,***,20.9 ,16.1, 26.8,14,17.9
"Chesterfield County(6)",51041,***,20.9 ,17.8, 24.4,36,15.5
"Newport News City(6)",51700,***,20.6 ,16.4, 25.6,17,17.0
"Lynchburg City(6)",51680,***,20.4 ,14.4, 28.3,7,22.6
"Roanoke City(6)",51770,***,19.8 ,14.6, 26.2,11,19.3
"Stafford County(6)",51179,***,19.4 ,14.3, 25.6,12,17.2
"Hanover County(6)",51085,***,19.2 ,14.7, 24.8,13,17.8
"Louisa County(6)",51109,***,19.1 ,11.7, 30,5,18.1
"Hampton City(6)",51650,***,18.9 ,14.7, 24.1,14,14.7
"Powhatan County(6)",51145,***,18.7 ,11, 30.3,4,17.6
"Campbell County(6)",51031,***,18.6 ,12.7, 26.6,7,22.6
"Loudoun County(6)",51107,***,18.3 ,15.1, 21.9,27,19.6
"Virginia Beach City(6)",51810,***,18.2 ,15.7, 21,39,18.4
"Portsmouth City(6)",51740,***,18 ,13, 24.3,9,13.1
"Roanoke County(6)",51161,***,17.9 ,13.5, 23.5,11,20.1
"Norfolk City(6)",51710,***,17.8 ,14.2, 22.1,18,16.2
"Dinwiddie County(6)",51053,***,17.8 ,10.1, 29.8,3,13.6
"Augusta County(6)",51015,***,17.6 ,12.9, 23.7,10,16.4
"Alexandria City(6)",51510,***,17.5 ,12.8, 23.3,11,18.5
"Warren County(6)",51187,***,17 ,9.9, 27.5,4,18.4
"Fauquier County(6)",51061,***,16.7 ,11.3, 23.8,7,16.5
"York County(6)",51199,***,16.7 ,11.2, 23.9,6,14.0
"Arlington County(6)",51013,***,16.3 ,12.7, 20.7,15,21.1
"Culpeper County(6)",51047,***,15.9 ,9.8, 24.5,4,15.2
"Rockingham County(6)",51165,***,15.7 ,11.2, 21.6,8,19.2
"Albemarle County(6)",51003,***,15.4 ,11.3, 20.7,9,16.7
"Prince William County(6)",51153,***,15.4 ,12.5, 18.7,26,16.6
"Prince George County(6)",51149,***,15.1 ,8.6, 24.8,3,10.3
"Chesapeake City(6)",51550,***,15 ,11.9, 18.7,18,14.6
"Henry County(6)",51089,***,14.7 ,9.7, 21.7,6,14.4
"Shenandoah County(6)",51171,***,13.9 ,8.5, 21.9,4,16.4
"Botetourt County(6)",51023,***,13.4 ,7.8, 22.4,4,14.3
"Danville City(6)",51590,***,13.1 ,7.5, 21.6,3,12.7
"Franklin County(6)",51067,***,13 ,8.5, 19.6,6,13.9
"Fairfax County(6)",51059,***,13 ,11.6, 14.4,76,15.9
"Pulaski County(6)",51155,***,12.9 ,7.1, 22.1,3,14.5
"Pittsylvania County(6)",51143,***,12 ,7.7, 18.2,5,14.9
"Frederick County(6)",51069,***,10.3 ,6.6, 15.4,5,14.1
