------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=53&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '53', 'areatype': 'county', 'topic': 'pop', 'demo': '00026', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_023.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=53&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Washington by County
Population: Hispanic
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Hispanic),Rank within US
"Washington",53000,12.3,882108,"16 of 52"
"United States",00000,17.6,56510571,"N/A"
"Garfield County",53023,2.4,53,"2173 of 3141"
"Lincoln County",53043,3.1,323,"1829 of 3141"
"Jefferson County",53031,3.5,1062,"1707 of 3141"
"Stevens County",53065,3.5,1552,"1687 of 3141"
"Pend Oreille County",53051,3.6,467,"1679 of 3141"
"Asotin County",53003,3.6,812,"1661 of 3141"
"Ferry County",53019,4.3,325,"1474 of 3141"
"Spokane County",53063,5.4,26375,"1242 of 3141"
"Wahkiakum County",53069,5.8,237,"1167 of 3141"
"Whitman County",53075,5.9,2836,"1140 of 3141"
"Skamania County",53059,6.0,685,"1136 of 3141"
"San Juan County",53055,6.0,973,"1128 of 3141"
"Clallam County",53009,6.0,4419,"1123 of 3141"
"Island County",53029,7.1,5733,"983 of 3141"
"Kitsap County",53035,7.3,18954,"959 of 3141"
"Columbia County",53013,7.4,297,"948 of 3141"
"Thurston County",53067,8.5,22980,"851 of 3141"
"Cowlitz County",53015,8.6,8936,"842 of 3141"
"Kittitas County",53037,8.6,3778,"840 of 3141"
"Clark County",53011,9.0,41165,"811 of 3141"
"Whatcom County",53073,9.0,19198,"809 of 3141"
"Pacific County",53049,9.2,1927,"797 of 3141"
"Mason County",53045,9.2,5694,"789 of 3141"
"King County",53033,9.5,200545,"775 of 3141"
"Grays Harbor County",53027,9.8,6978,"752 of 3141"
"Lewis County",53041,9.8,7460,"749 of 3141"
"Snohomish County",53061,9.8,75763,"748 of 3141"
"Pierce County",53053,10.4,87702,"708 of 3141"
"Klickitat County",53039,12.1,2565,"619 of 3141"
"Skagit County",53057,18.0,21851,"429 of 3141"
"Okanogan County",53047,19.4,8008,"393 of 3141"
"Benton County",53005,20.8,39718,"363 of 3141"
"Walla Walla County",53071,21.1,12631,"357 of 3141"
"Chelan County",53007,27.5,20688,"253 of 3141"
"Douglas County",53017,30.9,12548,"218 of 3141"
"Grant County",53025,40.7,38023,"150 of 3141"
"Yakima County",53077,48.4,120080,"108 of 3141"
"Franklin County",53021,52.5,46775,"87 of 3141"
"Adams County",53001,62.3,11992,"49 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Hispanic, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
