------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=54&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '54', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=54&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for West Virginia by County
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"United States",00000,23.7,74202606,"N/A"
"West Virginia",54000,28.4,507308,"45 of 52"
"Putnam County",54079,17.0,9530,"386 of 3141"
"Jefferson County",54037,17.2,9324,"413 of 3141"
"Berkeley County",54003,21.3,23601,"928 of 3141"
"Brooke County",54009,22.6,4962,"1090 of 3141"
"Doddridge County",54017,22.8,1799,"1109 of 3141"
"Morgan County",54065,23.3,4029,"1191 of 3141"
"Ohio County",54069,24.3,9791,"1323 of 3141"
"Harrison County",54033,24.7,16623,"1411 of 3141"
"Tyler County",54095,25.4,2244,"1499 of 3141"
"Tucker County",54093,25.5,1744,"1517 of 3141"
"Mineral County",54057,25.9,6893,"1572 of 3141"
"Hancock County",54029,26.0,7684,"1584 of 3141"
"Taylor County",54091,26.3,4338,"1623 of 3141"
"Kanawha County",54039,26.4,48681,"1636 of 3141"
"Preston County",54077,26.5,8216,"1658 of 3141"
"Pleasants County",54073,26.6,1848,"1680 of 3141"
"Marion County",54049,26.7,14718,"1691 of 3141"
"Jackson County",54035,26.9,7754,"1721 of 3141"
"Wood County",54107,27.0,22949,"1735 of 3141"
"Marshall County",54051,27.1,8494,"1751 of 3141"
"Hampshire County",54027,27.8,6333,"1853 of 3141"
"Hardy County",54031,28.1,3838,"1890 of 3141"
"Monongalia County",54061,28.8,28035,"1990 of 3141"
"Ritchie County",54085,28.9,2855,"2007 of 3141"
"Raleigh County",54081,29.2,21529,"2039 of 3141"
"Monroe County",54063,29.2,3901,"2042 of 3141"
"Greenbrier County",54025,29.5,10279,"2078 of 3141"
"Nicholas County",54067,30.0,7562,"2136 of 3141"
"Lewis County",54041,30.1,4864,"2153 of 3141"
"Grant County",54023,30.5,3517,"2204 of 3141"
"Randolph County",54083,30.8,8258,"2238 of 3141"
"Upshur County",54097,31.1,7188,"2262 of 3141"
"Pendleton County",54071,31.4,2206,"2298 of 3141"
"Pocahontas County",54075,31.7,2617,"2327 of 3141"
"Wayne County",54099,32.1,13107,"2363 of 3141"
"Fayette County",54019,32.4,13842,"2396 of 3141"
"Mason County",54053,32.6,8542,"2413 of 3141"
"Wyoming County",54109,33.1,7249,"2467 of 3141"
"Roane County",54087,33.7,4729,"2523 of 3141"
"Cabell County",54011,33.8,31092,"2530 of 3141"
"Barbour County",54001,33.9,5450,"2537 of 3141"
"Mercer County",54055,34.1,20376,"2553 of 3141"
"Logan County",54045,34.2,11562,"2564 of 3141"
"Wirt County",54105,34.3,1959,"2576 of 3141"
"Boone County",54005,34.4,7923,"2584 of 3141"
"Braxton County",54007,34.4,4800,"2587 of 3141"
"Summers County",54089,34.6,4216,"2597 of 3141"
"Wetzel County",54103,34.8,5432,"2619 of 3141"
"Webster County",54101,35.3,3021,"2653 of 3141"
"Clay County",54015,36.4,3201,"2742 of 3141"
"Calhoun County",54013,36.8,2699,"2775 of 3141"
"Lincoln County",54043,37.3,7898,"2802 of 3141"
"Gilmer County",54021,37.6,2487,"2821 of 3141"
"Mingo County",54059,41.6,10400,"2971 of 3141"
"McDowell County",54047,50.5,9119,"3098 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below 150% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
