------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=54&areatype=county&cancer=061&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '54', 'areatype': 'county', 'cancer': '061', 'race': '00', 'sex': '2', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_017.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=54&areatype=county&cancer=061&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for West Virginia by County

"Ovary (All Stages^), 2012-2016"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"West Virginia(6,10)",54000,***,12.2 ,11.3, 13.2,154,stable,-1.2 ,-7.7, 5.7
"US (SEER+NPCR)(1,10)",00000,***,11.1 ,11.1, 11.2,21404,falling,-2.5 ,-4.7, -0.2
"Boone County(6,10)",54005,***,20.8 ,11.7, 34.7,3,*,*,*,*
"Logan County(6,10)",54045,***,17.4 ,10.6, 27.4,4,stable,-1.2 ,-50.5, 97.2
"Jefferson County(6,10)",54037,***,16.4 ,10.8, 24.1,6,stable,3.2 ,-25.6, 43.1
"Greenbrier County(6,10)",54025,***,15.8 ,9.2, 25.6,4,stable,-22.9 ,-54.2, 29.8
"Marion County(6,10)",54049,***,15.6 ,9.9, 23.5,5,stable,-0.6 ,-30.4, 42.0
"Fayette County(6,10)",54019,***,14.2 ,8.6, 22.5,4,stable,38.5 ,-0.6, 93.0
"Kanawha County(6,10)",54039,***,13.4 ,10.7, 16.6,19,falling,-9.0 ,-16.4, -0.9
"Putnam County(6,10)",54079,***,12.4 ,7.7, 19.2,4,stable,4.2 ,-40.0, 80.8
"Mercer County(6,10)",54055,***,12.3 ,7.9, 18.6,5,stable,5.6 ,-45.1, 103.2
"Cabell County(6,10)",54011,***,12.3 ,8.5, 17.1,8,stable,-16.4 ,-50.8, 41.9
"Raleigh County(6,10)",54081,***,12.2 ,8.1, 17.7,6,stable,2.9 ,-20.6, 33.4
"Monongalia County(6,10)",54061,***,12.1 ,8.1, 17.5,6,stable,15.3 ,-50.0, 165.8
"Berkeley County(6,10)",54003,***,11.9 ,8.2, 16.7,7,stable,-2.1 ,-23.5, 25.3
"Harrison County(6,10)",54033,***,11.4 ,7.4, 17,6,stable,9.3 ,-49.4, 135.8
"Wood County(6,10)",54107,***,9.6 ,6.2, 14.3,6,stable,-2.6 ,-46.0, 75.6
"Barbour County(6,10)",54001,***,* ,*, *,3 or fewer,*,*,*,*
"Braxton County(6,10)",54007,***,* ,*, *,3 or fewer,*,*,*,*
