------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=54&areatype=county&cancer=001&race=05&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '54', 'areatype': 'county', 'cancer': '001', 'race': '05', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=54&areatype=county&cancer=001&race=05&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for West Virginia by County

"All Cancer Sites (All Stages^), 2012-2016"

"Hispanic (any race), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"West Virginia(6,10)",54000,***,226.2 ,194.7, 261.2,39,stable,27.1 ,-13.6, 86.8
"US (SEER+NPCR) &sect; (1,10)",00000,***,346.5 ,345.6, 347.4,127249,falling,-1.2 ,-2.2, -0.2
"Cabell County(6,10)",54011,***,1263.2 ,905.4, 1703.2,9,stable,69.2 ,-2.8, 194.5
"Berkeley County(6,10)",54003,***,166.3 ,88, 280.2,4,*,*,*,*
"Jefferson County(6,10)",54037,***,151.1 ,81.6, 259.6,3,*,*,*,*
"Barbour County(6,10)",54001,***,* ,*, *,3 or fewer,*,*,*,*
"Boone County(6,10)",54005,***,* ,*, *,3 or fewer,*,*,*,*
"Braxton County(6,10)",54007,***,* ,*, *,3 or fewer,*,*,*,*
"Brooke County(6,10)",54009,***,* ,*, *,3 or fewer,*,*,*,*
"Calhoun County(6,10)",54013,***,* ,*, *,3 or fewer,*,*,*,*
"Clay County(6,10)",54015,***,* ,*, *,3 or fewer,*,*,*,*
"Doddridge County(6,10)",54017,***,* ,*, *,3 or fewer,*,*,*,*
"Fayette County(6,10)",54019,***,* ,*, *,3 or fewer,*,*,*,*
"Gilmer County(6,10)",54021,***,* ,*, *,3 or fewer,*,*,*,*
"Grant County(6,10)",54023,***,* ,*, *,3 or fewer,*,*,*,*
"Greenbrier County(6,10)",54025,***,* ,*, *,3 or fewer,*,*,*,*
"Hampshire County(6,10)",54027,***,* ,*, *,3 or fewer,*,*,*,*
"Hancock County(6,10)",54029,***,* ,*, *,3 or fewer,*,*,*,*
"Hardy County(6,10)",54031,***,* ,*, *,3 or fewer,*,*,*,*
"Harrison County(6,10)",54033,***,* ,*, *,3 or fewer,*,*,*,*
"Jackson County(6,10)",54035,***,* ,*, *,3 or fewer,*,*,*,*
"Kanawha County(6,10)",54039,***,* ,*, *,3 or fewer,*,*,*,*
"Lewis County(6,10)",54041,***,* ,*, *,3 or fewer,*,*,*,*
"Lincoln County(6,10)",54043,***,* ,*, *,3 or fewer,*,*,*,*
"Logan County(6,10)",54045,***,* ,*, *,3 or fewer,*,*,*,*
"Marion County(6,10)",54049,***,* ,*, *,3 or fewer,*,*,*,*
"Marshall County(6,10)",54051,***,* ,*, *,3 or fewer,*,*,*,*
"Mason County(6,10)",54053,***,* ,*, *,3 or fewer,*,*,*,*
"McDowell County(6,10)",54047,***,* ,*, *,3 or fewer,*,*,*,*
"Mercer County(6,10)",54055,***,* ,*, *,3 or fewer,*,*,*,*
"Mineral County(6,10)",54057,***,* ,*, *,3 or fewer,*,*,*,*
"Mingo County(6,10)",54059,***,* ,*, *,3 or fewer,*,*,*,*
"Monongalia County(6,10)",54061,***,* ,*, *,3 or fewer,*,*,*,*
"Monroe County(6,10)",54063,***,* ,*, *,3 or fewer,*,*,*,*
"Morgan County(6,10)",54065,***,* ,*, *,3 or fewer,*,*,*,*
"Nicholas County(6,10)",54067,***,* ,*, *,3 or fewer,*,*,*,*
"Ohio County(6,10)",54069,***,* ,*, *,3 or fewer,*,*,*,*
"Pendleton County(6,10)",54071,***,* ,*, *,3 or fewer,*,*,*,*
"Pleasants County(6,10)",54073,***,* ,*, *,3 or fewer,*,*,*,*
"Pocahontas County(6,10)",54075,***,* ,*, *,3 or fewer,*,*,*,*
"Preston County(6,10)",54077,***,* ,*, *,3 or fewer,*,*,*,*
"Putnam County(6,10)",54079,***,* ,*, *,3 or fewer,*,*,*,*
