------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=54&areatype=county&cancer=001&race=00&sex=0&age=157&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '54', 'areatype': 'county', 'cancer': '001', 'race': '00', 'sex': '0', 'age': '157', 'type': 'incd', 'file_name': 'incidencerates_038.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=54&areatype=county&cancer=001&race=00&sex=0&age=157&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for West Virginia by County

"All Cancer Sites (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, Ages 65+"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"West Virginia(6,10)",54000,***,2009.3 ,1987.2, 2031.5,6488,stable,-0.9 ,-2.4, 0.5
"US (SEER+NPCR)(1,10)",00000,***,1983.5 ,1981.6, 1985.3,900671,falling,-1.4 ,-2.2, -0.6
"Mingo County(6,10)",54059,***,2409.2 ,2190.2, 2644.2,94,stable,-1.9 ,-17.3, 16.5
"Logan County(6,10)",54045,***,2357.2 ,2182.8, 2541.8,140,stable,1.1 ,-0.9, 3.0
"Clay County(6,10)",54015,***,2321.9 ,1995.4, 2686.4,37,stable,-2.1 ,-20.4, 20.4
"Lewis County(6,10)",54041,***,2246.8 ,2015.3, 2497.8,70,stable,-0.2 ,-26.0, 34.7
"Tucker County(6,10)",54093,***,2228.3 ,1913, 2580.8,36,stable,-5.8 ,-16.3, 6.0
"Marion County(6,10)",54049,***,2214.4 ,2085.2, 2349.5,224,stable,-2.1 ,-4.4, 0.3
"Wirt County(6,10)",54105,***,2190 ,1796.4, 2647.4,23,stable,-0.3 ,-34.1, 50.9
"Webster County(6,10)",54101,***,2186.1 ,1881.2, 2526.5,38,stable,-1.7 ,-15.1, 13.8
"Cabell County(6,10)",54011,***,2180.5 ,2079.5, 2285.2,355,stable,-0.8 ,-7.1, 5.9
"Berkeley County(6,10)",54003,***,2174 ,2062.7, 2289.8,304,stable,-0.5 ,-5.3, 4.5
"Pleasants County(6,10)",54073,***,2152.6 ,1802.5, 2550.9,27,stable,6.4 ,-11.0, 27.1
"Boone County(6,10)",54005,***,2147.8 ,1941.3, 2370.3,82,stable,-2.4 ,-14.8, 11.8
"Putnam County(6,10)",54079,***,2118.6 ,1984.5, 2259.5,191,stable,-2.4 ,-10.2, 6.0
"Harrison County(6,10)",54033,***,2113 ,1997.6, 2233.3,256,stable,-0.7 ,-10.0, 9.5
"Gilmer County(6,10)",54021,***,2083.8 ,1745.4, 2468.4,27,stable,0.6 ,-2.6, 4.0
"Greenbrier County(6,10)",54025,***,2077.9 ,1932.2, 2231.6,154,stable,2.0 ,-7.2, 12.1
"Fayette County(6,10)",54019,***,2052.8 ,1914.8, 2198.2,168,stable,-2.1 ,-8.2, 4.5
"Upshur County(6,10)",54097,***,2038.2 ,1852.8, 2237.2,90,stable,3.3 ,-6.1, 13.6
"Hancock County(6,10)",54029,***,2035.9 ,1878.4, 2203,126,stable,-1.7 ,-16.1, 15.1
"Ohio County(6,10)",54069,***,2033.8 ,1897.5, 2177.1,171,stable,-3.7 ,-14.0, 7.8
"Wetzel County(6,10)",54103,***,2022 ,1813.1, 2248.4,69,stable,-0.5 ,-8.8, 8.6
"Monroe County(6,10)",54063,***,2017.6 ,1793.4, 2262,60,stable,-2.0 ,-13.6, 11.1
"Raleigh County(6,10)",54081,***,2015 ,1909.5, 2124.8,281,stable,0.3 ,-8.7, 10.0
"Morgan County(6,10)",54065,***,2014.6 ,1808.4, 2238,71,stable,-1.4 ,-16.2, 15.9
"Hampshire County(6,10)",54027,***,2011.7 ,1824.7, 2212.8,89,falling,-4.3 ,-5.6, -3.0
"Mason County(6,10)",54053,***,2001.3 ,1829.4, 2184.9,101,stable,4.5 ,-10.8, 22.4
"Jackson County(6,10)",54035,***,1999.9 ,1835.1, 2175.6,109,stable,0.2 ,-3.9, 4.5
"Mercer County(6,10)",54055,***,1993.6 ,1880.6, 2111.6,237,stable,-1.8 ,-7.4, 4.2
"Kanawha County(6,10)",54039,***,1992 ,1925, 2060.7,681,stable,-2.6 ,-7.7, 2.7
"Ritchie County(6,10)",54085,***,1992 ,1723.6, 2290.5,40,stable,0.7 ,-14.4, 18.3
"Marshall County(6,10)",54051,***,1985.6 ,1829.7, 2151.2,123,falling,-7.5 ,-12.8, -2.0
"Jefferson County(6,10)",54037,***,1941.1 ,1797.7, 2092.9,144,stable,0.6 ,-10.1, 12.7
"Wood County(6,10)",54107,***,1937.6 ,1841.1, 2037.9,307,stable,-0.8 ,-8.0, 6.9
"Lincoln County(6,10)",54043,***,1937.1 ,1735.4, 2156,69,stable,-0.5 ,-11.2, 11.4
"Pocahontas County(6,10)",54075,***,1933.4 ,1662.8, 2235.9,37,stable,0.1 ,-21.2, 27.3
"Preston County(6,10)",54077,***,1927.4 ,1769, 2096.2,112,stable,-2.0 ,-8.0, 4.3
"Pendleton County(6,10)",54071,***,1926.1 ,1646.5, 2239.4,34,stable,2.3 ,-17.7, 27.1
"Mineral County(6,10)",54057,***,1924.1 ,1757.1, 2102.9,100,stable,-4.2 ,-16.5, 10.0
"Roane County(6,10)",54087,***,1918.6 ,1694, 2165.1,54,stable,-8.9 ,-18.8, 2.2
"Brooke County(6,10)",54009,***,1913.8 ,1741.9, 2097.8,93,stable,6.5 ,-2.6, 16.5
"Wayne County(6,10)",54099,***,1911.9 ,1775, 2056.5,147,stable,4.9 ,-1.8, 12.2
"Nicholas County(6,10)",54067,***,1903.1 ,1732, 2086.5,93,stable,-3.1 ,-11.8, 6.5
"Randolph County(6,10)",54083,***,1902.4 ,1742.5, 2073,108,stable,2.9 ,-9.3, 16.8
"Wyoming County(6,10)",54109,***,1867.8 ,1676.1, 2075.5,73,stable,0.4 ,-6.8, 8.2
"McDowell County(6,10)",54047,***,1867.4 ,1673.2, 2078.1,69,stable,-2.6 ,-16.7, 13.9
"Monongalia County(6,10)",54061,***,1865.5 ,1751.3, 1985.2,206,stable,0.3 ,-3.8, 4.7
"Barbour County(6,10)",54001,***,1820.6 ,1609.3, 2052.1,55,stable,2.7 ,-13.7, 22.1
"Braxton County(6,10)",54007,***,1808.4 ,1592.1, 2046.2,52,stable,-5.5 ,-19.6, 11.0
"Hardy County(6,10)",54031,***,1786.1 ,1562.7, 2032.9,47,stable,-6.4 ,-19.9, 9.4
"Tyler County(6,10)",54095,***,1709.6 ,1450.8, 2001.5,32,stable,2.0 ,-23.2, 35.5
"Taylor County(6,10)",54091,***,1701.2 ,1497.2, 1925.3,51,stable,6.5 ,-1.1, 14.7
"Calhoun County(6,10)",54013,***,1667.6 ,1387.6, 1987.4,26,stable,-3.4 ,-11.9, 6.1
"Grant County(6,10)",54023,***,1666.8 ,1443.3, 1915.2,41,stable,2.6 ,-13.2, 21.2
"Summers County(6,10)",54089,***,1439.5 ,1248.8, 1651.1,41,stable,1.4 ,-17.3, 24.5
"Doddridge County(6,10)",54017,***,1313.5 ,1068.5, 1598.9,21,stable,6.3 ,-9.8, 25.2

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:22 pm.

*** No Healthy People 2020 Objective for this cancer.

State Cancer Registries may provide more current or more local data.
