------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=55&areatype=county&cancer=020&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '55', 'areatype': 'county', 'cancer': '020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'death', 'file_name': 'deathrates_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=55&areatype=county&cancer=020&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Wisconsin by County

"Colon & Rectum, 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 14.5?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Wisconsin",55000,Yes,13.4 ,13, 13.8,939,falling,-1.9 ,-2.6, -1.2
"United States",00000,Yes,14.2 ,14.1, 14.2,51932,falling,-1.8 ,-2.3, -1.3
"Forest County",55041,No,24.7 ,14.9, 40.4,4,*,*,*,*
"Ashland County",55003,No,24.1 ,15.5, 36.3,5,stable,-1.3 ,-3.3, 0.7
"Polk County",55095,No,21.3 ,16.3, 27.4,13,stable,-0.7 ,-2.0, 0.6
"Price County",55099,No,20.2 ,13.2, 31.3,5,*,*,*,*
"Sawyer County",55113,No,19.2 ,12.4, 29.4,5,falling,-2.0 ,-3.8, -0.2
"Crawford County",55023,No,18.5 ,11.2, 29.3,4,falling,-2.5 ,-4.9, -0.1
"Jackson County",55053,No,18.3 ,11.8, 27.4,5,stable,-1.8 ,-3.9, 0.4
"Oneida County",55085,No,18.2 ,13.6, 24.2,11,stable,-0.9 ,-2.4, 0.6
"Rusk County",55107,No,17.7 ,10.4, 29.2,4,stable,-1.7 ,-4.4, 1.0
"Green Lake County",55047,No,17.6 ,11.1, 27,5,stable,-0.2 ,-2.5, 2.1
"Sauk County",55111,No,17.2 ,13.3, 21.8,14,falling,-2.1 ,-3.5, -0.8
"Lafayette County",55065,No,16.9 ,10.1, 27,4,*,*,*,*
"Adams County",55001,No,16.8 ,11.3, 25,6,falling,-2.2 ,-4.2, -0.2
"Washburn County",55129,No,16.5 ,9.8, 27,4,*,*,*,*
"Marquette County",55077,No,16.4 ,10.1, 26.3,4,stable,-0.8 ,-2.9, 1.4
"Burnett County",55013,No,15.8 ,9.6, 25.7,4,*,*,*,*
"Richland County",55103,No,15.7 ,9.9, 24.5,5,falling,-2.5 ,-4.5, -0.4
"Vilas County",55125,No,15.7 ,10.7, 23.3,7,stable,-1.7 ,-3.8, 0.5
"Rock County",55105,No,15.7 ,13.3, 18.5,30,falling,-1.5 ,-2.3, -0.7
"Lincoln County",55069,No,15.7 ,11, 22.2,7,falling,-2.2 ,-3.5, -0.8
"Dodge County",55027,No,15.3 ,12.3, 19,18,falling,-2.2 ,-3.3, -1.0
"Milwaukee County",55079,No,15.3 ,14.2, 16.4,152,falling,-2.2 ,-2.6, -1.7
"Kenosha County",55059,No,15.2 ,12.6, 18.1,26,falling,-2.2 ,-3.2, -1.3
"Monroe County",55081,No,15 ,10.6, 20.7,8,falling,-1.8 ,-3.3, -0.2
"Oconto County",55083,No,14.9 ,10.5, 20.7,8,falling,-2.4 ,-4.0, -0.8
"Langlade County",55067,No,14.8 ,9.5, 22.7,5,falling,-2.7 ,-4.3, -1.2
"Trempealeau County",55121,No,14.7 ,9.8, 21.5,6,falling,-2.5 ,-4.6, -0.3
"St. Croix County",55109,No,14.6 ,11.1, 18.9,12,falling,-2.6 ,-4.2, -0.9
"Clark County",55019,No,14.6 ,9.7, 21.1,6,falling,-2.4 ,-3.9, -0.9
"Outagamie County",55087,Yes,14.3 ,12, 16.9,28,falling,-2.0 ,-3.1, -0.9
"Marinette County",55075,Yes,14.2 ,10.4, 19.3,9,falling,-2.7 ,-4.6, -0.8
"Columbia County",55021,Yes,14.2 ,10.6, 18.7,11,falling,-2.4 ,-3.8, -1.1
"Barron County",55005,Yes,14.1 ,10.3, 19.1,10,falling,-1.9 ,-3.1, -0.6
"Waupaca County",55135,Yes,14 ,10.5, 18.5,11,falling,-2.2 ,-3.7, -0.7
"Sheboygan County",55117,Yes,13.9 ,11.2, 17,20,falling,-2.6 ,-3.6, -1.6
"Douglas County",55031,Yes,13.8 ,9.8, 19.1,8,falling,-3.1 ,-4.7, -1.5
"Juneau County",55057,Yes,13.8 ,9.2, 20.4,6,falling,-2.4 ,-4.1, -0.6
