------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=55&areatype=county&cancer=001&race=00&sex=1&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '55', 'areatype': 'county', 'cancer': '001', 'race': '00', 'sex': '1', 'age': '001', 'type': 'death', 'file_name': 'deathrates_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=55&areatype=county&cancer=001&race=00&sex=1&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Wisconsin by County

"All Cancer Sites, 2012-2016"

"All Races (includes Hispanic), Male, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 161.4?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Wisconsin",55000,No,195 ,192.8, 197.3,6025,falling,-1.4 ,-1.5, -1.3
"United States",00000,No,193.1 ,192.8, 193.4,310576,falling,-1.8 ,-1.8, -1.8
"Iron County",55051,No,269.9 ,213.7, 343.7,16,stable,-1.2 ,-2.5, 0.2
"Ashland County",55003,No,257.8 ,213.5, 309.1,25,stable,2.6 ,-0.9, 6.2
"Douglas County",55031,No,252 ,224.4, 282.3,65,falling,-1.5 ,-2.0, -0.9
"Marquette County",55077,No,245.5 ,206.6, 290.9,30,stable,0.2 ,-0.8, 1.1
"Rusk County",55107,No,243.9 ,203.9, 290.8,27,stable,-0.3 ,-1.3, 0.8
"Sauk County",55111,No,232.9 ,210.8, 256.7,85,stable,-0.3 ,-0.9, 0.2
"Adams County",55001,No,231.7 ,200.2, 268,42,stable,-0.4 ,-1.2, 0.3
"Juneau County",55057,No,226.1 ,195.2, 260.8,41,falling,-1.4 ,-2.4, -0.3
"Marinette County",55075,No,222.7 ,199.4, 248.4,69,falling,-0.9 ,-1.6, -0.1
"Green Lake County",55047,No,220.3 ,185.8, 260.3,30,stable,-0.7 ,-1.7, 0.2
"Lincoln County",55069,No,219.2 ,190.2, 252,43,falling,-1.5 ,-2.1, -0.8
"Washburn County",55129,No,218.9 ,182.7, 261.5,28,falling,-1.2 ,-2.1, -0.3
"Milwaukee County",55079,No,218.4 ,211.9, 225,907,falling,-1.4 ,-1.5, -1.2
"Burnett County",55013,No,218.2 ,183.8, 259,30,falling,-1.5 ,-2.5, -0.5
"Jackson County",55053,No,214.5 ,179.7, 254.4,28,falling,-1.4 ,-2.4, -0.4
"Oneida County",55085,No,213.8 ,190, 240.3,62,falling,-1.0 ,-1.7, -0.3
"Oconto County",55083,No,210.5 ,184.9, 239,52,falling,-1.3 ,-2.0, -0.5
"Kenosha County",55059,No,210.2 ,195.4, 225.8,160,falling,-1.4 ,-1.8, -1.0
"Langlade County",55067,No,207.3 ,176, 243.6,33,stable,-1.1 ,-2.1, 0.0
"Price County",55099,No,206.9 ,170.5, 250.6,24,stable,-0.8 ,-1.8, 0.1
"Walworth County",55127,No,206.6 ,189.5, 224.8,114,falling,-1.2 ,-1.7, -0.7
"Iowa County",55049,No,206.4 ,172.3, 245.5,28,stable,-0.6 ,-1.8, 0.6
"Dodge County",55027,No,206 ,188.7, 224.7,107,falling,-1.0 ,-1.6, -0.4
"Buffalo County",55011,No,205.5 ,166.5, 252.1,20,falling,-1.6 ,-2.8, -0.3
"Fond du Lac County",55039,No,205.1 ,188.4, 222.8,117,falling,-0.7 ,-1.2, -0.3
"Rock County",55105,No,204.9 ,191.2, 219.4,173,falling,-1.3 ,-1.7, -0.8
"Shawano County",55115,No,202.4 ,179.2, 228.2,57,falling,-0.9 ,-1.4, -0.3
"Waushara County",55137,No,202.2 ,173.8, 234.6,38,falling,-1.2 ,-2.1, -0.3
"Door County",55029,No,201.9 ,175.7, 231.7,47,stable,0.8 ,-2.1, 3.8
"Racine County",55101,No,201.2 ,188.9, 214.2,207,falling,-1.3 ,-1.7, -0.9
"Clark County",55019,No,199.8 ,173, 229.8,41,falling,-1.2 ,-2.0, -0.3
"Monroe County",55081,No,198.7 ,174.5, 225.4,51,falling,-0.9 ,-1.5, -0.2
"St. Croix County",55109,No,198.4 ,177.8, 220.7,74,falling,-1.2 ,-1.8, -0.6
"Grant County",55043,No,197.5 ,174.9, 222.3,57,falling,-1.2 ,-1.9, -0.5
"Waupaca County",55135,No,197.3 ,177.3, 219.2,75,falling,-1.4 ,-2.0, -0.9
"Crawford County",55023,No,196.5 ,161, 238.4,23,falling,-1.1 ,-2.1, -0.1
"Lafayette County",55065,No,196.3 ,159.6, 239.4,21,falling,-1.6 ,-2.3, -0.8
"Calumet County",55015,No,196.1 ,171.3, 223.4,48,falling,-1.6 ,-2.7, -0.5
"Brown County",55009,No,194.8 ,183.3, 206.7,229,falling,-1.3 ,-1.7, -1.0
"Columbia County",55021,No,194.7 ,173.4, 218,64,falling,-1.1 ,-1.9, -0.4
"Sawyer County",55113,No,194.6 ,161.4, 233.9,26,falling,-1.5 ,-2.7, -0.3
"Sheboygan County",55117,No,194.3 ,179.2, 210.4,127,falling,-1.1 ,-1.6, -0.5
"Vernon County",55123,No,193.4 ,166.1, 224.3,37,stable,-0.8 ,-1.6, 0.0
"Dunn County",55033,No,193.1 ,167.5, 221.5,43,stable,-0.4 ,-1.1, 0.2
"Manitowoc County",55071,No,192 ,175.1, 210.2,99,falling,-1.4 ,-2.0, -0.8
"Jefferson County",55055,No,191.5 ,173.3, 211.1,86,falling,-1.7 ,-2.1, -1.2
"Forest County",55041,No,191.5 ,148.4, 245.4,14,stable,-1.0 ,-2.4, 0.4
"Chippewa County",55017,No,191.3 ,171.5, 212.9,71,falling,-1.5 ,-2.1, -0.9
"Wood County",55141,No,190.5 ,173.3, 209.1,92,falling,-1.5 ,-2.1, -0.8
"Eau Claire County",55035,No,189.1 ,171.8, 207.6,92,falling,-1.6 ,-2.2, -1.0
"Bayfield County",55007,No,188.3 ,153.6, 229.9,23,stable,-1.1 ,-2.3, 0.1
"Florence County",55037,No,184.4 ,125.2, 269.2,7,stable,-0.8 ,-3.0, 1.4
"Polk County",55095,No,182.9 ,161.2, 207,54,falling,-1.4 ,-2.2, -0.7
"Winnebago County",55139,No,181.9 ,169.4, 195.2,162,falling,-1.4 ,-1.8, -1.0
"Barron County",55005,No,181.5 ,160.1, 205.1,54,falling,-1.2 ,-1.8, -0.5
"Kewaunee County",55061,No,181.1 ,149.9, 217.4,24,falling,-2.2 ,-3.3, -1.1
"Outagamie County",55087,No,179.8 ,166.9, 193.3,153,falling,-1.8 ,-2.3, -1.3
"Green County",55045,No,179.5 ,154.5, 207.6,39,falling,-1.1 ,-2.1, -0.1
"La Crosse County",55063,No,179.4 ,164.3, 195.7,107,falling,-1.8 ,-2.2, -1.4
"Vilas County",55125,No,178.3 ,151.6, 209.6,37,falling,-1.8 ,-2.7, -0.9
"Richland County",55103,No,176.2 ,144.1, 214.2,22,falling,-2.0 ,-3.0, -0.9
"Trempealeau County",55121,No,176 ,149.2, 206.4,32,falling,-1.4 ,-2.3, -0.5
"Waukesha County",55133,No,175.8 ,167.9, 183.9,393,falling,-1.5 ,-1.8, -1.2
"Menominee County",55078,No,174.4 ,96.9, 286.9,3,falling,-3.3 ,-5.8, -0.7
"Ozaukee County",55089,No,173.9 ,158, 191,92,falling,-1.5 ,-2.1, -1.0
"Washington County",55131,No,173.5 ,160.1, 187.8,129,falling,-1.6 ,-2.2, -1.0
"Marathon County",55073,No,171.2 ,158.1, 185,132,falling,-1.7 ,-2.2, -1.2
"Portage County",55097,No,170.5 ,151.4, 191.4,61,falling,-1.8 ,-2.3, -1.2
"Dane County",55025,No,169.5 ,161.5, 177.7,369,falling,-1.5 ,-1.9, -1.2
"Pierce County",55093,No,161.5 ,136.6, 189.6,32,falling,-2.6 ,-4.3, -0.9
"Taylor County",55119,Yes,159 ,129.6, 193.6,21,falling,-2.2 ,-3.1, -1.3
"Pepin County",55091,Yes,120.5 ,81.4, 174.2,6,stable,-2.5 ,-4.9, 0.0

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:22 pm.

State Cancer Registries may provide more current or more local data.


Trend
   Rising when 95% confidence interval of average annual percent change is above 0.
   Stable when 95% confidence interval of average annual percent change includes 0.
   Falling when 95% confidence interval of average annual percent change is below 0.

