------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '56', 'areatype': 'county', 'topic': 'pop', 'demo': '00022', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_021.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wyoming by County
Population: Black
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Black),Rank within US
"Wyoming",56000,1.0,6121,"50 of 52"
"United States",00000,12.7,40610815,"N/A"
"Hot Springs County",56017,0.0,0,"3052 of 3141"
"Sublette County",56035,0.0,0,"3052 of 3141"
"Converse County",56009,0.0,1,"3051 of 3141"
"Platte County",56031,0.0,3,"3034 of 3141"
"Goshen County",56015,0.1,9,"3000 of 3141"
"Niobrara County",56027,0.1,3,"2945 of 3141"
"Uinta County",56041,0.1,29,"2916 of 3141"
"Crook County",56011,0.2,15,"2857 of 3141"
"Campbell County",56005,0.3,143,"2767 of 3141"
"Lincoln County",56023,0.3,56,"2764 of 3141"
"Washakie County",56043,0.3,25,"2758 of 3141"
"Weston County",56045,0.5,33,"2574 of 3141"
"Park County",56029,0.5,158,"2480 of 3141"
"Fremont County",56013,0.5,218,"2478 of 3141"
"Big Horn County",56003,0.6,72,"2399 of 3141"
"Teton County",56039,0.6,146,"2366 of 3141"
"Sweetwater County",56037,0.8,362,"2186 of 3141"
"Sheridan County",56033,1.0,299,"2041 of 3141"
"Carbon County",56007,1.3,201,"1907 of 3141"
"Natrona County",56025,1.3,1067,"1892 of 3141"
"Johnson County",56019,1.4,122,"1838 of 3141"
"Albany County",56001,1.5,556,"1817 of 3141"
"Laramie County",56021,2.7,2603,"1470 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:22 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Black, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
