------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=01&areatype=county&cancer=017&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '01', 'areatype': 'county', 'cancer': '017', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=01&areatype=county&cancer=017&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Alabama by County

"Esophagus (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Alabama(6,10)",01000,***,4.5 ,4.3, 4.8,271,stable,-0.2 ,-4.7, 4.5
"US (SEER+NPCR)(1,10)",00000,***,4.5 ,4.5, 4.6,17084,stable,-0.8 ,-1.6, 0.0
"Clarke County(6,10)",01025,***,11 ,6.4, 17.9,4,*,*,*,*
"Chambers County(6,10)",01017,***,7.7 ,4.4, 12.7,3,stable,-5.5 ,-22.5, 15.3
"Jackson County(6,10)",01071,***,6.5 ,4.1, 10,5,*,*,*,*
"Calhoun County(6,10)",01015,***,6.2 ,4.6, 8.4,10,stable,5.9 ,-3.0, 15.7
"Dallas County(6,10)",01047,***,6.2 ,3.5, 10.1,3,*,*,*,*
"Colbert County(6,10)",01033,***,6.1 ,3.9, 9.3,5,stable,-0.6 ,-33.6, 48.8
"Covington County(6,10)",01039,***,6 ,3.5, 9.9,3,*,*,*,*
"Walker County(6,10)",01127,***,5.6 ,3.7, 8.4,5,rising,51.1 ,12.7, 102.6
"Etowah County(6,10)",01055,***,5.3 ,3.7, 7.4,7,stable,-6.1 ,-39.4, 45.5
"Baldwin County(6,10)",01003,***,5.2 ,4, 6.7,14,stable,-15.3 ,-37.2, 14.2
