------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=01&areatype=county&cancer=055&stage=211&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '01', 'areatype': 'county', 'cancer': '055', 'stage': '211', 'race': '00', 'sex': '2', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_042.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=01&areatype=county&cancer=055&stage=211&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Alabama by County

"Breast (Late Stage^), 2012-2016"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 42.1?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Percent of Cases with Late Stage
"Alabama(6)",01000,Yes,39.9 ,38.8, 40.9,1192,32.0
"US (SEER+NPCR)(1)",00000,No,42.3 ,42.1, 42.4,78906,33.0
"Butler County(6)",01013,No,63 ,43.5, 88.2,7,36.6
"Greene County(6)",01063,No,60 ,35.2, 97.6,4,45.7
"Choctaw County(6)",01023,No,54.9 ,34, 84.5,5,38.5
"Pike County(6)",01109,No,53.6 ,38.3, 72.9,9,38.6
"Conecuh County(6)",01035,No,52.2 ,31.4, 82.2,4,37.3
"Covington County(6)",01039,No,51.6 ,38.9, 67.4,13,33.2
"Lowndes County(6)",01085,No,51.4 ,30.1, 83,4,44.2
"Bibb County(6)",01007,No,50.3 ,34, 71.9,6,33.0
"Dallas County(6)",01047,No,50 ,38.1, 64.5,13,35.3
"Marengo County(6)",01091,No,49.1 ,32.9, 70.6,6,37.6
"Russell County(6)",01113,No,47.1 ,36.9, 59.4,15,36.5
"Geneva County(6)",01061,No,46.8 ,33.3, 64.4,9,35.0
"Sumter County(6)",01119,No,45.5 ,26.7, 73.1,4,35.7
"Autauga County(6)",01001,No,45.3 ,35.5, 57.1,15,31.6
"Jefferson County(6)",01073,No,45.1 ,42.1, 48.2,183,33.4
"Colbert County(6)",01033,No,44.7 ,35.2, 56.3,17,38.2
"Chambers County(6)",01017,No,44 ,31.7, 59.5,10,32.7
"Barbour County(6)",01005,No,43.6 ,29.1, 63,7,37.9
"Jackson County(6)",01071,No,43.3 ,33.6, 55.1,15,36.6
"Clarke County(6)",01025,No,43 ,29.8, 60.4,7,28.9
"St. Clair County(6)",01115,No,42.8 ,35.1, 51.8,23,30.9
"Limestone County(6)",01083,No,42.8 ,35.1, 51.8,22,35.0
"Tuscaloosa County(6)",01125,Yes,41.4 ,35.9, 47.4,43,31.5
"Chilton County(6)",01021,Yes,41.2 ,30.6, 54.4,11,34.2
"Lee County(6)",01081,Yes,41 ,34.7, 48.1,31,37.4
"Calhoun County(6)",01015,Yes,40.9 ,34.5, 48.3,31,35.4
"Montgomery County(6)",01101,Yes,40.3 ,35.5, 45.6,53,32.7
"Monroe County(6)",01099,Yes,40.3 ,26.7, 58.8,6,31.3
"Madison County(6)",01089,Yes,39.7 ,35.9, 43.8,82,30.4
"Lauderdale County(6)",01077,Yes,39.6 ,32.9, 47.4,27,37.9
"Escambia County(6)",01053,Yes,38.9 ,28, 53,9,30.6
"Crenshaw County(6)",01041,Yes,38.8 ,23, 62.5,4,32.2
"Etowah County(6)",01055,Yes,38.6 ,32.1, 46.3,26,34.2
"Mobile County(6)",01097,Yes,38.5 ,35.1, 42.3,98,31.7
"Dale County(6)",01045,Yes,38.5 ,28.7, 50.6,11,28.5
"Morgan County(6)",01103,Yes,38.1 ,31.9, 45.1,29,31.3
"Cullman County(6)",01043,Yes,38 ,30.7, 46.7,20,31.4
"Randolph County(6)",01111,Yes,37.9 ,24.6, 56.3,6,35.9
"Baldwin County(6)",01003,Yes,37.7 ,33.1, 42.8,52,29.4
