------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'topic': 'mob', 'demo': '00019', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_010.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alaska by Borough or Census Area
"Mobility: Moved, different county this state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Borough Or Census Area, FIPS,Value (Percent),People (Moved From Different County In Same State),Rank within US
"Alaska",02900,2.6,18741,"13 of 51"
"United States",00000,3.2,10247779,"N/A"
"Northwest Arctic Borough",02188,1.6,123,"190 of 3140"
"Juneau City and Borough",02110,1.8,580,"247 of 3140"
"Anchorage Municipality",02020,1.9,5503,"274 of 3140"
"Fairbanks North Borough",02090,1.9,1862,"285 of 3140"
"Prince of Wales-Outer Ketchikan Census Area",02201,1.9,121,"287 of 3140"
"Aleutians West Census Area",02016,2.0,117,"351 of 3140"
"Wrangell-Petersburg Census Area",02280,2.1,121,"406 of 3140"
"Ketchikan Gateway Borough",02130,2.5,336,"613 of 3140"
"Wade Hampton Census Area",02270,2.8,219,"811 of 3140"
"Bethel Census Area",02050,2.8,502,"873 of 3140"
"Kenai Peninsula Borough",02122,3.0,1740,"998 of 3140"
"Nome Census Area",02180,3.2,309,"1127 of 3140"
"Yakutat City and Borough",02282,3.3,22,"1173 of 3140"
"Yukon-Koyukuk Census Area",02290,3.3,177,"1192 of 3140"
"Kodiak Island Borough",02150,3.3,450,"1212 of 3140"
"Dillingham Census Area",02070,3.6,174,"1387 of 3140"
"Aleutians East Borough",02013,3.9,131,"1668 of 3140"
"Matanuska-Susitna Borough",02170,4.0,3992,"1703 of 3140"
"Lake and Peninsula Borough",02164,4.2,54,"1820 of 3140"
"Valdez-Cordova Census Area",02261,4.4,417,"1961 of 3140"
"North Slope Borough",02185,4.5,428,"1973 of 3140"
"Haines Borough",02100,4.7,118,"2071 of 3140"
"Skagway-Hoonah-Angoon Census Area",02232,5.0,158,"2270 of 3140"
"Denali Borough",02068,5.2,118,"2328 of 3140"
"Sitka City and Borough",02220,5.4,471,"2445 of 3140"
"Southeast Fairbanks Census Area",02240,6.4,432,"2718 of 3140"
"Bristol Bay Borough",02060,7.3,66,"2873 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
"Alaska Census Area Name Change: please note that Wade Hampton Census Area, AK (FIPS code=02270) was renamed effective July 1, 2015, and the new name is Kusilvak Census Area (FIPS Code=02158). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different county this state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
