------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=02&areatype=county&cancer=001&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'cancer': '001', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_034.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=02&areatype=county&cancer=001&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Alaska by Borough or Census Area

"All Cancer Sites (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Borough Or Census Area, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Alaska(6,10)",02900,***,413 ,405.6, 420.5,2784,stable,-0.8 ,-1.9, 0.2
"US (SEER+NPCR)(1,10)",00000,***,448 ,447.7, 448.4,1638110,falling,-0.9 ,-1.6, -0.1
"Yukon-Koyukuk Census Area(6,10)",02290,***,545.7 ,460.2, 642.6,32,stable,5.9 ,-15.2, 32.3
"Nome Census Area(6,10)",02180,***,481.3 ,403.8, 568.5,34,stable,-4.5 ,-25.1, 21.6
"North Slope Borough(6,10)",02185,***,449.1 ,362.1, 548.8,28,stable,0.1 ,-16.1, 19.6
"Matanuska-Susitna Borough(6,10)",02170,***,443.8 ,422.9, 465.4,405,stable,-0.9 ,-4.2, 2.5
"Southeast Fairbanks Census Area(6,10)",02240,***,443 ,372.6, 522.8,33,stable,2.5 ,-22.8, 36.1
"Prince of Wales-Outer Ketchikan Census Area(6,10)",02201,***,437.5 ,363, 523,30,stable,-7.9 ,-24.8, 12.6
"Ketchikan Gateway Borough(6,10)",02130,***,433.6 ,385.4, 486.3,67,stable,-2.9 ,-11.1, 6.0
"Anchorage Municipality(6,10)",02020,***,429 ,417, 441.1,1128,falling,-1.2 ,-2.0, -0.5
"Kodiak Island Borough(6,10)",02150,***,419.2 ,361.3, 483.3,48,stable,-3.9 ,-19.1, 14.0
"Lake and Peninsula Borough(6,10)",02164,***,417 ,269.1, 613.7,6,stable,-12.0 ,-36.9, 22.7
"Kenai Peninsula Borough(6,10)",02122,***,405.3 ,382.9, 428.6,283,stable,2.1 ,-3.4, 7.8
"Dillingham Census Area(6,10)",02070,***,404.1 ,313.9, 511,16,stable,-6.7 ,-31.0, 26.3
"Aleutians West Census Area(6,10)",02016,***,403.1 ,257.9, 589.7,13,stable,-0.7 ,-39.8, 64.0
"Fairbanks North Borough(6,10)",02090,***,391.9 ,370.9, 413.8,316,stable,-0.8 ,-3.2, 1.6
"Valdez-Cordova Census Area(6,10)",02261,***,387.9 ,327.7, 455.8,38,stable,0.5 ,-4.6, 5.9
"Juneau City and Borough(6,10)",02110,***,378.4 ,346.7, 412.1,125,stable,-2.1 ,-12.6, 9.6
"Haines Borough(6,10)",02100,***,368.4 ,273.2, 488.4,12,stable,-14.9 ,-35.9, 13.0
"Bristol Bay Borough(6,10)",02060,***,366.9 ,218.3, 586.2,4,stable,-12.9 ,-45.6, 39.7
"Wrangell-Petersburg Census Area(6,10)",02280,***,354.1 ,295, 422.4,28,stable,-0.1 ,-8.9, 9.5
"Sitka City and Borough(6,10)",02220,***,353.6 ,301.8, 412,36,stable,-2.8 ,-28.0, 31.2
"Northwest Arctic Borough(6,10)",02188,***,351.9 ,282.6, 432.2,20,stable,-7.3 ,-14.9, 1.0
"Wade Hampton Census Area(6,10)",02270,***,350.2 ,273, 440.9,17,stable,8.2 ,-23.9, 53.9
"Skagway-Hoonah-Angoon Census Area(6,10)",02232,***,337.4 ,256.9, 437.3,14,stable,3.4 ,-37.2, 70.3
