------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=06&areatype=county&cancer=061&race=00&sex=2&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '06', 'areatype': 'county', 'cancer': '061', 'race': '00', 'sex': '2', 'age': '001', 'type': 'death', 'file_name': 'deathrates_016.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=06&areatype=county&cancer=061&race=00&sex=2&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for California by County

"Ovary, 2012-2016"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"California",06000,***,7.1 ,6.9, 7.3,1581,falling,-2.1 ,-2.5, -1.6
"United States",00000,***,7 ,7, 7.1,14204,falling,-2.3 ,-2.4, -2.1
"Lake County",06033,***,11.1 ,6.9, 17.1,5,*,*,*,*
"Calaveras County",06009,***,10.3 ,5.9, 17.4,4,*,*,*,*
"San Luis Obispo County",06079,***,8.7 ,6.9, 11,17,stable,0.1 ,-1.7, 1.9
"Santa Cruz County",06087,***,8.6 ,6.6, 11,14,stable,-0.3 ,-1.6, 1.1
"Kings County",06031,***,8.5 ,5.6, 12.5,5,*,*,*,*
"San Joaquin County",06077,***,8.4 ,7.1, 9.8,32,stable,-0.1 ,-1.3, 1.0
"Stanislaus County",06099,***,8.4 ,6.9, 10,24,stable,-0.6 ,-1.7, 0.5
"Shasta County",06089,***,8.2 ,6.2, 10.8,11,stable,-0.6 ,-2.6, 1.4
"San Bernardino County",06071,***,8.2 ,7.4, 9.1,83,falling,-0.7 ,-1.4, -0.1
"Sutter County",06101,***,8.2 ,5.2, 12.3,5,stable,-1.0 ,-3.5, 1.7
"Ventura County",06111,***,8 ,6.9, 9.2,40,stable,-0.3 ,-1.3, 0.7
"Napa County",06055,***,8 ,5.7, 11,8,falling,-2.0 ,-3.2, -0.9
"Butte County",06007,***,7.9 ,6, 10.3,12,stable,-0.1 ,-2.0, 1.9
