------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=06&areatype=county&cancer=020&stage=211&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '06', 'areatype': 'county', 'cancer': '020', 'stage': '211', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_044.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=06&areatype=county&cancer=020&stage=211&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for California by County

"Colon & Rectum (Late Stage^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Percent of Cases with Late Stage
"California(3)",06000,***,19.7 ,19.6, 19.9,8034,55.6
"US (SEER+NPCR)(1)",00000,***,21.5 ,21.5, 21.6,78225,55.5
"Glenn County(7)",06021,***,28.1 ,20.4, 37.9,9,57.0
"Tehama County(7)",06103,***,25.1 ,20.3, 30.7,20,62.3
"Butte County(7)",06007,***,24.7 ,22, 27.6,67,59.6
"Colusa County(7)",06011,***,24.2 ,15.8, 35.5,5,61.4
"Yuba County(7)",06115,***,24 ,18.9, 29.9,16,60.6
"Trinity County(7)",06105,***,23.7 ,14, 38.4,5,62.2
"Lake County(7)",06033,***,23.7 ,19.2, 28.9,22,63.7
"San Benito County(7)",06069,***,23.5 ,18.1, 30.1,13,60.9
"Mendocino County(7)",06045,***,23 ,19, 27.7,26,62.9
"Inyo County(7)",06027,***,22.2 ,14.2, 33.4,6,53.8
"Amador County(7)",06005,***,22.2 ,17.1, 28.6,14,68.6
"Sonoma County(7)",06097,***,22.2 ,20.5, 23.9,141,58.6
"Mariposa County(7)",06043,***,22.1 ,14.4, 33,6,61.5
"Merced County(7)",06047,***,22 ,19.4, 25,51,55.5
"Sacramento County(7)",06067,***,21.9 ,20.8, 23,337,57.3
"San Bernardino County(7)",06071,***,21.8 ,20.9, 22.8,416,54.5
"Lassen County(7)",06035,***,21.6 ,14.9, 30.3,7,58.1
"Solano County(7)",06095,***,21.2 ,19.3, 23.2,101,57.9
"San Joaquin County(7)",06077,***,20.9 ,19.4, 22.5,146,56.6
"Imperial County(7)",06025,***,20.7 ,17.8, 24,36,56.1
"Santa Barbara County(7)",06083,***,20.7 ,18.9, 22.7,97,61.1
"Contra Costa County(7)",06013,***,20.6 ,19.5, 21.8,259,55.3
"San Luis Obispo County(7)",06079,***,20.6 ,18.5, 22.9,74,61.0
"El Dorado County(7)",06017,***,20.5 ,17.9, 23.5,49,58.4
"Shasta County(7)",06089,***,20.5 ,18, 23.3,51,53.0
"Stanislaus County(7)",06099,***,20.5 ,18.8, 22.3,108,52.3
