------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '08', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Colorado by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"United States",00000,73.0,234370202,"N/A"
"Colorado",08000,84.2,4576201,"17 of 52"
"Arapahoe County",08005,71.9,450692,"2508 of 3141"
"Denver County",08031,76.9,521481,"2356 of 3141"
"Pueblo County",08101,77.7,126971,"2325 of 3141"
"El Paso County",08041,79.5,536783,"2240 of 3141"
"Adams County",08001,82.9,404397,"2077 of 3141"
"Montezuma County",08083,83.0,21390,"2067 of 3141"
"Archuleta County",08007,84.1,10587,"2019 of 3141"
"Las Animas County",08071,85.1,12043,"1971 of 3141"
"Mineral County",08079,85.6,714,"1942 of 3141"
"Alamosa County",08003,86.1,14071,"1908 of 3141"
"Broomfield County",08014,86.1,55361,"1906 of 3141"
"Crowley County",08025,87.0,4797,"1838 of 3141"
"Morgan County",08087,87.5,24601,"1806 of 3141"
"Garfield County",08045,87.8,50863,"1779 of 3141"
"Lincoln County",08073,87.9,4854,"1764 of 3141"
"Lake County",08065,88.1,6590,"1751 of 3141"
"Boulder County",08013,88.6,280804,"1677 of 3141"
"La Plata County",08067,88.7,48299,"1670 of 3141"
"Weld County",08123,88.8,253742,"1663 of 3141"
"Eagle County",08037,88.9,47748,"1658 of 3141"
"Douglas County",08035,89.7,287821,"1585 of 3141"
"Bent County",08011,89.9,5219,"1567 of 3141"
"Summit County",08117,90.1,26775,"1551 of 3141"
"Sedgwick County",08115,90.2,2125,"1546 of 3141"
"Otero County",08089,90.2,16530,"1542 of 3141"
"Fremont County",08043,90.3,42068,"1535 of 3141"
"Saguache County",08109,90.4,5731,"1519 of 3141"
"Conejos County",08021,90.7,7386,"1497 of 3141"
"Jefferson County",08059,90.8,512329,"1478 of 3141"
"Larimer County",08069,91.2,302008,"1426 of 3141"
"Kit Carson County",08063,91.4,7173,"1404 of 3141"
"Rio Grande County",08105,91.6,10474,"1373 of 3141"
"Pitkin County",08097,91.7,16266,"1368 of 3141"
"Costilla County",08023,91.7,3328,"1362 of 3141"
"Logan County",08075,91.8,20097,"1345 of 3141"
"Kiowa County",08061,92.4,1264,"1271 of 3141"
"Gilpin County",08047,92.8,5376,"1214 of 3141"
"Custer County",08027,93.2,4199,"1153 of 3141"
"Jackson County",08057,93.2,1279,"1149 of 3141"
"Grand County",08049,93.5,13828,"1108 of 3141"
"Yuma County",08125,93.5,9451,"1105 of 3141"
"Montrose County",08085,93.6,38287,"1082 of 3141"
"Chaffee County",08015,93.7,17626,"1066 of 3141"
"Phillips County",08095,93.9,4061,"1040 of 3141"
"Delta County",08029,94.0,28400,"1017 of 3141"
"Mesa County",08077,94.0,139913,"1010 of 3141"
"Elbert County",08039,94.1,23097,"1003 of 3141"
"Clear Creek County",08019,94.3,8729,"967 of 3141"
"Cheyenne County",08017,94.4,2007,"959 of 3141"
"Teller County",08119,94.5,22465,"923 of 3141"
"Routt County",08107,94.7,23078,"872 of 3141"
"Hinsdale County",08053,94.8,777,"870 of 3141"
"Huerfano County",08055,94.9,6164,"856 of 3141"
"Moffat County",08081,94.9,12386,"854 of 3141"
"Park County",08093,95.0,16051,"830 of 3141"
"Prowers County",08099,95.2,11498,"801 of 3141"
"Baca County",08009,95.3,3413,"775 of 3141"
"Washington County",08121,95.7,4601,"692 of 3141"
"San Miguel County",08113,95.7,7468,"686 of 3141"
"Gunnison County",08051,95.7,15522,"673 of 3141"
"Dolores County",08033,95.7,1662,"672 of 3141"
"Rio Blanco County",08103,97.1,6365,"307 of 3141"
"San Juan County",08111,97.2,553,"273 of 3141"
"Ouray County",08091,98.1,4563,"84 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: White, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
