------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '08', 'areatype': 'county', 'topic': 'pop', 'demo': '00105', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Colorado by County
Population: Sex - Female
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Female),Rank within US
"Colorado",08000,49.8,2705204,"7 of 52"
"United States",00000,50.8,162985654,"N/A"
"Crowley County",08025,32.0,1762,"2 of 3141"
"Bent County",08011,35.1,2039,"9 of 3141"
"Lincoln County",08073,36.2,1998,"14 of 3141"
"Fremont County",08043,41.9,19528,"59 of 3141"
"Kit Carson County",08063,44.0,3454,"88 of 3141"
"Summit County",08117,45.4,13504,"133 of 3141"
"Lake County",08065,45.5,3402,"135 of 3141"
"Dolores County",08033,45.5,790,"136 of 3141"
"Gunnison County",08051,45.8,7420,"147 of 3141"
"Grand County",08049,45.9,6796,"157 of 3141"
"Costilla County",08023,46.0,1670,"162 of 3141"
"Gilpin County",08047,46.3,2685,"182 of 3141"
"Logan County",08075,46.4,10162,"192 of 3141"
"Chaffee County",08015,46.6,8762,"202 of 3141"
"San Miguel County",08113,46.8,3654,"226 of 3141"
"Eagle County",08037,46.8,25166,"229 of 3141"
"San Juan County",08111,47.1,268,"254 of 3141"
"Park County",08093,47.1,7965,"257 of 3141"
"Pitkin County",08097,47.2,8384,"267 of 3141"
"Routt County",08107,48.0,11684,"358 of 3141"
"Phillips County",08095,48.0,2078,"366 of 3141"
"Mineral County",08079,48.1,401,"382 of 3141"
"Moffat County",08081,48.1,6284,"391 of 3141"
"Las Animas County",08071,48.3,6828,"411 of 3141"
"Washington County",08121,48.3,2324,"424 of 3141"
"Clear Creek County",08019,48.7,4505,"501 of 3141"
"Cheyenne County",08017,48.9,1041,"585 of 3141"
"Archuleta County",08007,49.2,6192,"659 of 3141"
"Rio Blanco County",08103,49.3,3232,"708 of 3141"
"Elbert County",08039,49.3,12111,"727 of 3141"
"Garfield County",08045,49.4,28611,"761 of 3141"
"Prowers County",08099,49.4,5973,"789 of 3141"
"El Paso County",08041,49.6,334708,"869 of 3141"
"Adams County",08001,49.6,242010,"876 of 3141"
"Delta County",08029,49.6,14996,"889 of 3141"
"La Plata County",08067,49.7,27045,"914 of 3141"
"Weld County",08123,49.7,141946,"930 of 3141"
"Boulder County",08013,49.8,157670,"1000 of 3141"
"Kiowa County",08061,49.8,681,"1014 of 3141"
"Teller County",08119,49.8,11843,"1051 of 3141"
"Conejos County",08021,49.9,4063,"1094 of 3141"
"Rio Grande County",08105,49.9,5701,"1100 of 3141"
"Denver County",08031,50.0,339067,"1175 of 3141"
"Sedgwick County",08115,50.1,1181,"1292 of 3141"
"Larimer County",08069,50.2,166056,"1354 of 3141"
"Douglas County",08035,50.2,161136,"1379 of 3141"
"Morgan County",08087,50.2,14126,"1402 of 3141"
"Jefferson County",08059,50.2,283394,"1410 of 3141"
"Huerfano County",08055,50.3,3268,"1464 of 3141"
"Broomfield County",08014,50.3,32363,"1514 of 3141"
"Yuma County",08125,50.4,5099,"1614 of 3141"
"Saguache County",08109,50.4,3197,"1615 of 3141"
"Alamosa County",08003,50.5,8260,"1716 of 3141"
"Mesa County",08077,50.6,75320,"1830 of 3141"
"Arapahoe County",08005,50.7,317422,"1895 of 3141"
"Montrose County",08085,50.7,20726,"1905 of 3141"
"Jackson County",08057,50.7,696,"1979 of 3141"
"Pueblo County",08101,50.8,83038,"2086 of 3141"
"Montezuma County",08083,50.9,13106,"2114 of 3141"
"Otero County",08089,51.1,9368,"2372 of 3141"
"Custer County",08027,51.2,2305,"2415 of 3141"
"Baca County",08009,51.6,1849,"2734 of 3141"
"Ouray County",08091,52.8,2455,"3038 of 3141"
"Hinsdale County",08053,53.2,436,"3082 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Female, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
