------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=09&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '09', 'areatype': 'county', 'topic': 'pop', 'demo': '00002', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_013.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=09&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Connecticut by County
Population: Age under 18
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age Under 18),Rank within US
"Connecticut",09000,21.2,762732,"42 of 52"
"United States",00000,22.9,73601279,"N/A"
"Tolland County",09013,18.1,27504,"2872 of 3141"
"Middlesex County",09007,18.8,30873,"2768 of 3141"
"Litchfield County",09005,19.1,35214,"2723 of 3141"
"New London County",09011,20.0,54152,"2490 of 3141"
"Windham County",09015,20.4,23765,"2377 of 3141"
"New Haven County",09009,20.8,179259,"2234 of 3141"
"Hartford County",09003,21.4,192330,"2005 of 3141"
"Fairfield County",09001,23.2,219635,"1235 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:57 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age under 18, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
