------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=09&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '09', 'areatype': 'county', 'topic': 'pop', 'demo': '00014', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_022.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=09&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Connecticut by County
Population: Foreign born
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Foreign Born),Rank within US
"United States",00000,13.4,43028127,"N/A"
"Connecticut",09000,14.2,511893,"10 of 51"
"Windham County",09015,5.4,6284,"852 of 3140"
"Tolland County",09013,7.1,10725,"601 of 3140"
"Middlesex County",09007,7.7,12656,"532 of 3140"
"Litchfield County",09005,7.8,14416,"525 of 3140"
"New London County",09011,8.3,22494,"480 of 3140"
"New Haven County",09009,12.0,103028,"258 of 3140"
"Hartford County",09003,15.2,136306,"184 of 3140"
"Fairfield County",09001,21.7,205984,"91 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:57 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Foreign born, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
