------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '12', 'areatype': 'county', 'topic': 'pop', 'demo': '00029', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_017.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Florida by County
Population: Age 50 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 50 And Over),Rank within US
"United States",00000,34.5,110609456,"N/A"
"Florida",12000,39.5,8003341,"5 of 52"
"Leon County",12073,28.4,81217,"2973 of 3141"
"Orange County",12095,28.8,371112,"2955 of 3141"
"Alachua County",12001,29.4,76410,"2921 of 3141"
"Osceola County",12097,29.9,97311,"2883 of 3141"
"Hendry County",12051,30.3,11833,"2858 of 3141"
"Hardee County",12049,31.7,8666,"2753 of 3141"
"Lafayette County",12067,31.9,2768,"2742 of 3141"
"Hillsborough County",12057,32.2,434715,"2701 of 3141"
"Duval County",12031,32.4,295819,"2678 of 3141"
"Liberty County",12077,32.6,2719,"2662 of 3141"
"Baker County",12003,33.6,9265,"2546 of 3141"
"Miami-Dade County",12086,34.7,937756,"2407 of 3141"
"Seminole County",12117,34.8,156496,"2382 of 3141"
"Okaloosa County",12091,34.9,68861,"2380 of 3141"
"Clay County",12019,35.2,71500,"2324 of 3141"
"Union County",12125,35.6,5450,"2260 of 3141"
"Escambia County",12033,35.7,110503,"2253 of 3141"
"Wakulla County",12129,35.8,11300,"2234 of 3141"
"Santa Rosa County",12113,35.9,59842,"2215 of 3141"
"Broward County",12011,36.1,682325,"2187 of 3141"
"Bay County",12005,37.1,66754,"2002 of 3141"
"Hamilton County",12047,37.4,5329,"1914 of 3141"
"Gadsden County",12039,38.0,17507,"1792 of 3141"
"Calhoun County",12013,38.0,5499,"1780 of 3141"
"Washington County",12133,38.2,9357,"1732 of 3141"
"Bradford County",12007,38.3,10248,"1727 of 3141"
"Columbia County",12023,38.4,26324,"1696 of 3141"
"Polk County",12105,38.4,250717,"1695 of 3141"
"Okeechobee County",12093,38.6,15536,"1663 of 3141"
"Jackson County",12063,38.6,18759,"1662 of 3141"
"Taylor County",12123,38.7,8641,"1653 of 3141"
"DeSoto County",12027,39.1,13938,"1566 of 3141"
"Holmes County",12059,40.2,7832,"1296 of 3141"
"Madison County",12079,40.3,7467,"1266 of 3141"
"Suwannee County",12121,40.5,17731,"1227 of 3141"
"St. Johns County",12109,40.5,91767,"1219 of 3141"
"Gulf County",12045,40.7,6517,"1172 of 3141"
"Gilchrist County",12041,41.0,7052,"1099 of 3141"
"Walton County",12131,41.4,26300,"1012 of 3141"
"Pasco County",12101,42.7,212477,"817 of 3141"
"Franklin County",12037,42.7,4988,"807 of 3141"
"Palm Beach County",12099,42.8,610802,"791 of 3141"
"St. Lucie County",12111,43.2,129212,"725 of 3141"
"Nassau County",12089,43.3,33999,"708 of 3141"
"Putnam County",12107,44.2,32048,"594 of 3141"
"Jefferson County",12065,45.4,6394,"479 of 3141"
"Volusia County",12127,45.7,237220,"439 of 3141"
"Monroe County",12087,45.8,35131,"431 of 3141"
"Lake County",12069,46.0,149932,"420 of 3141"
"Glades County",12043,46.0,6067,"418 of 3141"
"Levy County",12075,46.1,18317,"401 of 3141"
"Brevard County",12009,46.3,262992,"392 of 3141"
"Dixie County",12029,46.5,7586,"379 of 3141"
"Pinellas County",12103,46.8,444340,"352 of 3141"
"Manatee County",12081,47.1,171069,"332 of 3141"
"Lee County",12071,47.4,331972,"308 of 3141"
"Marion County",12083,48.1,165453,"262 of 3141"
"Hernando County",12053,48.6,87148,"234 of 3141"
"Collier County",12021,49.7,177181,"187 of 3141"
"Flagler County",12035,50.6,53151,"151 of 3141"
"Martin County",12085,52.1,81082,"116 of 3141"
"Indian River County",12061,52.4,77517,"101 of 3141"
"Highlands County",12055,53.3,53387,"77 of 3141"
"Sarasota County",12115,56.7,229606,"32 of 3141"
"Citrus County",12017,58.2,82247,"23 of 3141"
"Charlotte County",12015,61.6,106662,"11 of 3141"
"Sumter County",12119,73.8,86218,"1 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 50 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
