------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=12&areatype=county&cancer=001&race=00&sex=0&age=136&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '12', 'areatype': 'county', 'cancer': '001', 'race': '00', 'sex': '0', 'age': '136', 'type': 'incd', 'file_name': 'incidencerates_037.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=12&areatype=county&cancer=001&race=00&sex=0&age=136&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Florida by County

"All Cancer Sites (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, Ages 50+"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Florida(6,10)",12000,***,1355.8 ,1352.2, 1359.4,108853,stable,-2.0 ,-4.1, 0.2
"US (SEER+NPCR)(1,10)",00000,***,1350.2 ,1349.2, 1351.2,1428518,falling,-1.1 ,-1.8, -0.3
"Union County(6,10)",12125,***,2910.8 ,2702.1, 3132.1,160,stable,-3.8 ,-7.8, 0.5
"Nassau County(6,10)",12089,***,1614.4 ,1552, 1678.7,529,stable,0.2 ,-5.9, 6.6
"Duval County(6,10)",12031,***,1584.2 ,1562.6, 1606,4338,stable,-1.4 ,-3.4, 0.7
"Hernando County(6,10)",12053,***,1584.1 ,1547.4, 1621.5,1489,falling,-2.2 ,-4.2, -0.3
"Marion County(6,10)",12083,***,1542.6 ,1516.3, 1569.3,2782,stable,-1.1 ,-3.6, 1.5
"Clay County(6,10)",12019,***,1531 ,1487.3, 1575.7,985,stable,-0.5 ,-5.2, 4.4
"Levy County(6,10)",12075,***,1513.5 ,1434.5, 1595.7,285,falling,-3.8 ,-5.9, -1.6
"Citrus County(6,10)",12017,***,1511.5 ,1474, 1549.6,1372,stable,-2.8 ,-6.2, 0.8
"Lake County(6,10)",12069,***,1501.4 ,1474, 1529.1,2405,stable,-1.8 ,-5.5, 2.1
"Dixie County(6,10)",12029,***,1499.1 ,1376, 1630.3,113,stable,-0.1 ,-11.5, 12.8
"Pasco County(6,10)",12101,***,1488.2 ,1465.2, 1511.5,3259,stable,-2.8 ,-5.9, 0.3
"Columbia County(6,10)",12023,***,1485.6 ,1419.4, 1554.2,388,falling,-1.9 ,-3.3, -0.4
"Putnam County(6,10)",12107,***,1478.7 ,1419.6, 1539.6,482,stable,1.3 ,-4.3, 7.2
"Polk County(6,10)",12105,***,1470.4 ,1449.2, 1491.8,3766,stable,-2.0 ,-6.7, 2.9
"Bay County(6,10)",12005,***,1464.1 ,1422.1, 1507,941,stable,-1.1 ,-6.7, 4.8
"Okeechobee County(6,10)",12093,***,1460 ,1376.2, 1547.6,230,falling,-3.4 ,-6.4, -0.3
"Escambia County(6,10)",12033,***,1448.9 ,1416.5, 1481.8,1560,stable,-0.4 ,-2.7, 2.1
"Flagler County(6,10)",12035,***,1445.5 ,1400.1, 1492.1,815,stable,-2.4 ,-10.4, 6.3
"Brevard County(6,10)",12009,***,1441.9 ,1421.4, 1462.6,3830,stable,-1.3 ,-4.8, 2.3
"St. Johns County(6,10)",12109,***,1436 ,1399.7, 1473,1233,stable,0.8 ,-4.8, 6.7
"Hillsborough County(6,10)",12057,***,1434.9 ,1418.1, 1451.8,5810,falling,-3.1 ,-4.4, -1.7
"Suwannee County(6,10)",12121,***,1428.4 ,1351.2, 1508.9,261,rising,6.3 ,0.6, 12.2
"Alachua County(6,10)",12001,***,1408 ,1369.1, 1447.7,1039,stable,-1.5 ,-5.8, 3.0
"Pinellas County(6,10)",12103,***,1379.2 ,1363.7, 1394.8,6256,stable,-1.6 ,-4.1, 0.9
"Taylor County(6,10)",12123,***,1376 ,1266.6, 1492.3,120,falling,-4.1 ,-7.8, -0.2
