------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=12&areatype=county&cancer=072&stage=211&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '12', 'areatype': 'county', 'cancer': '072', 'stage': '211', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_046.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=12&areatype=county&cancer=072&stage=211&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Florida by County

"Kidney & Renal Pelvis (Late Stage^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Percent of Cases with Late Stage
"Florida(6)",12000,***,4.2 ,4.1, 4.3,1134,29.6
"US (SEER+NPCR)(1)",00000,***,4.8 ,4.8, 4.9,17836,29.4
"Wakulla County(6)",12129,***,11.8 ,6.9, 18.7,4,65.5
"Gadsden County(6)",12039,***,7.4 ,4.4, 11.6,4,33.9
"Clay County(6)",12019,***,6.1 ,4.7, 7.8,14,31.7
"Columbia County(6)",12023,***,5.6 ,3.6, 8.4,5,31.7
"Marion County(6)",12083,***,5.5 ,4.6, 6.6,31,33.2
"Duval County(6)",12031,***,5.4 ,4.8, 6.1,53,28.3
"Pasco County(6)",12101,***,5.4 ,4.6, 6.2,40,33.8
"Monroe County(6)",12087,***,5.4 ,3.5, 8,6,39.7
"Sumter County(6)",12119,***,5.2 ,3.6, 7.7,13,30.5
"Polk County(6)",12105,***,5.2 ,4.5, 5.9,46,33.1
"Putnam County(6)",12107,***,5 ,3.3, 7.4,6,26.2
"Walton County(6)",12131,***,4.9 ,3, 7.7,4,36.8
"Santa Rosa County(6)",12113,***,4.7 ,3.4, 6.4,9,28.2
"Hillsborough County(6)",12057,***,4.7 ,4.2, 5.2,66,27.1
"Okaloosa County(6)",12091,***,4.6 ,3.4, 6.1,10,28.2
"Hernando County(6)",12053,***,4.6 ,3.5, 6,14,30.6
"St. Lucie County(6)",12111,***,4.6 ,3.7, 5.6,21,29.7
"Volusia County(6)",12127,***,4.6 ,4, 5.3,39,33.6
"Escambia County(6)",12033,***,4.4 ,3.5, 5.5,16,25.1
"Lake County(6)",12069,***,4.2 ,3.4, 5.1,23,27.3
"Pinellas County(6)",12103,***,4.2 ,3.7, 4.7,61,30.1
"Alachua County(6)",12001,***,4.2 ,3.1, 5.5,10,23.9
"Miami-Dade County(6)",12086,***,4.2 ,3.8, 4.5,131,32.0
"St. Johns County(6)",12109,***,4.1 ,3.1, 5.3,12,30.7
"Citrus County(6)",12017,***,4.1 ,3, 5.6,12,30.0
"Nassau County(6)",12089,***,4.1 ,2.5, 6.3,5,24.7
"Bay County(6)",12005,***,4.1 ,3, 5.5,9,22.5
"Indian River County(6)",12061,***,4 ,3, 5.4,11,32.0
"Osceola County(6)",12097,***,4 ,3, 5.1,13,26.9
"Sarasota County(6)",12115,***,4 ,3.3, 4.8,34,35.1
"Leon County(6)",12073,***,3.9 ,2.9, 5.2,11,28.6
"Broward County(6)",12011,***,3.9 ,3.5, 4.3,87,29.3
"Brevard County(6)",12009,***,3.8 ,3.3, 4.5,33,24.6
"Martin County(6)",12085,***,3.8 ,2.8, 5.1,11,31.0
"Manatee County(6)",12081,***,3.7 ,3, 4.6,21,28.8
"Seminole County(6)",12117,***,3.7 ,3, 4.6,19,26.7
"Palm Beach County(6)",12099,***,3.6 ,3.2, 3.9,76,29.0
"Orange County(6)",12095,***,3.5 ,3, 4,42,23.6
"Lee County(6)",12071,***,3.4 ,2.9, 4,39,29.4
"Flagler County(6)",12035,***,3.1 ,1.9, 4.7,5,19.7
"Highlands County(6)",12055,***,3 ,1.9, 4.7,6,29.5
"Charlotte County(6)",12015,***,2.7 ,2, 3.7,12,28.7
"Collier County(6)",12021,***,2.5 ,1.9, 3.2,15,34.4
"Baker County(6)",12003,***,* ,*, *,3 or fewer,*
"Bradford County(6)",12007,***,* ,*, *,3 or fewer,*
"Calhoun County(6)",12013,***,* ,*, *,3 or fewer,*
"DeSoto County(6)",12027,***,* ,*, *,3 or fewer,*
"Dixie County(6)",12029,***,* ,*, *,3 or fewer,*
"Franklin County(6)",12037,***,* ,*, *,3 or fewer,*
"Gilchrist County(6)",12041,***,* ,*, *,3 or fewer,*
"Glades County(6)",12043,***,* ,*, *,3 or fewer,*
"Gulf County(6)",12045,***,* ,*, *,3 or fewer,*
"Hamilton County(6)",12047,***,* ,*, *,3 or fewer,*
"Hardee County(6)",12049,***,* ,*, *,3 or fewer,*
"Hendry County(6)",12051,***,* ,*, *,3 or fewer,*
"Holmes County(6)",12059,***,* ,*, *,3 or fewer,*
"Jackson County(6)",12063,***,* ,*, *,3 or fewer,*
"Jefferson County(6)",12065,***,* ,*, *,3 or fewer,*
"Lafayette County(6)",12067,***,* ,*, *,3 or fewer,*
