------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"Georgia",13000,29.9,2003531,"25 of 52"
"United States",00000,30.9,66887603,"N/A"
"Taliaferro County",13265,6.8,93,"3136 of 3141"
"Echols County",13101,6.9,181,"3135 of 3141"
"Brantley County",13025,7.8,972,"3121 of 3141"
"Wheeler County",13309,8.1,438,"3117 of 3141"
"Telfair County",13271,8.1,998,"3116 of 3141"
"Atkinson County",13003,8.2,428,"3114 of 3141"
"Jenkins County",13165,8.3,482,"3112 of 3141"
"Quitman County",13239,8.3,138,"3110 of 3141"
"Charlton County",13049,8.6,770,"3104 of 3141"
"Macon County",13193,8.6,830,"3102 of 3141"
"Hancock County",13141,8.7,584,"3096 of 3141"
"Clay County",13061,8.9,183,"3092 of 3141"
"Wilkinson County",13319,9.0,561,"3083 of 3141"
"Twiggs County",13289,9.2,555,"3072 of 3141"
"Glascock County",13125,9.4,194,"3062 of 3141"
"Calhoun County",13037,9.4,459,"3057 of 3141"
"Johnson County",13167,9.6,668,"3052 of 3141"
"Murray County",13213,9.6,2498,"3051 of 3141"
"Dooly County",13093,9.9,1002,"3032 of 3141"
"Chattooga County",13055,10.1,1735,"3026 of 3141"
"Ben Hill County",13017,10.2,1168,"3018 of 3141"
"Jeff Davis County",13161,10.3,1001,"3013 of 3141"
"Jasper County",13159,10.5,989,"3001 of 3141"
"Wilcox County",13315,10.5,672,"2999 of 3141"
"Butts County",13035,10.5,1732,"2997 of 3141"
"Jefferson County",13163,10.6,1136,"2992 of 3141"
"Meriwether County",13199,10.7,1570,"2987 of 3141"
"Heard County",13149,10.8,851,"2979 of 3141"
"Terrell County",13273,10.8,655,"2972 of 3141"
"Worth County",13321,11.0,1559,"2951 of 3141"
"Baker County",13007,11.0,255,"2949 of 3141"
"Elbert County",13105,11.1,1489,"2948 of 3141"
"Webster County",13307,11.3,203,"2927 of 3141"
"Taylor County",13269,11.4,652,"2911 of 3141"
"Miller County",13201,11.4,466,"2907 of 3141"
"Appling County",13001,11.5,1425,"2888 of 3141"
"Burke County",13033,11.7,1715,"2872 of 3141"
"Berrien County",13019,11.7,1514,"2870 of 3141"
"Bacon County",13005,11.8,879,"2854 of 3141"
"Banks County",13011,11.9,1503,"2845 of 3141"
"Lincoln County",13181,12.1,687,"2823 of 3141"
"Randolph County",13243,12.1,602,"2821 of 3141"
"Clinch County",13065,12.3,549,"2794 of 3141"
"Tattnall County",13267,12.3,2184,"2793 of 3141"
"Mitchell County",13205,12.3,1881,"2788 of 3141"
"Stewart County",13259,12.4,535,"2769 of 3141"
"Marion County",13197,12.5,761,"2757 of 3141"
"Talbot County",13263,12.5,596,"2754 of 3141"
"Emanuel County",13107,12.5,1850,"2752 of 3141"
"Colquitt County",13071,12.5,3705,"2743 of 3141"
"Pulaski County",13235,12.6,1065,"2737 of 3141"
"Pierce County",13229,12.7,1643,"2720 of 3141"
"Polk County",13233,12.7,3458,"2716 of 3141"
"Wayne County",13305,12.7,2562,"2712 of 3141"
"Franklin County",13119,12.8,1952,"2701 of 3141"
"Upson County",13293,12.9,2328,"2679 of 3141"
"Washington County",13303,13.1,1840,"2649 of 3141"
"Irwin County",13155,13.1,834,"2641 of 3141"
"Crawford County",13079,13.2,1159,"2628 of 3141"
"Ware County",13299,13.5,3259,"2586 of 3141"
"Turner County",13287,13.5,750,"2584 of 3141"
"Brooks County",13027,13.6,1498,"2574 of 3141"
"Crisp County",13081,13.6,2061,"2568 of 3141"
"Gordon County",13129,13.7,5147,"2553 of 3141"
"Schley County",13249,13.7,458,"2551 of 3141"
