------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=inc&demo=00010&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'inc', 'demo': '00010', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_004.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=inc&demo=00010&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
Income: Median family income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US
"Georgia",13000,64053.000000000,"37 of 52"
"United States",00000,70850.000000000,"N/A"
"Stewart County",13259,28355.000000000,"3130 of 3141"
"Hancock County",13141,33140.000000000,"3111 of 3141"
"Quitman County",13239,34441.000000000,"3105 of 3141"
"Clay County",13061,35214.000000000,"3096 of 3141"
"Atkinson County",13003,35357.000000000,"3095 of 3141"
"Taylor County",13269,35714.000000000,"3092 of 3141"
"Randolph County",13243,35720.000000000,"3091 of 3141"
"Telfair County",13271,36116.000000000,"3085 of 3141"
"Candler County",13043,37025.000000000,"3079 of 3141"
"Ben Hill County",13017,37236.000000000,"3078 of 3141"
"Calhoun County",13037,37297.000000000,"3076 of 3141"
"Terrell County",13273,38164.000000000,"3064 of 3141"
"Wheeler County",13309,38304.000000000,"3061 of 3141"
"Jenkins County",13165,39103.000000000,"3052 of 3141"
"Crisp County",13081,39291.000000000,"3051 of 3141"
"Macon County",13193,39312.000000000,"3048 of 3141"
"Colquitt County",13071,40003.000000000,"3037 of 3141"
"Twiggs County",13289,40072.000000000,"3035 of 3141"
"Early County",13099,40216.000000000,"3029 of 3141"
"Mitchell County",13205,40730.000000000,"3012 of 3141"
"Emanuel County",13107,41129.000000000,"2996 of 3141"
"Dougherty County",13095,41278.000000000,"2990 of 3141"
"Jefferson County",13163,41341.000000000,"2983 of 3141"
"Taliaferro County",13265,41406.000000000,"2981 of 3141"
"Sumter County",13261,41607.000000000,"2972 of 3141"
"Cook County",13075,41823.000000000,"2965 of 3141"
"Burke County",13033,42050.000000000,"2954 of 3141"
"Seminole County",13253,42725.000000000,"2932 of 3141"
"Laurens County",13175,43020.000000000,"2923 of 3141"
"Brantley County",13025,43177.000000000,"2916 of 3141"
"Clinch County",13065,43565.000000000,"2901 of 3141"
"Chattooga County",13055,44076.000000000,"2876 of 3141"
"Jeff Davis County",13161,44552.000000000,"2859 of 3141"
"Elbert County",13105,44710.000000000,"2847 of 3141"
"Webster County",13307,44863.000000000,"2843 of 3141"
"Ware County",13299,44931.000000000,"2840 of 3141"
"Berrien County",13019,45120.000000000,"2831 of 3141"
"Screven County",13251,45324.000000000,"2818 of 3141"
"Schley County",13249,45379.000000000,"2810 of 3141"
"Grady County",13131,45574.000000000,"2804 of 3141"
"Warren County",13301,45913.000000000,"2780 of 3141"
"Dooly County",13093,45918.000000000,"2779 of 3141"
"Lanier County",13173,45959.000000000,"2776 of 3141"
"Coffee County",13069,46056.000000000,"2770 of 3141"
