------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'mob', 'demo': '00017', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
Mobility: Haven't moved (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Haven't Moved),Rank within US
"Georgia",13000,84.3,8490573,"32 of 51"
"United States",00000,85.4,270854872,"N/A"
"Chattahoochee County",13053,51.8,5608,"3140 of 3140"
"Stewart County",13259,68.7,4006,"3129 of 3140"
"Liberty County",13179,68.9,41790,"3128 of 3140"
"Clarke County",13059,71.4,86997,"3120 of 3140"
"Bulloch County",13031,74.4,54287,"3096 of 3140"
"Chatham County",13051,77.4,217847,"3043 of 3140"
"Muscogee County",13215,77.5,151625,"3040 of 3140"
"Camden County",13039,78.2,40200,"3023 of 3140"
"Baldwin County",13009,78.7,35432,"3006 of 3140"
"Tattnall County",13267,78.9,19891,"3002 of 3140"
"Long County",13183,78.9,13900,"2998 of 3140"
"Sumter County",13261,79.3,23988,"2975 of 3140"
"Bryan County",13029,79.5,27340,"2970 of 3140"
"Clayton County",13063,80.1,216456,"2931 of 3140"
"Lowndes County",13185,80.1,90086,"2929 of 3140"
"Carroll County",13045,80.8,91493,"2874 of 3140"
"Dougherty County",13095,81.0,72955,"2855 of 3140"
"Thomas County",13275,81.1,35851,"2847 of 3140"
"Calhoun County",13037,81.4,5262,"2814 of 3140"
"Fulton County",13121,81.4,812898,"2813 of 3140"
"Glynn County",13127,81.6,67143,"2802 of 3140"
"Randolph County",13243,81.8,5800,"2785 of 3140"
"Crisp County",13081,81.9,18724,"2775 of 3140"
"DeKalb County",13089,81.9,594603,"2772 of 3140"
"Marion County",13197,82.3,6957,"2722 of 3140"
"Colquitt County",13071,82.3,37319,"2720 of 3140"
"Cobb County",13067,82.3,600998,"2713 of 3140"
"Bibb County",13021,82.5,125068,"2691 of 3140"
"Richmond County",13245,82.9,164716,"2628 of 3140"
"Grady County",13131,83.1,20638,"2613 of 3140"
"Lanier County",13173,83.2,8542,"2590 of 3140"
"Houston County",13153,83.4,123686,"2556 of 3140"
"Floyd County",13115,83.5,79746,"2545 of 3140"
"Turner County",13287,83.7,6701,"2498 of 3140"
"Butts County",13035,83.7,19549,"2489 of 3140"
"Bleckley County",13023,84.0,10611,"2443 of 3140"
"Troup County",13285,84.1,57528,"2421 of 3140"
"Bartow County",13015,84.2,85246,"2399 of 3140"
"Wayne County",13305,84.2,24845,"2392 of 3140"
"Lumpkin County",13187,84.4,26447,"2363 of 3140"
"Charlton County",13049,84.4,10893,"2359 of 3140"
"Toombs County",13279,84.5,22661,"2326 of 3140"
"Heard County",13149,84.6,9673,"2316 of 3140"
"Washington County",13303,84.7,17145,"2291 of 3140"
"Haralson County",13143,84.9,24135,"2256 of 3140"
"Jefferson County",13163,84.9,13325,"2245 of 3140"
"Ware County",13299,84.9,29850,"2244 of 3140"
"Pulaski County",13235,85.0,9668,"2207 of 3140"
"Rockdale County",13247,85.1,74439,"2188 of 3140"
"Douglas County",13097,85.2,117880,"2179 of 3140"
"Upson County",13293,85.4,22091,"2117 of 3140"
"Terrell County",13273,85.6,7598,"2069 of 3140"
"Macon County",13193,85.6,11609,"2068 of 3140"
"Clinch County",13065,85.6,5731,"2052 of 3140"
"Henry County",13151,85.7,184668,"2045 of 3140"
"Montgomery County",13209,85.8,7612,"2015 of 3140"
"Lee County",13177,85.9,24830,"1993 of 3140"
"Emanuel County",13107,85.9,19011,"1977 of 3140"
"Jenkins County",13165,86.2,7544,"1883 of 3140"
"Bacon County",13005,86.3,9606,"1862 of 3140"
"Candler County",13043,86.3,9285,"1861 of 3140"
"Walker County",13295,86.3,58405,"1851 of 3140"
"Clay County",13061,86.4,2580,"1837 of 3140"
"Greene County",13133,86.5,14266,"1795 of 3140"
"Hall County",13139,86.6,164877,"1768 of 3140"
"Coweta County",13077,86.6,117977,"1761 of 3140"
"Schley County",13249,86.6,4429,"1756 of 3140"
"Cook County",13075,86.6,14612,"1749 of 3140"
"Cherokee County",13057,86.7,201893,"1731 of 3140"
"Hancock County",13141,86.7,7492,"1727 of 3140"
"Peach County",13225,86.7,23278,"1711 of 3140"
"Newton County",13217,86.7,90029,"1704 of 3140"
"Lamar County",13171,86.8,15683,"1684 of 3140"
"Gordon County",13129,86.9,48590,"1631 of 3140"
"Forsyth County",13117,87.0,181924,"1613 of 3140"
"Polk County",13233,87.1,35670,"1582 of 3140"
"Laurens County",13175,87.2,40729,"1558 of 3140"
"Treutlen County",13283,87.4,5820,"1489 of 3140"
"Stephens County",13257,87.4,22178,"1484 of 3140"
"Decatur County",13087,87.4,23385,"1480 of 3140"
"Gwinnett County",13135,87.4,768623,"1461 of 3140"
"Putnam County",13237,87.4,18563,"1460 of 3140"
"McIntosh County",13191,87.5,12219,"1449 of 3140"
"McDuffie County",13189,87.5,18561,"1443 of 3140"
"Effingham County",13103,87.5,49120,"1433 of 3140"
"Mitchell County",13205,87.6,19505,"1409 of 3140"
"Johnson County",13167,87.7,8533,"1385 of 3140"
"Monroe County",13207,87.7,23262,"1366 of 3140"
"Dodge County",13091,87.7,18263,"1364 of 3140"
"Dawson County",13085,87.8,20396,"1349 of 3140"
"Fayette County",13113,87.8,96227,"1336 of 3140"
"Wilcox County",13315,87.8,7773,"1332 of 3140"
"Gilmer County",13123,87.8,25667,"1329 of 3140"
"Brantley County",13025,88.0,15950,"1253 of 3140"
"Appling County",13001,88.1,16069,"1241 of 3140"
"Evans County",13109,88.1,9358,"1225 of 3140"
"Columbia County",13073,88.1,124647,"1223 of 3140"
"Pickens County",13227,88.4,26611,"1134 of 3140"
"Franklin County",13119,88.4,19492,"1122 of 3140"
"Jasper County",13159,88.6,12067,"1061 of 3140"
"Wilkes County",13317,88.7,8687,"1040 of 3140"
"Whitfield County",13313,88.7,90921,"1035 of 3140"
"Berrien County",13019,88.7,16732,"1021 of 3140"
"Towns County",13281,88.7,9768,"1017 of 3140"
"Dade County",13083,88.8,14329,"1001 of 3140"
"Walton County",13297,88.8,77899,"994 of 3140"
"Catoosa County",13047,88.8,57995,"988 of 3140"
"Taylor County",13269,88.9,7293,"977 of 3140"
"Morgan County",13211,88.9,15956,"972 of 3140"
"White County",13311,89.0,25119,"937 of 3140"
"Harris County",13145,89.0,29302,"934 of 3140"
"Oglethorpe County",13221,89.3,12935,"819 of 3140"
"Meriwether County",13199,89.4,18718,"804 of 3140"
"Madison County",13195,89.4,25260,"788 of 3140"
"Dooly County",13093,89.5,12500,"780 of 3140"
"Paulding County",13223,89.5,134939,"769 of 3140"
"Hart County",13147,89.6,22703,"744 of 3140"
"Pike County",13231,89.7,15947,"728 of 3140"
"Barrow County",13013,89.7,66464,"721 of 3140"
"Chattooga County",13055,89.9,22163,"666 of 3140"
"Union County",13291,90.0,19934,"637 of 3140"
"Burke County",13033,90.0,20111,"633 of 3140"
"Pierce County",13229,90.0,17066,"623 of 3140"
"Fannin County",13111,90.1,21822,"612 of 3140"
"Spalding County",13255,90.1,57084,"606 of 3140"
"Quitman County",13239,90.3,1899,"566 of 3140"
"Coffee County",13069,90.3,38411,"562 of 3140"
"Jones County",13169,90.4,25507,"537 of 3140"
"Brooks County",13027,90.4,14041,"535 of 3140"
"Screven County",13251,90.6,12525,"489 of 3140"
"Tift County",13277,90.7,35973,"476 of 3140"
"Habersham County",13137,90.9,39441,"427 of 3140"
"Webster County",13307,90.9,2370,"424 of 3140"
"Jeff Davis County",13161,91.0,13343,"416 of 3140"
"Ben Hill County",13017,91.0,15570,"409 of 3140"
"Atkinson County",13003,91.0,7473,"403 of 3140"
"Worth County",13321,91.1,18869,"400 of 3140"
"Oconee County",13219,91.1,32413,"392 of 3140"
"Murray County",13213,91.4,35533,"341 of 3140"
"Jackson County",13157,91.4,57826,"340 of 3140"
"Miller County",13201,91.5,5338,"322 of 3140"
"Crawford County",13079,91.7,11217,"273 of 3140"
"Warren County",13301,91.8,4918,"258 of 3140"
"Banks County",13011,91.8,16722,"251 of 3140"
"Elbert County",13105,91.9,17508,"246 of 3140"
"Echols County",13101,92.3,3695,"199 of 3140"
"Rabun County",13241,92.7,15032,"168 of 3140"
"Early County",13099,92.7,9602,"162 of 3140"
"Talbot County",13263,93.0,5951,"140 of 3140"
"Seminole County",13253,93.6,7891,"106 of 3140"
"Wilkinson County",13319,93.7,8476,"95 of 3140"
"Baker County",13007,93.7,3017,"93 of 3140"
"Glascock County",13125,93.9,2841,"79 of 3140"
"Lincoln County",13181,94.2,7230,"67 of 3140"
"Taliaferro County",13265,94.3,1723,"66 of 3140"
"Twiggs County",13289,94.6,7788,"49 of 3140"
"Irwin County",13155,95.9,8804,"21 of 3140"
