------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'mob', 'demo': '00020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
"Mobility: Moved, different state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different State),Rank within US
"United States",00000,2.3,7354769,"N/A"
"Georgia",13000,2.8,279810,"25 of 51"
"Warren County",13301,0.0,2,"16 of 3140"
"Talbot County",13263,0.2,11,"37 of 3140"
"Schley County",13249,0.2,9,"39 of 3140"
"Wheeler County",13309,0.2,14,"40 of 3140"
"Twiggs County",13289,0.2,17,"47 of 3140"
"Meriwether County",13199,0.2,48,"56 of 3140"
"Wilkinson County",13319,0.3,23,"64 of 3140"
"Wilcox County",13315,0.3,25,"71 of 3140"
"Washington County",13303,0.3,63,"90 of 3140"
"Dodge County",13091,0.3,69,"95 of 3140"
"Telfair County",13271,0.3,54,"97 of 3140"
"Calhoun County",13037,0.3,22,"98 of 3140"
"Dooly County",13093,0.4,54,"119 of 3140"
"Jeff Davis County",13161,0.4,59,"123 of 3140"
"Bleckley County",13023,0.5,60,"164 of 3140"
"Screven County",13251,0.5,70,"182 of 3140"
"Taliaferro County",13265,0.5,10,"212 of 3140"
"Terrell County",13273,0.6,49,"215 of 3140"
"Irwin County",13155,0.6,55,"245 of 3140"
"Turner County",13287,0.6,48,"248 of 3140"
"Echols County",13101,0.6,24,"249 of 3140"
"Hancock County",13141,0.6,55,"276 of 3140"
"Bacon County",13005,0.6,71,"277 of 3140"
"Baker County",13007,0.7,22,"318 of 3140"
"Burke County",13033,0.7,155,"332 of 3140"
"Appling County",13001,0.7,128,"339 of 3140"
"Ben Hill County",13017,0.7,121,"343 of 3140"
"White County",13311,0.7,200,"344 of 3140"
"Pike County",13231,0.7,128,"350 of 3140"
"Jones County",13169,0.7,207,"357 of 3140"
"Macon County",13193,0.8,103,"378 of 3140"
"Murray County",13213,0.8,300,"394 of 3140"
"Atkinson County",13003,0.8,64,"404 of 3140"
"Spalding County",13255,0.8,494,"404 of 3140"
"Madison County",13195,0.8,221,"408 of 3140"
"Banks County",13011,0.8,143,"409 of 3140"
"Treutlen County",13283,0.8,53,"423 of 3140"
"Elbert County",13105,0.8,154,"433 of 3140"
"Cook County",13075,0.8,137,"437 of 3140"
"Butts County",13035,0.8,190,"439 of 3140"
"Sumter County",13261,0.8,250,"451 of 3140"
"Tift County",13277,0.8,328,"452 of 3140"
"Randolph County",13243,0.8,60,"467 of 3140"
"Lamar County",13171,0.9,161,"522 of 3140"
"Crawford County",13079,0.9,109,"523 of 3140"
"Upson County",13293,0.9,232,"533 of 3140"
"Crisp County",13081,0.9,210,"555 of 3140"
"Mitchell County",13205,0.9,208,"568 of 3140"
"Montgomery County",13209,0.9,83,"571 of 3140"
"Seminole County",13253,0.9,79,"575 of 3140"
"Miller County",13201,1.0,56,"604 of 3140"
"Jasper County",13159,1.0,134,"630 of 3140"
"Polk County",13233,1.0,404,"633 of 3140"
"Baldwin County",13009,1.0,455,"660 of 3140"
"Oglethorpe County",13221,1.0,149,"676 of 3140"
"Worth County",13321,1.0,217,"694 of 3140"
"Jenkins County",13165,1.1,92,"704 of 3140"
"Berrien County",13019,1.1,204,"741 of 3140"
"Pulaski County",13235,1.1,123,"742 of 3140"
"Chattooga County",13055,1.1,272,"773 of 3140"
"Evans County",13109,1.1,121,"813 of 3140"
"Bartow County",13015,1.1,1164,"825 of 3140"
"Taylor County",13269,1.2,95,"840 of 3140"
"Barrow County",13013,1.2,861,"844 of 3140"
"Bibb County",13021,1.2,1780,"861 of 3140"
"Lincoln County",13181,1.2,93,"912 of 3140"
"Jefferson County",13163,1.2,194,"939 of 3140"
"Glascock County",13125,1.3,38,"960 of 3140"
"Franklin County",13119,1.3,282,"987 of 3140"
"Jackson County",13157,1.3,810,"988 of 3140"
"Morgan County",13211,1.3,232,"1006 of 3140"
"Early County",13099,1.4,145,"1137 of 3140"
"Habersham County",13137,1.4,611,"1148 of 3140"
"Hart County",13147,1.5,376,"1232 of 3140"
"Pickens County",13227,1.5,455,"1272 of 3140"
"Oconee County",13219,1.5,549,"1307 of 3140"
"Stephens County",13257,1.6,394,"1321 of 3140"
"Coffee County",13069,1.6,673,"1343 of 3140"
"Walton County",13297,1.6,1388,"1344 of 3140"
"Brooks County",13027,1.6,246,"1345 of 3140"
"Gordon County",13129,1.6,892,"1368 of 3140"
"Harris County",13145,1.6,534,"1397 of 3140"
"Emanuel County",13107,1.7,367,"1441 of 3140"
"Paulding County",13223,1.7,2503,"1443 of 3140"
"Bulloch County",13031,1.7,1212,"1446 of 3140"
"Pierce County",13229,1.7,315,"1448 of 3140"
"Putnam County",13237,1.7,354,"1453 of 3140"
"Rabun County",13241,1.7,275,"1484 of 3140"
"Tattnall County",13267,1.7,429,"1488 of 3140"
"Dawson County",13085,1.7,397,"1500 of 3140"
"Peach County",13225,1.8,470,"1552 of 3140"
"Clinch County",13065,1.8,118,"1566 of 3140"
"Toombs County",13279,1.8,489,"1621 of 3140"
"Hall County",13139,1.8,3507,"1637 of 3140"
"Floyd County",13115,1.8,1760,"1639 of 3140"
"Carroll County",13045,1.9,2115,"1667 of 3140"
"McIntosh County",13191,1.9,261,"1669 of 3140"
"Laurens County",13175,1.9,880,"1679 of 3140"
"Ware County",13299,1.9,672,"1702 of 3140"
"Dougherty County",13095,1.9,1740,"1720 of 3140"
"Effingham County",13103,1.9,1091,"1734 of 3140"
"Greene County",13133,2.0,324,"1759 of 3140"
"Heard County",13149,2.0,226,"1766 of 3140"
"Candler County",13043,2.0,220,"1821 of 3140"
"Decatur County",13087,2.1,552,"1844 of 3140"
"Coweta County",13077,2.2,2976,"1945 of 3140"
"Whitfield County",13313,2.2,2251,"1956 of 3140"
"Douglas County",13097,2.2,3114,"1990 of 3140"
"Gilmer County",13123,2.3,669,"2015 of 3140"
"Haralson County",13143,2.3,659,"2041 of 3140"
"Troup County",13285,2.5,1687,"2137 of 3140"
"Lee County",13177,2.5,718,"2144 of 3140"
"Cherokee County",13057,2.5,5806,"2151 of 3140"
"Fannin County",13111,2.5,607,"2160 of 3140"
"Newton County",13217,2.5,2617,"2174 of 3140"
"Glynn County",13127,2.6,2102,"2198 of 3140"
"McDuffie County",13189,2.6,542,"2199 of 3140"
"Union County",13291,2.6,566,"2200 of 3140"
"Monroe County",13207,2.6,678,"2205 of 3140"
"Henry County",13151,2.6,5517,"2207 of 3140"
"Wilkes County",13317,2.6,253,"2216 of 3140"
"Gwinnett County",13135,2.7,23327,"2251 of 3140"
"Marion County",13197,2.7,230,"2295 of 3140"
"Lumpkin County",13187,2.7,859,"2308 of 3140"
"Lanier County",13173,2.8,286,"2331 of 3140"
"DeKalb County",13089,2.9,20756,"2371 of 3140"
"Forsyth County",13117,2.9,5978,"2372 of 3140"
"Clayton County",13063,2.9,7878,"2406 of 3140"
"Houston County",13153,3.1,4525,"2471 of 3140"
"Thomas County",13275,3.1,1386,"2510 of 3140"
"Fayette County",13113,3.1,3438,"2513 of 3140"
"Cobb County",13067,3.1,22953,"2515 of 3140"
"Walker County",13295,3.2,2193,"2564 of 3140"
"Johnson County",13167,3.3,322,"2598 of 3140"
