------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'pop', 'demo': '00102', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_014.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
Population: Age 18-39
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 18-39),Rank within US
"United States",00000,29.8,95565066,"N/A"
"Georgia",13000,30.3,3091715,"42 of 52"
"Union County",13291,17.6,3909,"58 of 3141"
"Talbot County",13263,19.3,1237,"132 of 3141"
"Fannin County",13111,20.1,4911,"188 of 3141"
"Quitman County",13239,20.9,447,"279 of 3141"
"McIntosh County",13191,21.1,2966,"306 of 3141"
"Rabun County",13241,21.5,3523,"360 of 3141"
"Fayette County",13113,22.1,24388,"462 of 3141"
"Greene County",13133,22.3,3725,"493 of 3141"
"Gilmer County",13123,22.3,6605,"503 of 3141"
"Lincoln County",13181,22.6,1752,"568 of 3141"
"Glascock County",13125,22.7,687,"600 of 3141"
"Pickens County",13227,22.7,6902,"617 of 3141"
"Seminole County",13253,23.0,1962,"677 of 3141"
"Morgan County",13211,23.0,4151,"708 of 3141"
"Oconee County",13219,23.0,8291,"710 of 3141"
"Crawford County",13079,23.1,2858,"715 of 3141"
"Clay County",13061,23.2,702,"753 of 3141"
"Brooks County",13027,23.4,3651,"782 of 3141"
"Wilkinson County",13319,23.5,2150,"825 of 3141"
"Warren County",13301,23.5,1273,"834 of 3141"
"White County",13311,23.8,6778,"902 of 3141"
"Jasper County",13159,23.8,3271,"920 of 3141"
"Randolph County",13243,24.0,1726,"958 of 3141"
"Worth County",13321,24.0,4995,"976 of 3141"
"Twiggs County",13289,24.1,2008,"1015 of 3141"
"Harris County",13145,24.2,8023,"1029 of 3141"
"Dawson County",13085,24.2,5666,"1043 of 3141"
"Forsyth County",13117,24.2,51193,"1047 of 3141"
"Putnam County",13237,24.3,5197,"1052 of 3141"
"Marion County",13197,24.3,2078,"1061 of 3141"
"Wilkes County",13317,24.3,2410,"1071 of 3141"
"Towns County",13281,24.5,2738,"1118 of 3141"
"Elbert County",13105,24.5,4732,"1124 of 3141"
"Webster County",13307,24.6,646,"1150 of 3141"
"Early County",13099,24.6,2560,"1156 of 3141"
"Heard County",13149,24.6,2857,"1162 of 3141"
"Miller County",13201,24.7,1452,"1184 of 3141"
"Jenkins County",13165,24.8,2212,"1223 of 3141"
"Oglethorpe County",13221,24.9,3647,"1270 of 3141"
"Turner County",13287,24.9,2001,"1277 of 3141"
"Brantley County",13025,24.9,4585,"1279 of 3141"
"Stephens County",13257,25.0,6395,"1302 of 3141"
"Grady County",13131,25.0,6253,"1304 of 3141"
"Haralson County",13143,25.0,7179,"1314 of 3141"
"Hart County",13147,25.1,6412,"1355 of 3141"
"Taylor County",13269,25.2,2081,"1378 of 3141"
"Terrell County",13273,25.3,2271,"1413 of 3141"
"Pike County",13231,25.3,4533,"1414 of 3141"
"Monroe County",13207,25.3,6785,"1421 of 3141"
"Madison County",13195,25.6,7332,"1542 of 3141"
"Meriwether County",13199,25.7,5430,"1552 of 3141"
"Appling County",13001,25.8,4769,"1599 of 3141"
"Echols County",13101,25.9,1038,"1613 of 3141"
"McDuffie County",13189,25.9,5561,"1615 of 3141"
"Glynn County",13127,25.9,21627,"1625 of 3141"
"Clinch County",13065,25.9,1759,"1627 of 3141"
"Pierce County",13229,26.0,4973,"1651 of 3141"
"Baker County",13007,26.0,845,"1654 of 3141"
"Ben Hill County",13017,26.0,4496,"1665 of 3141"
"Upson County",13293,26.0,6834,"1670 of 3141"
"Walton County",13297,26.1,23163,"1687 of 3141"
"Johnson County",13167,26.2,2569,"1721 of 3141"
"Thomas County",13275,26.2,11779,"1727 of 3141"
"Banks County",13011,26.3,4822,"1738 of 3141"
"Walker County",13295,26.3,18055,"1753 of 3141"
"Jones County",13169,26.4,7544,"1782 of 3141"
"Screven County",13251,26.4,3712,"1789 of 3141"
"Jackson County",13157,26.5,16890,"1792 of 3141"
"Candler County",13043,26.5,2887,"1813 of 3141"
"Burke County",13033,26.5,6005,"1818 of 3141"
"Berrien County",13019,26.6,5051,"1834 of 3141"
"Crisp County",13081,26.6,6116,"1844 of 3141"
"Dooly County",13093,26.7,3757,"1892 of 3141"
"Cherokee County",13057,26.8,63242,"1911 of 3141"
"Schley County",13249,26.8,1386,"1912 of 3141"
"Chattooga County",13055,26.9,6685,"1926 of 3141"
"Washington County",13303,26.9,5523,"1946 of 3141"
"Polk County",13233,27.0,11175,"1958 of 3141"
"Coweta County",13077,27.1,37385,"1992 of 3141"
"Catoosa County",13047,27.1,17846,"1995 of 3141"
