------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'pop', 'demo': '00026', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_023.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
Population: Hispanic
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Hispanic),Rank within US
"Georgia",13000,9.3,950380,"26 of 52"
"United States",00000,17.6,56510571,"N/A"
"Twiggs County",13289,0.4,30,"3090 of 3141"
"Miller County",13201,0.4,24,"3082 of 3141"
"Quitman County",13239,0.6,12,"3052 of 3141"
"Warren County",13301,0.6,31,"3048 of 3141"
"Heard County",13149,0.7,78,"3030 of 3141"
"Crawford County",13079,0.7,87,"3024 of 3141"
"Taylor County",13269,1.0,79,"2947 of 3141"
"Irwin County",13155,1.3,116,"2837 of 3141"
"Towns County",13281,1.5,163,"2712 of 3141"
"Haralson County",13143,1.5,420,"2710 of 3141"
"Jones County",13169,1.5,418,"2709 of 3141"
"McIntosh County",13191,1.5,213,"2666 of 3141"
"Pike County",13231,1.5,273,"2662 of 3141"
"Lincoln County",13181,1.5,119,"2659 of 3141"
"Glascock County",13125,1.6,47,"2644 of 3141"
"Wheeler County",13309,1.6,131,"2582 of 3141"
"Randolph County",13243,1.7,120,"2574 of 3141"
"Marion County",13197,1.7,144,"2568 of 3141"
"Hancock County",13141,1.8,156,"2493 of 3141"
"Screven County",13251,1.8,255,"2480 of 3141"
"Walker County",13295,2.0,1364,"2389 of 3141"
"Worth County",13321,2.0,418,"2373 of 3141"
"Webster County",13307,2.1,54,"2353 of 3141"
"Meriwether County",13199,2.1,442,"2334 of 3141"
"Brantley County",13025,2.1,389,"2317 of 3141"
"Treutlen County",13283,2.1,143,"2316 of 3141"
"Early County",13099,2.2,224,"2299 of 3141"
"Fannin County",13111,2.2,528,"2294 of 3141"
"Dade County",13083,2.2,355,"2281 of 3141"
"Baldwin County",13009,2.2,999,"2272 of 3141"
"Lamar County",13171,2.3,415,"2234 of 3141"
"Upson County",13293,2.3,604,"2215 of 3141"
"Washington County",13303,2.3,474,"2206 of 3141"
"Johnson County",13167,2.3,228,"2202 of 3141"
"Talbot County",13263,2.3,150,"2197 of 3141"
"Monroe County",13207,2.4,631,"2182 of 3141"
"Laurens County",13175,2.6,1217,"2081 of 3141"
"Dougherty County",13095,2.6,2419,"2052 of 3141"
"Bleckley County",13023,2.7,345,"2028 of 3141"
"Terrell County",13273,2.7,243,"2021 of 3141"
"Wilkinson County",13319,2.7,248,"2018 of 3141"
"Lee County",13177,2.7,803,"1993 of 3141"
"Catoosa County",13047,2.9,1885,"1933 of 3141"
"McDuffie County",13189,2.9,617,"1928 of 3141"
"Seminole County",13253,3.0,253,"1896 of 3141"
"Pickens County",13227,3.0,923,"1865 of 3141"
"Union County",13291,3.1,680,"1858 of 3141"
"White County",13311,3.1,875,"1850 of 3141"
"Butts County",13035,3.1,725,"1847 of 3141"
"Burke County",13033,3.1,699,"1838 of 3141"
"Morgan County",13211,3.1,565,"1825 of 3141"
"Stephens County",13257,3.2,809,"1820 of 3141"
"Bibb County",13021,3.2,4864,"1815 of 3141"
"Crisp County",13081,3.2,745,"1779 of 3141"
"Harris County",13145,3.3,1098,"1756 of 3141"
"Dodge County",13091,3.4,722,"1722 of 3141"
"Thomas County",13275,3.5,1570,"1699 of 3141"
"Pulaski County",13235,3.6,406,"1683 of 3141"
"Jefferson County",13163,3.7,583,"1656 of 3141"
"Troup County",13285,3.7,2563,"1641 of 3141"
"Hart County",13147,3.7,947,"1639 of 3141"
"Bulloch County",13031,3.7,2737,"1637 of 3141"
"Jasper County",13159,3.9,533,"1594 of 3141"
"Effingham County",13103,3.9,2228,"1586 of 3141"
"Ware County",13299,4.0,1425,"1566 of 3141"
"Walton County",13297,4.0,3557,"1560 of 3141"
"Oglethorpe County",13221,4.1,607,"1523 of 3141"
"Dawson County",13085,4.2,988,"1496 of 3141"
"Taliaferro County",13265,4.2,78,"1492 of 3141"
"Macon County",13193,4.2,581,"1486 of 3141"
"Wilcox County",13315,4.3,386,"1465 of 3141"
"Spalding County",13255,4.3,2791,"1462 of 3141"
"Franklin County",13119,4.4,987,"1449 of 3141"
"Mitchell County",13205,4.4,999,"1446 of 3141"
"Emanuel County",13107,4.5,1008,"1432 of 3141"
"Wilkes County",13317,4.6,453,"1412 of 3141"
"Turner County",13287,4.6,368,"1409 of 3141"
"Lumpkin County",13187,4.7,1489,"1379 of 3141"
"Clay County",13061,4.7,143,"1377 of 3141"
"Chattooga County",13055,4.7,1179,"1375 of 3141"
"Oconee County",13219,4.8,1714,"1368 of 3141"
"Richmond County",13245,4.8,9645,"1361 of 3141"
"Calhoun County",13037,4.8,312,"1358 of 3141"
"Berrien County",13019,4.9,927,"1345 of 3141"
"Madison County",13195,4.9,1395,"1344 of 3141"
"Clinch County",13065,4.9,333,"1339 of 3141"
"Schley County",13249,5.0,258,"1319 of 3141"
"Pierce County",13229,5.1,978,"1292 of 3141"
"Newton County",13217,5.1,5389,"1288 of 3141"
"Sumter County",13261,5.3,1626,"1258 of 3141"
"Baker County",13007,5.4,174,"1248 of 3141"
"Lowndes County",13185,5.4,6179,"1232 of 3141"
"Lanier County",13173,5.5,567,"1225 of 3141"
"Elbert County",13105,5.5,1067,"1213 of 3141"
"Brooks County",13027,5.6,875,"1199 of 3141"
"Decatur County",13087,5.8,1564,"1163 of 3141"
"Paulding County",13223,5.8,8866,"1154 of 3141"
"Cook County",13075,5.8,1003,"1153 of 3141"
"Ben Hill County",13017,6.0,1044,"1119 of 3141"
"Greene County",13133,6.1,1016,"1115 of 3141"
"Wayne County",13305,6.2,1857,"1093 of 3141"
"Columbia County",13073,6.2,8953,"1092 of 3141"
"Chatham County",13051,6.3,17845,"1089 of 3141"
"Camden County",13039,6.4,3326,"1078 of 3141"
"Banks County",13011,6.4,1180,"1070 of 3141"
"Jenkins County",13165,6.4,575,"1066 of 3141"
"Henry County",13151,6.5,14079,"1061 of 3141"
"Montgomery County",13209,6.5,587,"1050 of 3141"
"Putnam County",13237,6.6,1406,"1049 of 3141"
"Houston County",13153,6.6,9895,"1047 of 3141"
"Bryan County",13029,6.6,2316,"1039 of 3141"
"Carroll County",13045,6.7,7678,"1032 of 3141"
"Glynn County",13127,6.7,5607,"1027 of 3141"
"Coweta County",13077,6.8,9328,"1022 of 3141"
"Dooly County",13093,6.9,974,"1000 of 3141"
"Jackson County",13157,7.1,4516,"991 of 3141"
"Fayette County",13113,7.1,7806,"990 of 3141"
"Fulton County",13121,7.4,74574,"954 of 3141"
"Muscogee County",13215,7.5,14881,"942 of 3141"
"Peach County",13225,7.5,2029,"937 of 3141"
"Rabun County",13241,8.1,1320,"890 of 3141"
"Bartow County",13015,8.2,8379,"884 of 3141"
"Charlton County",13049,8.4,1084,"863 of 3141"
"Bacon County",13005,8.5,957,"852 of 3141"
"DeKalb County",13089,8.7,63842,"834 of 3141"
"Douglas County",13097,9.2,12906,"796 of 3141"
"Forsyth County",13117,9.5,20064,"774 of 3141"
"Appling County",13001,9.7,1798,"753 of 3141"
"Barrow County",13013,10.0,7524,"731 of 3141"
"Cherokee County",13057,10.0,23664,"729 of 3141"
"Rockdale County",13247,10.2,9030,"713 of 3141"
"Floyd County",13115,10.6,10224,"697 of 3141"
"Clarke County",13059,10.6,13135,"696 of 3141"
