------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'pop', 'demo': '00104', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_027.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
Population: Sex - Male
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Male),Rank within US
"Georgia",13000,48.7,4968887,"12 of 52"
"United States",00000,49.2,158018753,"N/A"
"Pulaski County",13235,43.4,4942,"2 of 3141"
"Bleckley County",13023,46.2,5909,"36 of 3141"
"Early County",13099,46.3,4817,"41 of 3141"
"Dougherty County",13095,46.3,42377,"42 of 3141"
"Stephens County",13257,46.6,11930,"48 of 3141"
"McDuffie County",13189,46.7,10028,"51 of 3141"
"Toombs County",13279,46.8,12706,"56 of 3141"
"Seminole County",13253,46.8,4003,"59 of 3141"
"Warren County",13301,46.8,2534,"63 of 3141"
"Bibb County",13021,47.0,72312,"77 of 3141"
"Lincoln County",13181,47.0,3651,"78 of 3141"
"Crisp County",13081,47.0,10813,"79 of 3141"
"Terrell County",13273,47.1,4229,"87 of 3141"
"Glynn County",13127,47.2,39362,"91 of 3141"
"Talbot County",13263,47.2,3030,"92 of 3141"
"Towns County",13281,47.2,5272,"93 of 3141"
"Clayton County",13063,47.2,129364,"95 of 3141"
"Rockdale County",13247,47.2,41755,"96 of 3141"
"Thomas County",13275,47.2,21200,"98 of 3141"
"Sumter County",13261,47.2,14492,"100 of 3141"
"Evans County",13109,47.3,5093,"117 of 3141"
"DeKalb County",13089,47.4,348949,"123 of 3141"
"Habersham County",13137,47.5,20824,"132 of 3141"
"Burke County",13033,47.5,10752,"134 of 3141"
"Laurens County",13175,47.5,22542,"137 of 3141"
"Morgan County",13211,47.5,8558,"140 of 3141"
"Newton County",13217,47.5,49940,"142 of 3141"
"Clarke County",13059,47.6,58788,"149 of 3141"
"Baker County",13007,47.6,1547,"150 of 3141"
"Douglas County",13097,47.8,66926,"181 of 3141"
"Elbert County",13105,47.8,9218,"190 of 3141"
"Ben Hill County",13017,47.8,8259,"195 of 3141"
"Quitman County",13239,47.9,1024,"202 of 3141"
"Jenkins County",13165,47.9,4273,"205 of 3141"
"Upson County",13293,47.9,12568,"221 of 3141"
"Henry County",13151,47.9,104175,"222 of 3141"
"Meriwether County",13199,47.9,10134,"226 of 3141"
"Wilkinson County",13319,47.9,4385,"233 of 3141"
"Wilkes County",13317,47.9,4749,"236 of 3141"
"Troup County",13285,48.0,33345,"255 of 3141"
"Peach County",13225,48.1,12992,"273 of 3141"
"Tift County",13277,48.1,19502,"281 of 3141"
"Lamar County",13171,48.1,8800,"288 of 3141"
"Cook County",13075,48.1,8275,"291 of 3141"
"Brooks County",13027,48.2,7531,"313 of 3141"
"Jefferson County",13163,48.2,7691,"323 of 3141"
"Decatur County",13087,48.2,13037,"342 of 3141"
"Chatham County",13051,48.3,137781,"350 of 3141"
"Schley County",13249,48.3,2496,"366 of 3141"
"Cobb County",13067,48.3,357252,"391 of 3141"
"Richmond County",13245,48.3,97435,"392 of 3141"
"Glascock County",13125,48.4,1464,"407 of 3141"
"Spalding County",13255,48.4,31075,"430 of 3141"
"Fannin County",13111,48.4,11852,"432 of 3141"
"White County",13311,48.5,13814,"457 of 3141"
"Fulton County",13121,48.5,489797,"471 of 3141"
"Floyd County",13115,48.5,46770,"477 of 3141"
"Catoosa County",13047,48.5,31953,"499 of 3141"
"Fayette County",13113,48.5,53551,"516 of 3141"
"Putnam County",13237,48.6,10410,"531 of 3141"
"Jones County",13169,48.6,13864,"532 of 3141"
"Franklin County",13119,48.6,10852,"551 of 3141"
"Houston County",13153,48.6,73081,"558 of 3141"
"Walton County",13297,48.6,43120,"561 of 3141"
"Haralson County",13143,48.6,13965,"563 of 3141"
"Greene County",13133,48.7,8142,"588 of 3141"
"Jasper County",13159,48.7,6688,"623 of 3141"
"Union County",13291,48.8,10855,"663 of 3141"
"Carroll County",13045,48.8,56032,"666 of 3141"
"Coweta County",13077,48.8,67326,"678 of 3141"
"Polk County",13233,48.8,20231,"706 of 3141"
"Columbia County",13073,48.8,70172,"718 of 3141"
"Dade County",13083,48.9,7956,"755 of 3141"
"Worth County",13321,48.9,10171,"769 of 3141"
"Grady County",13131,48.9,12247,"785 of 3141"
"Berrien County",13019,48.9,9297,"787 of 3141"
"Gwinnett County",13135,48.9,435401,"813 of 3141"
"Paulding County",13223,48.9,74560,"814 of 3141"
"Taylor County",13269,49.0,4047,"852 of 3141"
"Hart County",13147,49.0,12502,"857 of 3141"
"Lowndes County",13185,49.0,55796,"867 of 3141"
"Long County",13183,49.0,8746,"877 of 3141"
"Muscogee County",13215,49.0,97309,"886 of 3141"
"Turner County",13287,49.0,3937,"893 of 3141"
