------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US
"United States",00000,6.6,10560305,"N/A"
"Georgia",13000,7.5,372581,"45 of 52"
"Baker County",13007,2.5,33,"213 of 3141"
"Bacon County",13005,3.1,139,"343 of 3141"
"Glascock County",13125,3.3,45,"399 of 3141"
"Tift County",13277,3.9,694,"608 of 3141"
"Hancock County",13141,4.0,89,"627 of 3141"
"Webster County",13307,4.0,47,"633 of 3141"
"Tattnall County",13267,4.0,323,"640 of 3141"
"Telfair County",13271,4.1,208,"669 of 3141"
"Forsyth County",13117,4.2,4567,"701 of 3141"
"White County",13311,4.3,530,"732 of 3141"
"Oconee County",13219,4.4,780,"778 of 3141"
"Ware County",13299,4.6,632,"851 of 3141"
"Hall County",13139,4.6,4389,"890 of 3141"
"Hart County",13147,4.7,494,"916 of 3141"
"Dade County",13083,4.8,387,"947 of 3141"
"Cherokee County",13057,4.9,6009,"993 of 3141"
"Jeff Davis County",13161,5.0,290,"1053 of 3141"
"Effingham County",13103,5.0,1428,"1055 of 3141"
"Laurens County",13175,5.1,923,"1085 of 3141"
"Ben Hill County",13017,5.2,333,"1113 of 3141"
"Paulding County",13223,5.2,4058,"1120 of 3141"
"Coweta County",13077,5.4,3808,"1225 of 3141"
"Catoosa County",13047,5.4,1798,"1242 of 3141"
"Union County",13291,5.5,463,"1270 of 3141"
"Habersham County",13137,5.5,1005,"1275 of 3141"
"Echols County",13101,5.5,96,"1276 of 3141"
"Screven County",13251,5.5,328,"1287 of 3141"
"Fayette County",13113,5.5,3035,"1307 of 3141"
"Treutlen County",13283,5.6,157,"1318 of 3141"
"Morgan County",13211,5.7,481,"1358 of 3141"
"Coffee County",13069,5.7,975,"1359 of 3141"
"Miller County",13201,5.7,143,"1377 of 3141"
"Rabun County",13241,5.7,380,"1391 of 3141"
"Gordon County",13129,5.7,1531,"1401 of 3141"
"Columbia County",13073,5.8,3857,"1411 of 3141"
"Cook County",13075,5.8,425,"1441 of 3141"
"Burke County",13033,5.8,534,"1442 of 3141"
"Oglethorpe County",13221,5.8,394,"1446 of 3141"
"Gwinnett County",13135,5.8,27244,"1462 of 3141"
"Cobb County",13067,6.0,24188,"1520 of 3141"
"Lumpkin County",13187,6.0,922,"1526 of 3141"
"Bartow County",13015,6.0,3017,"1565 of 3141"
"Lincoln County",13181,6.0,207,"1567 of 3141"
"Dawson County",13085,6.1,689,"1581 of 3141"
"Pierce County",13229,6.2,500,"1647 of 3141"
"Twiggs County",13289,6.3,173,"1675 of 3141"
"Franklin County",13119,6.3,558,"1677 of 3141"
"Jenkins County",13165,6.3,221,"1688 of 3141"
"Candler County",13043,6.3,287,"1689 of 3141"
"Decatur County",13087,6.5,680,"1780 of 3141"
"Putnam County",13237,6.5,632,"1796 of 3141"
"Greene County",13133,6.5,425,"1809 of 3141"
"Turner County",13287,6.5,223,"1832 of 3141"
"Jackson County",13157,6.5,1958,"1834 of 3141"
"Banks County",13011,6.6,547,"1847 of 3141"
"Evans County",13109,6.6,303,"1862 of 3141"
"Montgomery County",13209,6.6,250,"1888 of 3141"
"Pulaski County",13235,6.7,268,"1910 of 3141"
"Glynn County",13127,6.7,2705,"1941 of 3141"
"Towns County",13281,6.8,287,"1947 of 3141"
"Barrow County",13013,6.8,2500,"1965 of 3141"
"Walton County",13297,6.9,2932,"2026 of 3141"
"Pickens County",13227,7.0,975,"2047 of 3141"
"Walker County",13295,7.0,2179,"2065 of 3141"
"Lee County",13177,7.1,1039,"2097 of 3141"
"Haralson County",13143,7.2,916,"2112 of 3141"
"Polk County",13233,7.2,1367,"2116 of 3141"
"Jasper County",13159,7.2,429,"2120 of 3141"
"Colquitt County",13071,7.2,1464,"2121 of 3141"
"Seminole County",13253,7.3,226,"2163 of 3141"
"Murray County",13213,7.4,1335,"2178 of 3141"
"Irwin County",13155,7.4,264,"2186 of 3141"
"Gilmer County",13123,7.4,972,"2203 of 3141"
"Wilkes County",13317,7.5,312,"2224 of 3141"
"Floyd County",13115,7.5,3381,"2246 of 3141"
"Butts County",13035,7.6,710,"2266 of 3141"
"Clarke County",13059,7.6,4742,"2267 of 3141"
"Wilcox County",13315,7.6,197,"2278 of 3141"
"Henry County",13151,7.7,8348,"2306 of 3141"
"Bleckley County",13023,7.7,352,"2311 of 3141"
"Fulton County",13121,7.7,41779,"2321 of 3141"
"Elbert County",13105,7.7,613,"2324 of 3141"
"Appling County",13001,7.7,582,"2329 of 3141"
"Houston County",13153,7.8,5542,"2340 of 3141"
"Brantley County",13025,7.8,543,"2353 of 3141"
"Douglas County",13097,7.9,5716,"2399 of 3141"
"Bryan County",13029,7.9,1315,"2402 of 3141"
"Madison County",13195,8.0,1044,"2415 of 3141"
