------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=16&areatype=county&cancer=001&race=00&sex=0&age=157&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '16', 'areatype': 'county', 'cancer': '001', 'race': '00', 'sex': '0', 'age': '157', 'type': 'death', 'file_name': 'deathrates_037.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=16&areatype=county&cancer=001&race=00&sex=0&age=157&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Idaho by County

"All Cancer Sites, 2012-2016"

"All Races (includes Hispanic), Both Sexes, Ages 65+"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 161.4?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Idaho",16000,No,919 ,900.9, 937.4,2007,falling,-0.7 ,-0.8, -0.5
"United States",00000,No,919.1 ,917.8, 920.4,413451,falling,-1.5 ,-1.5, -1.4
"Benewah County",16009,No,1387.9 ,1142.7, 1669.6,23,stable,0.4 ,-0.9, 1.7
"Shoshone County",16079,No,1266.1 ,1077.6, 1478.1,33,stable,0.0 ,-0.8, 0.8
"Nez Perce County",16069,No,1110.7 ,1005.5, 1223.8,84,stable,-0.2 ,-0.8, 0.4
"Elmore County",16039,No,1083.1 ,918.3, 1268.7,31,falling,-0.9 ,-1.7, -0.1
"Gem County",16045,No,1065 ,913.4, 1234.4,36,stable,-0.2 ,-1.1, 0.7
"Bonner County",16017,No,1038.5 ,937.5, 1147.3,81,falling,-0.8 ,-1.4, -0.3
"Kootenai County",16055,No,1036.8 ,978.1, 1098.1,238,falling,-0.6 ,-1.0, -0.3
"Clearwater County",16035,No,1021.8 ,834.7, 1238.2,21,stable,-1.0 ,-2.2, 0.1
"Lewis County",16061,No,998.3 ,727.3, 1337.4,9,stable,-0.1 ,-1.9, 1.7
"Washington County",16087,No,988.8 ,810.9, 1194.1,22,stable,-1.0 ,-2.1, 0.1
"Lincoln County",16063,No,974.6 ,650.3, 1402.4,6,stable,-1.0 ,-2.9, 0.9
"Caribou County",16029,No,971.3 ,728.6, 1268.5,11,stable,1.1 ,-0.4, 2.6
"Bear Lake County",16007,No,969.3 ,726.5, 1266.5,11,stable,-0.2 ,-1.9, 1.7
"Gooding County",16047,No,950.2 ,784.3, 1140.8,23,stable,-0.3 ,-1.5, 0.8
"Twin Falls County",16083,No,935.6 ,858.3, 1018,109,falling,-0.5 ,-1.0, -0.1
