------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=16&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '16', 'areatype': 'county', 'topic': 'pop', 'demo': '00022', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_021.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=16&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Idaho by County
Population: Black
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Black),Rank within US
"Idaho",16000,0.7,11231,"51 of 52"
"United States",00000,12.7,40610815,"N/A"
"Camas County",16025,0.0,0,"3052 of 3141"
"Caribou County",16029,0.0,0,"3052 of 3141"
"Gem County",16045,0.0,0,"3052 of 3141"
"Lincoln County",16063,0.0,0,"3052 of 3141"
"Custer County",16037,0.0,1,"3042 of 3141"
"Washington County",16087,0.0,4,"3027 of 3141"
"Jefferson County",16051,0.1,19,"2997 of 3141"
"Oneida County",16071,0.1,3,"2994 of 3141"
"Valley County",16085,0.1,8,"2989 of 3141"
"Jerome County",16053,0.1,21,"2973 of 3141"
"Cassia County",16031,0.1,23,"2966 of 3141"
"Gooding County",16047,0.1,15,"2964 of 3141"
"Lewis County",16061,0.1,4,"2961 of 3141"
"Owyhee County",16073,0.1,16,"2913 of 3141"
"Teton County",16081,0.2,20,"2876 of 3141"
"Clark County",16033,0.2,2,"2871 of 3141"
"Lemhi County",16059,0.2,15,"2868 of 3141"
"Bonner County",16017,0.2,82,"2865 of 3141"
"Boise County",16015,0.2,14,"2859 of 3141"
"Boundary County",16021,0.2,25,"2842 of 3141"
"Idaho County",16049,0.2,36,"2841 of 3141"
"Clearwater County",16035,0.2,19,"2837 of 3141"
"Fremont County",16043,0.2,29,"2835 of 3141"
"Benewah County",16009,0.2,22,"2814 of 3141"
"Franklin County",16041,0.3,33,"2811 of 3141"
"Minidoka County",16067,0.3,52,"2807 of 3141"
"Power County",16077,0.3,20,"2802 of 3141"
"Shoshone County",16079,0.3,36,"2779 of 3141"
"Blaine County",16013,0.3,64,"2768 of 3141"
"Bingham County",16011,0.3,142,"2745 of 3141"
"Adams County",16003,0.3,13,"2717 of 3141"
"Nez Perce County",16069,0.4,156,"2665 of 3141"
"Payette County",16075,0.4,90,"2661 of 3141"
"Kootenai County",16055,0.4,664,"2603 of 3141"
"Canyon County",16027,0.5,939,"2592 of 3141"
"Bonneville County",16019,0.5,550,"2528 of 3141"
"Bannock County",16005,0.6,533,"2368 of 3141"
"Madison County",16065,0.6,248,"2352 of 3141"
"Twin Falls County",16083,0.7,535,"2350 of 3141"
"Latah County",16057,0.7,279,"2258 of 3141"
"Bear Lake County",16007,0.8,48,"2190 of 3141"
"Ada County",16001,1.3,5615,"1903 of 3141"
"Butte County",16023,2.5,65,"1518 of 3141"
"Elmore County",16039,2.9,771,"1420 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Black, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
